Time	Aircraft Simulation Airspeed	Aircraft Simulation Position Z	Aircraft Simulation Altitude	Aircraft Simulation Net Global Force Y
0.1	0.05964156	4.868132	1.43382	0
0.2	0.01254291	4.868027	1.434173	0
0.3	0.009202276	4.868145	1.433989	0
0.4	0.005580948	4.868126	1.434015	0
0.5	0.003588341	4.868119	1.434026	0
0.6	0.00251435	4.868107	1.43402	0
0.7	0.0003332734	4.868094	1.434023	0
0.8	0.001005122	4.868081	1.434021	0
0.9	0.0006402466	4.86807	1.434021	0
1	0.001717252	4.868055	1.434022	0
1.1	0.0001252144	4.868042	1.434019	0
1.2	-3.470798E-05	4.868029	1.434023	0
1.3	-0.001558117	4.868013	1.434021	0
1.4	-0.0001791923	4.867997	1.434021	0
1.5	-0.0006428371	4.867991	1.434016	0
1.6	-0.001433251	4.867969	1.434014	0
1.7	-0.0006768214	4.867946	1.434022	0
1.8	0.0006978971	4.867939	1.43402	0
1.9	0.001496113	4.867924	1.434013	0
2	-0.0005646434	4.867912	1.434024	0
2.1	-0.001125601	4.867909	1.434016	0
2.2	-0.001515097	4.867887	1.434018	0
2.3	-0.0004696274	4.867867	1.434021	0
2.4	0.001123014	4.867857	1.434017	0
2.5	0.0009987078	4.867843	1.434017	0
2.6	-0.0004506174	4.867836	1.434021	0
2.7	0.001022528	4.867823	1.434014	0
2.8	0.0009493623	4.867798	1.434016	0
2.9	0.0004160044	4.867784	1.434017	0
3	0.0009602081	4.867766	1.434013	0
3.1	0.0007329819	4.867744	1.434017	0
3.2	0.001176177	4.86773	1.434016	0
3.3	0.001017556	4.867719	1.434013	0
3.4	0.001137101	4.867698	1.434013	0
3.5	0.00124162	4.867684	1.434016	0
3.6	0.0007429945	4.867667	1.434015	0
3.7	0.001264687	4.867651	1.434011	0
3.8	0.001320723	4.867628	1.434016	0
3.9	0.0009329557	4.867609	1.434015	0
4	0.0007517952	4.867583	1.434014	0
4.1	0.00121287	4.867566	1.434012	0
4.2	0.001002749	4.867548	1.434015	0
4.3	0.0008073294	4.867528	1.434012	0
4.4	0.0007208509	4.867511	1.434017	0
4.5	0.001128718	4.867504	1.43401	0
4.6	0.001184152	4.867483	1.434013	0
4.7	0.001014007	4.867468	1.434012	0
4.8	0.001210542	4.86745	1.434012	0
4.9	0.001439026	4.867433	1.43401	0
5	0.001229852	4.867415	1.434012	0
5.1	0.00137033	4.867396	1.434009	0
5.2	0.001178928	4.867375	1.434012	0
5.3	0.001247886	4.867347	1.434011	0
5.4	0.001426257	4.86733	1.434009	0
5.5	0.001509751	4.867321	1.434008	0
5.6	0.001341315	4.867301	1.434009	0
5.7	0.001231401	4.867278	1.43401	0
5.8	0.001591696	4.86726	1.434007	0
5.9	0.001518694	4.86724	1.43401	0
6	0.001265341	4.867215	1.434009	0
6.1	0.001070546	4.867199	1.434009	0
6.2	0.001278208	4.867174	1.434007	0
6.3	0.001060081	4.867154	1.43401	0
6.4	0.0009086133	4.867139	1.434008	0
6.5	0.0009111009	4.867115	1.434011	0
6.6	0.0008963411	4.867087	1.434008	0
6.7	0.0007181869	4.867065	1.434008	0
6.8	0.001327798	4.867054	1.434006	0
6.9	0.0009608801	4.867033	1.434013	0
7	0.0008388471	4.867013	1.434011	0
7.1	0.001125381	4.866992	1.434002	0
7.2	0.0009256577	4.86697	1.434001	0
7.3	0.0006977958	4.866946	1.434005	0
7.4	0.0009147123	4.866929	1.434007	0
7.5	0.00118571	4.866914	1.434005	0
7.6	0.001414843	4.866893	1.434008	0
7.7	0.001374095	4.866868	1.434007	0
7.8	0.001274177	4.866845	1.434008	0
7.9	0.001311925	4.866828	1.434006	0
8	0.001200196	4.866812	1.434005	0
8.1	0.001049525	4.866787	1.434006	0
8.2	0.0009351126	4.866764	1.434003	0
8.3	0.0007698694	4.86674	1.434006	0
8.4	0.0007188008	4.866724	1.434003	0
8.5	0.0007325882	4.866701	1.434008	0
8.6	0.001283957	4.866684	1.433997	0
8.7	0.001242541	4.866663	1.434001	0
8.8	0.00140921	4.866641	1.434001	0
8.9	0.001351926	4.866623	1.434003	0
9	0.00130295	4.866605	1.434	0
9.1	0.0009694471	4.866588	1.434002	0
9.2	0.001414685	4.86657	1.433996	0
9.3	0.001368981	4.86655	1.434003	0
9.4	0.001571014	4.866532	1.433998	0
9.5	0.001408263	4.866508	1.434003	0
9.6	0.001360418	4.86649	1.434001	0
9.7	0.001604325	4.866472	1.434001	0
9.8	0.0009253622	4.866447	1.434006	0
9.9	0.001046722	4.866428	1.434	0
10	0.000959355	4.866399	1.434001	0
10.1	0.001010577	4.86638	1.433999	0
10.2	0.0008909869	4.866357	1.433998	0
10.3	0.001190603	4.866336	1.434002	0
10.4	0.001429902	4.866318	1.433998	0
10.5	0.001269664	4.866296	1.434	0
10.6	0.001038575	4.866272	1.433999	0
10.7	0.0008970752	4.866256	1.433998	0
10.8	0.0009564558	4.86623	1.433998	0
10.9	0.0008013011	4.866208	1.433998	0
11	0.0007747372	4.866189	1.433998	0
11.1	0.0008416862	4.866171	1.433997	0
11.2	0.0007952221	4.866148	1.433997	0
11.3	0.0009650583	4.866121	1.433995	0
11.4	0.0008662741	4.866103	1.433998	0
11.5	0.001119549	4.866085	1.433999	0
11.6	0.001096393	4.866064	1.433996	0
11.7	0.001134731	4.866045	1.433994	0
11.8	0.001238805	4.86602	1.433995	0
11.9	0.000559897	4.86599	1.433995	0
12	0.0006415064	4.865971	1.433997	0
12.1	0.00071671	4.865952	1.434001	0
12.2	0.0008835336	4.86593	1.434	0
12.3	0.001446498	4.865918	1.433997	0
12.4	0.001443361	4.8659	1.433996	0
12.5	0.001354608	4.865883	1.433995	0
12.6	0.001161356	4.865865	1.433993	0
12.7	0.001455926	4.865835	1.433998	0
12.8	0.001820962	4.865818	1.433994	0
12.9	0.0009384167	4.865791	1.433996	0
13	0.0006056079	4.865763	1.433995	0
13.1	0.000540524	4.865745	1.433995	0
13.2	0.0007767714	4.865724	1.433991	0
13.3	0.0007762823	4.865701	1.433991	0
13.4	0.0007172174	4.865677	1.433993	0
13.5	0.000881393	4.865656	1.433991	0
13.6	0.001439387	4.865643	1.433992	0
13.7	0.001379509	4.865623	1.433992	0
13.8	0.001251558	4.865607	1.433994	0
13.9	0.001373218	4.865588	1.433995	0
14	0.001170365	4.865566	1.433992	0
14.1	0.001122593	4.865542	1.433993	0
14.2	0.001221134	4.865521	1.433988	0
14.3	0.0008703722	4.865497	1.433989	0
14.4	0.0008895571	4.86548	1.43399	0
14.5	0.0008843107	4.865452	1.433993	0
14.6	0.001103104	4.865435	1.43399	0
14.7	0.001242282	4.865416	1.433993	0
14.8	0.0009278156	4.865395	1.433991	0
14.9	0.0007580154	4.865372	1.433989	0
15	0.0008014953	4.865349	1.433992	0
15.1	0.0008513124	4.865325	1.433992	0
15.2	0.001120656	4.865306	1.433987	0
15.3	0.001259487	4.865288	1.433989	0
15.4	0.00133352	4.865267	1.433986	0
15.5	0.0009817452	4.865242	1.433991	0
15.6	0.0009963603	4.865226	1.433987	0
15.7	0.001193444	4.865203	1.433985	0
15.8	0.000902212	4.865181	1.433991	0
15.9	0.001150518	4.865165	1.433988	0
16	0.0009160689	4.865143	1.433988	0
16.1	0.0007852396	4.865122	1.433989	0
16.2	0.0009148655	4.865098	1.433991	0
16.3	0.0009213709	4.865075	1.433987	0
16.4	0.0007908947	4.865056	1.433989	0
16.5	0.001294955	4.865033	1.433987	0
16.6	0.001409042	4.865017	1.433985	0
16.7	0.001375127	4.864991	1.433985	0
16.8	0.001592562	4.864978	1.433986	0
16.9	0.001385221	4.864948	1.433987	0
17	0.001132638	4.864932	1.433986	0
17.1	0.001091778	4.864912	1.433989	0
17.2	0.0009992979	4.864889	1.433986	0
17.3	0.001022759	4.864865	1.433987	0
17.4	0.001019222	4.864844	1.433984	0
17.5	0.0006995876	4.864817	1.433986	0
17.6	0.001048056	4.864799	1.433983	0
17.7	0.0008206589	4.864781	1.433985	0
17.8	0.001100195	4.864762	1.433981	0
17.9	0.00095966	4.864742	1.433985	0
18	0.0009717846	4.864718	1.433986	0
18.1	0.001243953	4.864699	1.433986	0
18.2	0.001088644	4.86468	1.433983	0
18.3	0.001253698	4.864652	1.433982	0
18.4	0.001434304	4.864635	1.433981	0
18.5	0.001376354	4.864614	1.433985	0
18.6	0.001409648	4.864591	1.433979	0
18.7	0.001473512	4.864573	1.433986	0
18.8	0.001473575	4.864558	1.433978	0
18.9	0.001335459	4.864532	1.433984	0
19	0.001142017	4.864518	1.433981	0
19.1	0.001537542	4.864497	1.43398	0
19.2	0.001400059	4.864471	1.433983	0
19.3	0.0004984791	4.864446	1.433983	0
19.4	0.0004564402	4.864422	1.433983	0
19.5	0.0006699189	4.864403	1.433981	0
19.6	0.001159219	4.864384	1.433979	0
19.7	0.001480115	4.86436	1.433982	0
19.8	0.001397151	4.864336	1.433981	0
19.9	0.001700221	4.864339	1.433982	0
20	0.001925504	4.864389	1.433978	0
20.1	0.001571866	4.864445	1.433978	0
