Time	Aircraft Simulation Net Global Force Y	Aircraft Simulation Position Z	Aircraft Simulation Altitude	Aircraft Simulation Airspeed
0.1	0	4.868132	1.43382	0.05964156
0.2	0	4.868027	1.434173	0.01254291
0.3	0	4.868145	1.433989	0.009202276
0.4	0	4.868126	1.434015	0.005580948
0.5	0	4.868119	1.434026	0.003588341
0.6	0	4.868107	1.43402	0.00251435
0.7	0	4.868094	1.434023	0.0003332734
0.8	0	4.868081	1.434021	0.001005122
0.9	0	4.86807	1.434021	0.0006402466
1	0	4.868055	1.434022	0.001717252
1.1	0	4.868042	1.434019	0.0001252144
1.2	0	4.868029	1.434023	-3.470798E-05
1.3	0	4.868013	1.434021	-0.001558117
1.4	0	4.867997	1.434021	-0.0001791923
1.5	0	4.867991	1.434016	-0.0006428371
1.6	0	4.867969	1.434014	-0.001433251
1.7	0	4.867946	1.434022	-0.0006768214
1.8	0	4.867939	1.43402	0.0006978971
1.9	0	4.867924	1.434013	0.001496113
2	0	4.867912	1.434024	-0.0005646434
2.1	0	4.867909	1.434016	-0.001125601
2.2	0	4.867887	1.434018	-0.001515097
2.3	0	4.867867	1.434021	-0.0004696274
2.4	0	4.867857	1.434017	0.001123014
2.5	0	4.867843	1.434017	0.0009987078
2.6	0	4.867836	1.434021	-0.0004506174
2.7	0	4.867823	1.434014	0.001022528
2.8	0	4.867798	1.434016	0.0009493623
2.9	0	4.867784	1.434017	0.0004160044
3	0	4.867766	1.434013	0.0009602081
3.1	0	4.867744	1.434017	0.0007329819
3.2	0	4.86773	1.434016	0.001176177
3.3	0	4.867719	1.434013	0.001017556
3.4	0	4.867698	1.434013	0.001137101
3.5	0	4.867684	1.434016	0.00124162
3.6	0	4.867667	1.434015	0.0007429945
3.7	0	4.867651	1.434011	0.001264687
3.8	0	4.867628	1.434016	0.001320723
3.9	0	4.867609	1.434015	0.0009329557
4	0	4.867583	1.434014	0.0007517952
4.1	0	4.867566	1.434012	0.00121287
4.2	0	4.867548	1.434015	0.001002749
4.3	0	4.867528	1.434012	0.0008073294
4.4	0	4.867511	1.434017	0.0007208509
4.5	0	4.867504	1.43401	0.001128718
4.6	0	4.867483	1.434013	0.001184152
4.7	0	4.867468	1.434012	0.001014007
4.8	0	4.86745	1.434012	0.001210542
4.9	0	4.867433	1.43401	0.001439026
5	0	4.867415	1.434012	0.001229852
5.1	0	4.867396	1.434009	0.00137033
5.2	0	4.867375	1.434012	0.001178928
5.3	0	4.867347	1.434011	0.001247886
5.4	0	4.86733	1.434009	0.001426257
5.5	0	4.867321	1.434008	0.001509751
5.6	0	4.867301	1.434009	0.001341315
