Batch Analysis Results - PASSING CONFIGURATIONS ONLY

Constraints:
Max Vstall: 9.0 m/s
Max Wingspan: 1.9 m
Max Power: 400.0 W
Target Cruise: 20 m/s

Battery Configuration:
Cells: 4S
Capacity: 5000 mAh
Usable Energy: 60.8 Wh

AR,Wingspan [m],Area [m²],MAC [m],Vstall [m/s],Vcruise opt [m/s],Power opt [W],Power @ 20 m/s [W],Endurance @ opt [min],Endurance @ 20 m/s [min]
4.0,1.7500000000000002,0.766,0.438,8.91,18.50,66,72,55.3,50.5
4.0,1.8000000000000003,0.810,0.450,8.66,17.98,64,73,56.9,50.0
4.0,1.8500000000000003,0.856,0.463,8.43,17.50,62,74,58.5,49.4
4.05,1.7500000000000002,0.756,0.432,8.96,18.55,66,72,55.5,50.9
4.05,1.8000000000000003,0.800,0.444,8.71,18.04,64,72,57.1,50.4
4.05,1.8500000000000003,0.845,0.457,8.48,17.55,62,73,58.7,49.8
4.1,1.8000000000000003,0.790,0.439,8.77,18.09,64,72,57.3,50.8
4.1,1.8500000000000003,0.835,0.451,8.53,17.61,62,73,58.8,50.2
4.1499999999999995,1.8000000000000003,0.781,0.434,8.82,18.15,64,71,57.4,51.1
4.1499999999999995,1.8500000000000003,0.825,0.446,8.58,17.66,62,72,59.0,50.5
4.199999999999999,1.8000000000000003,0.771,0.429,8.87,18.20,63,71,57.6,51.5
4.199999999999999,1.8500000000000003,0.815,0.440,8.63,17.71,62,72,59.2,50.9
4.249999999999999,1.8000000000000003,0.762,0.424,8.93,18.26,63,70,57.8,51.9
4.249999999999999,1.8500000000000003,0.805,0.435,8.69,17.76,61,71,59.4,51.3
4.299999999999999,1.8000000000000003,0.753,0.419,8.98,18.31,63,70,57.9,52.2
4.299999999999999,1.8500000000000003,0.796,0.430,8.74,17.82,61,71,59.5,51.7
4.349999999999999,1.8500000000000003,0.787,0.425,8.79,17.87,61,70,59.7,52.0
4.399999999999999,1.8500000000000003,0.778,0.420,8.84,17.92,61,70,59.9,52.4
4.449999999999998,1.8500000000000003,0.769,0.416,8.89,17.97,61,69,60.1,52.7
4.499999999999998,1.8500000000000003,0.761,0.411,8.94,18.02,61,69,60.2,53.1
4.549999999999998,1.8500000000000003,0.752,0.407,8.99,18.07,60,68,60.4,53.5

OPTIMAL DESIGNS
Objective,AR,Wingspan [m],Value,Additional Info
Min Vstall,4.0,1.8500000000000003,8.43 m/s,Endurance @ 20 m/s: 49.4 min
Min Power @ 20 m/s,4.549999999999998,1.8500000000000003,68 W,Endurance: 53.5 min
Max Vcruise,4.05,1.7500000000000002,18.55 m/s,Endurance @ 20 m/s: 50.9 min
Max Endurance @ 20 m/s,4.549999999999998,1.8500000000000003,53.5 min,Power: 68 W
Max Endurance @ optimal,4.549999999999998,1.8500000000000003,60.4 min,Vcruise: 18.07 m/s
