Time	Aircraft Simulation Roll Angle	Aircraft Simulation Pitch Angle	Aircraft Simulation Heading Angle	Aircraft Simulation Angle Of Attack_Deg	Aircraft Simulation Angle Of Sideslip_Deg	Aircraft Simulation Roll Rate	Aircraft Simulation Pitch Rate	Aircraft Simulation Yaw Rate	Aircraft Simulation Angular Velocity X	Aircraft Simulation Angular Velocity Y	Aircraft Simulation Angular Velocity Z	Aircraft Simulation Position X	Aircraft Simulation Position Y	Aircraft Simulation Position Z	Aircraft Simulation Global Velocity X	Aircraft Simulation Global Velocity Y	Aircraft Simulation Global Velocity Z	Aircraft Simulation Local Velocity X	Aircraft Simulation Local Velocity Y	Aircraft Simulation Local Velocity Z	Aircraft Simulation Airspeed	Aircraft Simulation Ground Speed	Aircraft Simulation Acceleration X	Aircraft Simulation Acceleration Y	Aircraft Simulation Acceleration Z	Aircraft Simulation Local Acceleration X	Aircraft Simulation Local Acceleration Y	Aircraft Simulation Local Acceleration Z	Aircraft Simulation Imu Acceleration X	Aircraft Simulation Imu Acceleration Y	Aircraft Simulation Imu Acceleration Z	Aircraft Simulation Altitude	Aircraft Simulation Time	Aircraft Simulation Net Global Force X	Aircraft Simulation Net Global Force Y	Aircraft Simulation Net Global Force Z	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Moment Y	Aircraft Simulation Net Global Moment Z	Electronic Speed Controller Input Value	Fin Input Value	Port Aileron Input Value	Port Flap Input Value	Propeller Total Thrust	Propeller Advance Ratio	Propeller Thrust Coefficient	Propeller Torque Coefficient	Propeller Propulsive Efficiency	Propeller Rps	Starboard Aileron Input Value	Starboard Flap Input Value	Tailplane Input Value
0.1	-0.002209086	118.7175	10.92503	0	0.00142311	0.03609916	1.411675E-12	-0.3046874	-9.178348E-15	9.642802	0	1.451587E-11	0.09499136	-1.363778E-13	-0.09499136	-1.363778E-13	-1.451587E-11	2.069406E-15	49.99918	0.0005293489	5.684342E-14	-5.218014E-05	-0.0001311754	5.68447E-14	-5.287696E-05	-0.000130896	15.76339	0.0001411728	2.842171E-11	-0.002473593	-0.006190966	2.842177E-11	-0.00250648	-0.006177725	2.818007E-11	9.807355	-0.05834509	49.99918	0.1	-1	0	2.539374E-13	-1	-1.19511	18.63788	-12.58166	0.576216	-64.76928	2.551847	-2.539374E-13	-1	-0.3155722
0.2	-0.0009239796	130.3797	11.38881	7.275957E-09	0.0001785146	0.03583125	-4.743899E-13	0.3664246	1.136949E-13	10.38076	0	1.509728E-12	-0.031263	5.778423E-13	0.031263	5.778423E-13	-1.509728E-12	-3.516648E-15	50.00098	-0.0006423444	-2.842171E-14	1.76914E-05	4.293304E-05	-2.842165E-14	1.741647E-05	4.30453E-05	15.7409	4.643524E-05	-1.421085E-11	0.002482906	0.006029382	-1.421085E-11	0.002444295	0.006045138	-1.412962E-11	9.812244	0.06878281	50.00098	0.2	-1	0	-1.014042E-12	-1	-1.193282	18.78463	-12.80039	0.5809947	-65.86792	2.528014	1.014042E-12	-1	0.3699951
0.3	-0.002394866	120.5496	11.08693	0	0.001315555	0.03610842	-7.2459E-13	-0.147895	-1.713424E-14	9.851889	0	-6.818443E-12	0.006198587	-2.949613E-13	-0.006198587	-2.949613E-13	6.818443E-12	-1.744529E-15	49.9996	0.0002574772	0	-3.430992E-06	-8.535571E-06	-4.622102E-20	-3.453014E-06	-8.526687E-06	15.76418	9.199331E-06	-2.842171E-11	-0.001998618	-0.004973262	-2.842174E-11	-0.002011449	-0.004968087	-2.829767E-11	9.807956	-0.03029016	49.9996	0.3	-1	0	-5.767634E-14	-1	-1.196624	18.64918	-12.60645	0.5763028	-64.92648	2.550951	5.767634E-14	-1	-0.1486053
0.4	-0.0007686109	128.6121	11.40193	1.913577E-06	0.0003471812	0.03582003	-4.434006E-13	0.2799683	-1.533902E-14	10.26849	0	-2.404745E-13	0.01458688	-2.284386E-13	-0.01458688	-2.284386E-13	2.404745E-13	-4.893701E-15	50.00075	-0.0004901737	0	-8.221716E-06	-2.003228E-05	-6.823093E-20	-8.123734E-06	-2.007222E-05	15.7412	2.165384E-05	2.842171E-11	0.001654029	0.004037516	2.842172E-11	0.001634281	0.00404555	2.849764E-11	9.811517	0.05198015	50.00075	0.4	-1	0	-4.172422E-13	-1	-1.192345	18.78689	-12.79263	0.5810686	-65.8275	2.527788	4.172422E-13	-1	0.2782898
0.5	-0.002542739	122.2899	11.20392	-1.826265E-06	0.001145712	0.03607906	-2.076219E-12	-0.05273675	4.653128E-15	9.965065	0	-2.265544E-11	-0.02617692	2.472779E-13	0.02617692	2.472779E-13	2.265544E-11	-4.171096E-15	49.99986	9.196997E-05	-1.136868E-13	1.454726E-05	3.60487E-05	-1.136863E-13	1.458043E-05	3.60353E-05	15.7624	3.887328E-05	-5.684342E-11	-0.001270324	-0.00314787	-5.684346E-11	-0.001273221	-0.003146699	-5.648798E-11	9.808723	-0.01217612	49.99986	0.5	-1	0	-5.209472E-13	-1	-1.196365	18.65588	-12.62381	0.5767615	-64.98754	2.548919	5.209472E-13	-1	-0.04973659
0.6	-0.0006292777	127.0736	11.39131	-1.899025E-06	0.0005300129	0.03585466	1.017773E-12	0.1958618	1.875221E-14	10.17551	0	9.328605E-12	0.03148414	2.587054E-13	-0.03148414	2.587054E-13	-9.328605E-12	6.78148E-16	50.00053	-0.0003425479	0	-1.768023E-05	-4.335633E-05	3.256178E-19	-1.753191E-05	-4.341651E-05	15.74402	4.682266E-05	1.421085E-11	0.0009573995	0.002358341	1.421084E-11	0.0009493321	0.002361601	1.403658E-11	9.810892	0.03589665	50.00053	0.6	-1	0	4.968019E-14	-1	-1.192789	18.77576	-12.76972	0.5804556	-65.74007	2.530524	-4.968019E-14	-1	0.1922607
0.7	-0.002687523	123.601	11.27313	7.275957E-09	0.0009414955	0.03604029	7.835268E-13	0.02175903	3.435533E-14	10.04075	0	-9.450612E-13	-0.02986935	5.689324E-14	0.02986935	5.689324E-14	9.450612E-13	1.979123E-15	50.00006	-3.793836E-05	0	1.664832E-05	4.113326E-05	-2.521184E-19	1.663271E-05	4.113957E-05	15.75894	4.437467E-05	0	-0.0007078051	-0.001744367	1.071621E-17	-0.000707143	-0.001744636	-1.341422E-13	9.809293	0.001978287	50.00006	0.7	-1	0	7.744858E-13	-1	-1.195854	18.67033	-12.64858	0.5774483	-65.08797	2.545879	-7.744858E-13	-1	0.025177
0.8	-0.0004920886	126.134	11.37009	-7.275957E-09	0.0007454084	0.03586713	7.431446E-13	0.1530151	-2.955463E-14	10.1344	0	-2.147881E-12	0.0298701	-5.745602E-13	-0.0298701	-5.745602E-13	2.147881E-12	6.85756E-16	50.00041	-0.0002674907	0	-1.674145E-05	-4.113419E-05	1.944983E-19	-1.663153E-05	-4.117876E-05	15.74645	4.441056E-05	0	0.0005029141	0.001237495	-5.841735E-18	0.0004996072	0.001238834	-1.272443E-13	9.810465	0.02743931	50.00041	0.8	-1	0	-9.886339E-13	-1	-1.192536	18.76739	-12.75319	0.5801461	-65.66066	2.531897	9.886339E-13	-1	0.1495972
0.9	-0.002805579	124.4429	11.29617	0	0.0007118917	0.03602958	1.379964E-12	0.06628418	-4.698553E-14	10.08343	0	8.583242E-12	-0.02786479	1.242872E-13	0.02786479	1.242872E-13	-8.583242E-12	-1.503146E-15	50.00018	-0.0001157075	1.136868E-13	1.556799E-05	3.837282E-05	1.136865E-13	1.552359E-05	3.83908E-05	15.75645	4.141057E-05	1.705302E-10	-0.0003278255	-0.0008093193	1.705303E-10	-0.0003268891	-0.000809698	1.70294E-10	9.809667	0.01053858	50.00018	0.9	-1	0	-3.967872E-13	-1	-1.196558	18.67748	-12.66191	0.5775906	-65.16545	2.545287	3.967872E-13	-1	0.06948853
1	-0.0003672088	125.4684	11.3539	0	0.0009803019	0.03587719	1.252557E-12	0.1187134	-6.981939E-15	10.10326	0	8.118165E-12	0.02542578	-9.742164E-14	-0.02542578	-9.742164E-14	-8.118165E-12	1.938251E-15	50.00032	-0.0002074093	0	-1.423433E-05	-3.501447E-05	3.053268E-19	-1.416175E-05	-3.504389E-05	15.74867	3.779721E-05	0	0.0001899898	0.000472879	-4.074361E-18	0.0001890096	0.0004732716	-2.144625E-13	9.810168	0.02080008	50.00032	1	-1	0	-3.206793E-13	-1	-1.191969	18.75857	-12.73826	0.5799419	-65.57608	2.532777	3.206793E-13	-1	0.1158142
