Time	Aircraft Simulation Net Global Force X	Aircraft Simulation Net Global Force Y	Aircraft Simulation Net Global Force Z	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Moment Y	Aircraft Simulation Net Global Moment Z	Aircraft Simulation Roll Angle	Aircraft Simulation Pitch Angle	Aircraft Simulation Heading Angle	Aircraft Simulation Angle Of Attack_Deg	Aircraft Simulation Angle Of Sideslip_Deg	Aircraft Simulation Roll Rate	Aircraft Simulation Pitch Rate	Aircraft Simulation Yaw Rate	Aircraft Simulation Angular Velocity X	Aircraft Simulation Angular Velocity Y	Aircraft Simulation Angular Velocity Z	Aircraft Simulation Position X	Aircraft Simulation Position Y	Aircraft Simulation Position Z	Aircraft Simulation Global Velocity X	Aircraft Simulation Global Velocity Y	Aircraft Simulation Global Velocity Z	Aircraft Simulation Local Velocity X	Aircraft Simulation Local Velocity Y	Aircraft Simulation Local Velocity Z	Aircraft Simulation Airspeed	Aircraft Simulation Ground Speed	Aircraft Simulation Acceleration X	Aircraft Simulation Acceleration Y	Aircraft Simulation Acceleration Z	Aircraft Simulation Local Acceleration X	Aircraft Simulation Local Acceleration Y	Aircraft Simulation Local Acceleration Z	Aircraft Simulation Imu Acceleration X	Aircraft Simulation Imu Acceleration Y	Aircraft Simulation Imu Acceleration Z	Aircraft Simulation Altitude	Aircraft Simulation Time	Electronic Speed Controller Input Value	Fin Input Value	Port Aileron Input Value	Port Flap Input Value	Propeller Total Thrust	Propeller Advance Ratio	Propeller Thrust Coefficient	Propeller Torque Coefficient	Propeller Propulsive Efficiency	Propeller Rps	Starboard Aileron Input Value	Starboard Flap Input Value	Tailplane Input Value
0.018	-0.001246082	48.12653	-3.772156	1.818989E-09	-0.001140047	0.05563212	8.179214E-13	0.01443481	-1.515099E-13	2.002988	0	7.247495E-12	0.01546353	1.605358E-15	-0.01546353	1.605358E-15	-7.247495E-12	-2.092458E-15	50.00004	-2.515316E-05	0	-8.616596E-06	-2.129492E-05	6.661779E-20	-8.61123E-06	-2.129709E-05	15.98833	2.297215E-05	-2.842171E-11	0.0006956979	0.001719803	-2.842171E-11	0.0006952645	0.001719979	-2.856176E-11	9.810695	0.004191743	50.00004	0.018	-1	0	0	-1	-1.205065	9.190789	-2.98772	0.3048531	-14.33581	5.258414	0	-1	1
0.038	-7.730661E-05	51.76603	-4.073286	-1.818989E-09	0.0003341265	0.03979	4.857147E-13	-0.01219872	-2.15421E-14	2.027029	0	4.057177E-12	-0.07107989	-2.276349E-13	0.07107989	-2.276349E-13	-4.057177E-12	2.063576E-15	49.99997	2.127886E-05	-3.552714E-15	3.957748E-05	9.788445E-05	-3.553013E-15	3.959832E-05	9.787602E-05	15.99606	0.0001055829	-1.421085E-11	0.003718771	0.009207695	-1.421088E-11	0.003720731	0.009206903	-1.429404E-11	9.813721	0.007118277	49.99997	0.038	-1	0	0	-1	-1.211956	15.72437	-8.792316	0.4926649	-44.6627	3.074052	0	-1	1
0.058	-5.001571E-05	50.85851	-4.356122	-7.603375E-07	0.0007526017	0.03679572	1.380222E-12	-0.1956833	-1.086094E-14	1.949479	0	9.239822E-12	-0.2353026	-2.532637E-13	0.2353026	-2.532637E-13	-9.239822E-12	-8.425987E-16	49.99947	0.0003404766	8.881784E-15	0.0001300815	0.0003240366	8.878686E-15	0.0001311875	0.0003235904	16.01374	0.0003491718	1.199041E-11	0.004375353	0.01106178	1.19903E-11	0.004413107	0.01104678	1.175399E-11	9.814357	-0.02245743	49.99947	0.058	-1	0	0	-1	-1.215736	18.24582	-11.86376	0.5581621	-61.72276	2.650501	0	-1	1
0.078	-0.00032429	45.97142	-4.448054	-6.8394E-07	0.0004763135	0.03626262	9.909975E-13	-0.5584684	-1.97502E-15	1.68258	0	1.256781E-11	-0.3784156	-2.296508E-13	0.3784156	-2.296508E-13	-1.256781E-11	-6.67536E-16	49.99849	0.0009668767	1.421085E-14	0.0002060421	0.0005225617	1.420722E-14	0.0002111257	0.0005205286	16.03116	0.0005617153	-7.105427E-12	0.003336929	0.00892661	-7.105486E-12	0.003423777	0.00889366	-7.275153E-12	9.812958	-0.086724	49.99849	0.078	-1	0	0	-1	-1.217731	18.81882	-12.62633	0.5722078	-66.09004	2.571322	0	-1	1
0.098	-0.000606296	39.70827	-4.570605	1.743501E-05	-0.0002204437	0.03617852	-7.65898E-14	-1.066496	-4.192906E-14	1.252102	0	-4.853166E-12	-0.4924447	-3.651379E-13	0.4924447	-3.651379E-13	4.853166E-12	-1.760663E-15	49.99712	0.001833692	0	0.0002622399	0.0006837841	8.678932E-19	0.0002749217	0.0006787847	16.04581	0.0007323459	0	0.002400018	0.008022587	9.27819E-18	0.002548925	0.007976526	1.312047E-14	9.81085	-0.1746149	49.99712	0.098	-1	0	0	-1	-1.219205	18.93132	-12.7777	0.57467	-66.99388	2.557593	0	-1	1
0.118	-0.0007285709	32.45938	-4.734888	-9.094946E-10	-0.001034282	0.03615628	-8.619343E-13	-1.689254	6.308366E-15	0.6914795	0	-3.751698E-12	-0.5818124	1.011781E-12	0.5818124	1.011781E-12	3.751698E-12	-1.274673E-15	49.99541	0.002879456	0	0.0003011832	0.0008100946	4.798965E-18	0.0003249329	0.0008008641	16.05701	0.0008642712	1.421085E-11	0.001598149	0.005529145	1.421088E-11	0.001760447	0.005479631	1.435839E-11	9.807498	-0.2837072	49.99541	0.118	-1	0	0	-1	-1.220285	18.95565	-12.80814	0.5749952	-67.20177	2.555683	0	-1	1
0.138	-0.0006425055	24.33389	-4.983441	1.901071E-05	-0.001726341	0.0361306	1.063915E-12	-2.400933	4.262117E-14	0.02886854	0	9.361101E-12	-0.6502751	7.47227E-14	0.6502751	7.47227E-14	-9.361101E-12	2.309735E-15	49.99346	0.004051864	0	0.0003254823	0.0009103811	-7.423905E-18	0.0003633342	0.0008959468	16.06413	0.0009668156	1.421085E-11	0.0009201466	0.005427864	1.421083E-11	0.001146723	0.005384552	1.402883E-11	9.802536	-0.4055752	49.99346	0.138	-1	0	0	-1	-1.220984	18.96378	-12.81591	0.5749913	-67.2718	2.555641	0	-1	1
0.158	-0.000426018	15.64493	-5.309878	-4.547473E-10	-0.00224109	0.0361016	-8.926853E-13	-3.179444	-9.308871E-15	-0.7119391	0	-5.98448E-12	-0.7006801	-1.339346E-13	0.7006801	-1.339346E-13	5.98448E-12	-3.104604E-15	49.9913	0.005306438	-1.421085E-14	0.0003374615	0.000983621	-1.42046E-14	0.0003914969	0.0009633902	16.06666	0.001039899	-7.105427E-12	0.0003552995	0.003017834	-7.105418E-12	0.0005221316	0.002993483	-6.952811E-12	9.795423	-0.5411014	49.9913	0.158	-1	0	0	-1	-1.221304	18.96727	-12.81803	0.5749626	-67.29871	2.555764	0	-1	1
0.178	-0.0001938662	6.489313	-5.743893	1.364242E-09	-0.002698554	0.03606296	-1.168169E-12	-4.005625	1.820865E-13	-1.510471	0	-1.505398E-11	-0.7354064	1.495029E-12	0.7354064	1.495029E-12	1.505398E-11	-2.21634E-15	49.98899	0.00660564	-2.842171E-14	0.0003393162	0.001037981	-2.841663E-14	0.0004109949	0.001011743	16.06422	0.001092035	-1.065814E-11	-0.00010652	0.001995475	-1.065815E-11	3.31329E-05	0.001998041	-1.045862E-11	9.786069	-0.6832737	49.98899	0.178	-1	0	0	-1	-1.221259	18.96671	-12.81673	0.5749444	-67.292	2.555847	0	-1	1
0.198	-6.110288E-05	-2.938552	-6.283585	9.094946E-10	-0.003283375	0.03601543	2.486348E-13	-4.862832	2.637433E-14	-2.34896	0	3.029829E-12	-0.7565078	-2.544853E-13	0.7565078	-2.544853E-13	-3.029829E-12	-3.715544E-15	49.98658	0.007918268	3.552714E-15	0.0003330788	0.001073535	3.550384E-15	0.0004228841	0.001041436	16.05668	0.001124019	4.440892E-12	-0.000468397	0.001100823	4.440893E-12	-0.0003733936	0.001136567	4.398476E-12	9.774316	-0.8304626	49.98658	0.198	-1	0	0	-1	-1.220911	18.96033	-12.81093	0.5748918	-67.24505	2.556061	0	-1	1
