Time	Aircraft Simulation Net Global Force X	Aircraft Simulation Net Global Force Y	Aircraft Simulation Net Global Force Z	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Moment Y	Aircraft Simulation Net Global Moment Z	Aircraft Simulation Roll Angle	Aircraft Simulation Pitch Angle	Aircraft Simulation Heading Angle	Aircraft Simulation Angle Of Attack_Deg	Aircraft Simulation Angle Of Sideslip_Deg	Aircraft Simulation Roll Rate	Aircraft Simulation Pitch Rate	Aircraft Simulation Yaw Rate	Aircraft Simulation Angular Velocity X	Aircraft Simulation Angular Velocity Y	Aircraft Simulation Angular Velocity Z	Aircraft Simulation Position X	Aircraft Simulation Position Y	Aircraft Simulation Position Z	Aircraft Simulation Global Velocity X	Aircraft Simulation Global Velocity Y	Aircraft Simulation Global Velocity Z	Aircraft Simulation Local Velocity X	Aircraft Simulation Local Velocity Y	Aircraft Simulation Local Velocity Z	Aircraft Simulation Airspeed	Aircraft Simulation Ground Speed	Aircraft Simulation Acceleration X	Aircraft Simulation Acceleration Y	Aircraft Simulation Acceleration Z	Aircraft Simulation Local Acceleration X	Aircraft Simulation Local Acceleration Y	Aircraft Simulation Local Acceleration Z	Aircraft Simulation Imu Acceleration X	Aircraft Simulation Imu Acceleration Y	Aircraft Simulation Imu Acceleration Z	Aircraft Simulation Altitude	Aircraft Simulation Time	Electronic Speed Controller Input Value	Fin Input Value	Port Aileron Input Value	Port Flap Input Value	Propeller Total Thrust	Propeller Advance Ratio	Propeller Thrust Coefficient	Propeller Torque Coefficient	Propeller Propulsive Efficiency	Propeller Rps	Starboard Aileron Input Value	Starboard Flap Input Value	Tailplane Input Value
0.018	0.001404042	-59.72334	-0.4642935	-3.637979E-09	0.0002300445	0.05536443	-2.261487E-14	0.1014099	-3.355403E-14	-8.007899	0	-8.809605E-12	0.1649053	-6.976485E-13	-0.1649053	-6.976485E-13	8.809605E-12	-1.024625E-15	50.00027	-0.0001771003	-5.684342E-14	-9.215996E-05	-0.000227092	-5.684359E-14	-9.17579E-05	-0.0002272547	15.83232	0.00024508	0	-0.003732741	-0.009122107	-6.809118E-18	-0.00371659	-0.009128699	3.865231E-15	9.806269	0.008233288	50.00027	0.018	-1	0	0	-1	-1.187355	9.12473	-2.957748	0.3056671	-14.05247	5.246012	0	-1	0.5
0.038	6.734353E-06	-55.22359	-0.7725372	-8.221832E-07	-0.001440242	0.03958799	1.140176E-13	0.3479004	-5.803831E-14	-7.82512	0	6.647543E-12	0.2500376	4.946231E-13	-0.2500376	4.946231E-13	-6.647543E-12	-3.546303E-15	50.00093	-0.0006097257	1.798561E-14	-0.0001411587	-0.0003433743	1.798554E-14	-0.0001390711	-0.0003442251	15.83221	0.0003712569	1.121325E-11	-0.002195127	-0.005142676	1.121325E-11	-0.00216386	-0.00515591	1.119373E-11	9.807655	0.05441087	50.00093	0.038	-1	0	0	-1	-1.194704	15.6509	-8.749922	0.4950953	-44.0225	3.059479	0	-1	0.5
0.058	2.954431E-05	-51.78415	-0.9999557	0	-0.001213267	0.0365862	5.310225E-13	0.6802673	2.492312E-14	-7.543718	0	5.999398E-12	0.3220088	-1.591395E-13	-0.3220088	-1.591395E-13	-5.999398E-12	5.327509E-17	50.00182	-0.001197457	4.440892E-15	-0.0001842901	-0.0004409834	4.442743E-15	-0.0001790414	-0.0004431404	15.83681	0.0004779427	2.664535E-12	-0.002127141	-0.004762536	2.664556E-12	-0.002070446	-0.004787455	2.573643E-12	9.807239	0.1116847	50.00182	0.058	-1	0	0	-1	-1.198931	18.18446	-11.83707	0.5614724	-61.01498	2.635084	0	-1	0.5
0.078	-3.239734E-06	-47.45323	-1.295829	-1.818989E-09	-0.0004680855	0.03602339	-4.210201E-13	1.091644	-4.173236E-14	-7.17897	0	-3.182937E-12	0.388245	-5.779866E-14	-0.388245	-5.779866E-14	3.182937E-12	-1.722386E-15	50.00291	-0.001932159	-1.54321E-14	-0.0002259444	-0.0005302113	-1.543407E-14	-0.000215802	-0.0005344197	15.84416	0.0005763461	-9.492406E-12	-0.002029352	-0.004296744	-9.492423E-12	-0.001947123	-0.004334627	-9.420351E-12	9.806273	0.1825632	50.00291	0.078	-1	0	0	-1	-1.201726	18.77482	-12.62311	0.5759698	-65.4881	2.554696	0	-1	0.5
0.098	-0.0001955628	-42.23541	-1.67074	-3.637979E-09	0.0003197201	0.03591643	9.636515E-13	1.573914	7.914773E-14	-6.737134	0	-7.263779E-12	0.4460253	2.478299E-13	-0.4460253	2.478299E-13	7.263779E-12	9.985328E-16	50.00419	-0.002803355	0	-0.0002646223	-0.0006074181	5.007452E-18	-0.0002478386	-0.0006144572	15.85382	0.0006625569	-3.552713E-12	-0.001837499	-0.003608234	-3.552679E-12	-0.0017377	-0.003657343	-3.71761E-12	9.804562	0.2657912	50.00419	0.098	-1	0	0	-1	-1.204614	18.90756	-12.80318	0.578743	-66.5714	2.539712	0	-1	0.5
0.118	-0.0004000405	-36.33869	-2.126021	0	0.0009710212	0.03588611	2.414795E-13	2.115326	-4.864086E-14	-6.227716	0	2.949392E-12	0.4921721	-1.206636E-13	-0.4921721	-1.206636E-13	-2.949392E-12	-6.385519E-16	50.00562	-0.003794149	1.421085E-14	-0.000298257	-0.0006683855	1.421144E-14	-0.0002733829	-0.000678939	15.86527	0.0007319128	1.421085E-11	-0.001543667	-0.002733519	1.421086E-11	-0.001441718	-0.002788635	1.416954E-11	9.801873	0.359309	50.00562	0.118	-1	0	0	-1	-1.207459	18.95124	-12.86005	0.5792162	-66.96685	2.537081	0	-1	0.5
0.138	-0.0005279648	-29.94478	-2.655823	1.818989E-09	0.001413248	0.03589449	-9.343378E-13	2.701202	-4.412627E-15	-5.664024	0	-5.551754E-12	0.5248018	1.165202E-13	-0.5248018	1.165202E-13	5.551754E-12	-4.250199E-15	50.00715	-0.004881471	1.421085E-14	-0.0003252486	-0.0007086939	1.420605E-14	-0.0002914882	-0.0007232346	15.87788	0.0007797651	0	-0.001185108	-0.001775974	-1.807631E-17	-0.001100094	-0.001829852	1.597785E-13	9.798	0.4604905	50.00715	0.138	-1	0	0	-1	-1.210055	18.97149	-12.88133	0.5790181	-67.1723	2.537709	0	-1	0.5
0.158	-0.0005184807	-23.26244	-3.251215	-3.45608E-07	0.00166819	0.03592967	2.82143E-13	3.315582	5.164411E-15	-5.061672	0	2.504325E-12	0.5433362	1.993455E-13	-0.5433362	1.993455E-13	-2.504325E-12	-2.217694E-15	50.00874	-0.006038442	1.421085E-14	-0.0003445474	-0.0007295775	1.421241E-14	-0.0003017751	-0.0007482834	15.89094	0.0008068434	0	-0.0007790513	-0.0008204951	3.670157E-18	-0.0007302933	-0.0008641787	-4.822309E-14	9.79285	0.5665044	50.00874	0.158	-1	0	0	-1	-1.212305	18.9758	-12.87772	0.5783589	-67.24529	2.540423	0	-1	0.5
0.178	-0.000400092	-16.5106	-3.899249	0	0.001831485	0.03598629	-1.510663E-12	3.942474	-5.620087E-14	-4.437023	0	-1.181036E-11	0.5480587	3.400723E-13	-0.5480587	3.400723E-13	1.181036E-11	-4.63585E-15	50.01035	-0.007236466	-1.421085E-14	-0.0003555706	-0.0007317374	-1.42196E-14	-0.0003044188	-0.0007544529	15.90385	0.0008135539	0	-0.0003552995	9.243376E-05	-9.42257E-18	-0.000360814	6.778653E-05	2.580294E-13	9.786425	0.6745508	50.01035	0.178	-1	0	0	-1	-1.214267	18.96756	-12.85573	0.5773726	-67.2159	2.544652	0	-1	0.5
0.198	-0.0002440221	-9.747277	-4.590752	-1.751141E-05	0.002010001	0.03604564	1.115662E-12	4.566467	5.587036E-14	-3.806131	0	8.900154E-12	0.5397947	7.003341E-13	-0.5397947	7.003341E-13	-8.900154E-12	-6.829006E-16	50.01195	-0.00844644	7.105427E-15	-0.0003580595	-0.0007165854	7.111966E-15	-0.0002998718	-0.0007428178	15.91615	0.0008010626	-3.552713E-12	6.402842E-05	0.001942506	-3.552714E-12	-9.082804E-05	0.001941437	-3.743127E-12	9.778769	0.7829677	50.01195	0.198	-1	0	0	-1	-1.216107	18.95362	-12.82707	0.5762897	-67.14273	2.549422	0	-1	0.5
