Time	Aircraft Simulation True Pitch Moment	Aircraft Simulation Net Global Force Y
0.1	0.7638932	21.73
0.2	0.4933832	21.39322
0.3	0.4559124	21.34656
0.4	0.4507944	21.34018
0.5	0.447418	21.33597
0.6	0.4451294	21.33313
0.7	0.4448044	21.33272
0.8	0.4432933	21.33084
0.9	0.4425274	21.32988
1	0.4431879	21.3307
1.1	0.4421373	21.3294
1.2	0.4416746	21.32882
1.3	0.4425856	21.32995
1.4	0.4417001	21.32885
1.5	0.4413058	21.32837
1.6	0.4425079	21.32986
1.7	0.4417964	21.32897
1.8	0.4413454	21.32841
1.9	0.4420958	21.32935
2	0.4419072	21.32911
2.1	0.4413875	21.32846
2.2	0.4415073	21.32862
2.3	0.4420371	21.32927
2.4	0.4414346	21.32852
2.5	0.4415461	21.32866
2.6	0.4421887	21.32946
2.7	0.4414871	21.32859
2.8	0.4415848	21.32871
2.9	0.4423524	21.32966
3	0.4415464	21.32866
3.1	0.4416269	21.32876
3.2	0.4425028	21.32985
3.3	0.4416133	21.32874
3.4	0.4416727	21.32882
3.5	0.4425859	21.32995
3.6	0.4416907	21.32884
3.7	0.4413023	21.32836
3.8	0.4425327	21.32989
3.9	0.4417819	21.32895
4	0.4413405	21.32841
4.1	0.4421935	21.32947
4.2	0.4418899	21.32909
4.3	0.4413806	21.32845
4.4	0.4415028	21.32861
4.5	0.4420177	21.32925
4.6	0.4414281	21.32852
4.7	0.4415401	21.32866
4.8	0.4421653	21.32943
4.9	0.4414797	21.32858
5	0.4415798	21.32871
5.1	0.4423288	21.32963
5.2	0.4415365	21.32865
5.3	0.4416211	21.32876
5.4	0.4424827	21.32982
5.5	0.4416029	21.32873
5.6	0.4416653	21.32881
5.7	0.4425801	21.32995
5.8	0.4416793	21.32882
5.9	0.441297	21.32835
6	0.4425514	21.32991
6.1	0.4417676	21.32893
6.2	0.4413341	21.3284
6.3	0.4422722	21.32957
6.4	0.4418729	21.32907
6.5	0.4413752	21.32845
6.6	0.4472155	21.33572
6.7	0.4419977	21.32922
6.8	0.4414207	21.3285
6.9	0.4415341	21.32865
7	0.4421428	21.3294
7.1	0.4414712	21.32857
7.2	0.4415739	21.3287
7.3	0.4423048	21.3296
7.4	0.4415277	21.32864
7.5	0.4416146	21.32875
7.6	0.442464	21.3298
7.7	0.4415935	21.32872
7.8	0.4416587	21.3288
7.9	0.4425728	21.32994
8	0.4416669	21.32881
8.1	0.4417069	21.32886
8.2	0.4425662	21.32993
8.3	0.4417552	21.32892
8.4	0.4413281	21.32839
8.5	0.4423375	21.32965
8.6	0.441857	21.32904
8.7	0.4413682	21.32844
8.8	0.4415133	21.32862
8.9	0.4419783	21.3292
9	0.4414132	21.3285
9.1	0.4415286	21.32864
9.2	0.4421213	21.32937
9.3	0.4414637	21.32856
9.4	0.4415679	21.32869
9.5	0.4422813	21.32958
9.6	0.4415197	21.32863
9.7	0.4416081	21.32874
9.8	0.4424433	21.32977
9.9	0.4415832	21.32871
10	0.4416518	21.32879
10.1	0.4425621	21.32992
10.2	0.441656	21.3288
10.3	0.4416994	21.32885
10.4	0.4425774	21.32994
10.5	0.4417418	21.3289
10.6	0.4413231	21.32838
10.7	0.4423927	21.32972
10.8	0.4418411	21.32903
10.9	0.4413643	21.32844
11	0.4416267	21.32876
11.1	0.4419609	21.32917
11.2	0.4414064	21.32849
11.3	0.4415241	21.32864
11.4	0.4420999	21.32935
11.5	0.4414558	21.32855
11.6	0.4415624	21.32868
11.7	0.4422583	21.32955
11.8	0.4415112	21.32862
