Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
0.1	1.433816	4.868134
0.2	1.434175	4.868027
0.3	1.433991	4.868147
0.4	1.434021	4.868131
0.5	1.434024	4.868117
0.6	1.434023	4.868104
0.7	1.434019	4.868079
0.8	1.434022	4.868055
0.9	1.43402	4.868033
1	1.434022	4.868009
1.1	1.43402	4.867989
1.2	1.434021	4.867973
1.3	1.43402	4.86795
1.4	1.434018	4.867929
1.5	1.434016	4.867903
1.6	1.43402	4.86788
1.7	1.434018	4.867856
1.8	1.434015	4.86783
1.9	1.434015	4.867813
2	1.434019	4.867794
2.1	1.434013	4.867778
2.2	1.43402	4.867757
2.3	1.434017	4.867737
2.4	1.434012	4.867725
2.5	1.434016	4.867703
2.6	1.434016	4.867681
2.7	1.434016	4.867654
2.8	1.434018	4.867624
2.9	1.434014	4.867599
3	1.434014	4.86758
3.1	1.434015	4.86756
3.2	1.434011	4.867546
3.3	1.434014	4.867523
3.4	1.434014	4.867498
3.5	1.434015	4.867478
3.6	1.434015	4.867455
3.7	1.434013	4.867437
3.8	1.434012	4.867414
3.9	1.434013	4.867389
4	1.434011	4.867369
4.1	1.43401	4.867348
4.2	1.434011	4.86733
4.3	1.434011	4.867312
4.4	1.434012	4.867295
4.5	1.434012	4.86727
4.6	1.434007	4.867256
4.7	1.434012	4.867231
4.8	1.434008	4.867208
4.9	1.434009	4.867188
5	1.43401	4.867171
5.1	1.43401	4.867149
5.2	1.434009	4.867126
5.3	1.434008	4.867106
5.4	1.434013	4.867083
5.5	1.434007	4.867064
5.6	1.43401	4.867044
5.7	1.434012	4.867021
5.8	1.434011	4.867009
5.9	1.434011	4.866991
6	1.434011	4.866958
6.1	1.434006	4.86693
6.2	1.434005	4.866908
6.3	1.434007	4.866886
6.4	1.434007	4.866868
6.5	1.434003	4.866853
6.6	1.434005	4.866838
6.7	1.434	4.866818
6.8	1.434007	4.866804
6.9	1.43401	4.866781
7	1.434008	4.866759
7.1	1.434003	4.866747
7.2	1.434005	4.866731
7.3	1.434005	4.866714
7.4	1.434005	4.866686
7.5	1.434006	4.866659
7.6	1.434007	4.866632
7.7	1.434003	4.866611
7.8	1.434004	4.866588
7.9	1.434001	4.866563
8	1.434001	4.866545
8.1	1.434001	4.866524
8.2	1.434001	4.866502
8.3	1.434	4.866487
8.4	1.434	4.866467
8.5	1.434	4.866445
8.6	1.434001	4.86643
8.7	1.434001	4.866408
8.8	1.434002	4.866387
8.9	1.434002	4.866364
9	1.434001	4.866334
9.1	1.433999	4.866316
9.2	1.434	4.866297
9.3	1.433999	4.86628
9.4	1.433999	4.866266
9.5	1.434	4.866245
9.6	1.433997	4.866221
9.7	1.434	4.866197
9.8	1.434001	4.86618
9.9	1.433999	4.866153
10	1.433998	4.866131
10.1	1.433997	4.866107
10.2	1.433997	4.866084
10.3	1.433999	4.866063
10.4	1.434001	4.866049
10.5	1.434	4.866032
