Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force Z
0.1	1.433816	4.868134	0
0.2	1.434175	4.868027	0
0.3	1.433991	4.868147	0
0.4	1.434021	4.868131	0
0.5	1.434024	4.868117	0
0.6	1.434023	4.868104	0
0.7	1.434019	4.868079	0
0.8	1.434022	4.868055	0
0.9	1.43402	4.868033	0
1	1.434022	4.868009	0
1.1	1.43402	4.867989	0
1.2	1.434021	4.867973	0
1.3	1.43402	4.86795	0
1.4	1.434018	4.867929	0
1.5	1.434016	4.867903	0
1.6	1.43402	4.86788	0
1.7	1.434018	4.867856	0
1.8	1.434015	4.86783	0
1.9	1.434015	4.867813	0
2	1.434019	4.867794	0
2.1	1.434013	4.867778	0
2.2	1.43402	4.867757	0
2.3	1.434017	4.867737	0
2.4	1.434012	4.867725	0
2.5	1.434016	4.867703	0
2.6	1.434016	4.867681	0
2.7	1.434016	4.867654	0
2.8	1.434018	4.867624	0
2.9	1.434014	4.867599	0
3	1.434014	4.86758	0
3.1	1.434015	4.86756	0
3.2	1.434011	4.867546	0
3.3	1.434014	4.867523	0
3.4	1.434014	4.867498	0
3.5	1.434015	4.867478	0
3.6	1.434015	4.867455	0
3.7	1.434013	4.867437	0
3.8	1.434012	4.867414	0
3.9	1.434013	4.867389	0
4	1.434011	4.867369	0
4.1	1.43401	4.867348	0
4.2	1.434011	4.86733	0
4.3	1.434011	4.867312	0
4.4	1.434012	4.867295	0
4.5	1.434012	4.86727	0
4.6	1.434007	4.867256	0
4.7	1.434012	4.867231	0
4.8	1.434008	4.867208	0
4.9	1.434009	4.867188	0
5	1.43401	4.867171	0
5.1	1.43401	4.867149	0
5.2	1.434009	4.867126	0
5.3	1.434008	4.867106	0
5.4	1.434013	4.867083	0
5.5	1.434007	4.867064	0
5.6	1.43401	4.867044	0
5.7	1.434012	4.867021	0
5.8	1.434011	4.867009	0
5.9	1.434011	4.866991	0
6	1.434011	4.866958	0
6.1	1.434006	4.86693	0
6.2	1.434005	4.866908	0
6.3	1.434007	4.866886	0
6.4	1.434007	4.866868	0
6.5	1.434003	4.866853	0
6.6	1.434005	4.866838	0
6.7	1.434	4.866818	0
6.8	1.434007	4.866804	0
6.9	1.43401	4.866781	0
7	1.434008	4.866759	0
7.1	1.434003	4.866747	0
7.2	1.434005	4.866731	0
7.3	1.434005	4.866714	0
7.4	1.434005	4.866686	0
7.5	1.434006	4.866659	0
7.6	1.434007	4.866632	0
7.7	1.434003	4.866611	0
7.8	1.434004	4.866588	0
7.9	1.434001	4.866563	0
8	1.434001	4.866545	0
8.1	1.434001	4.866524	0
8.2	1.434001	4.866502	0
8.3	1.434	4.866487	0
8.4	1.434	4.866467	0
8.5	1.434	4.866445	0
8.6	1.434001	4.86643	0
8.7	1.434001	4.866408	0
8.8	1.434002	4.866387	0
8.9	1.434002	4.866364	0
9	1.434001	4.866334	0
9.1	1.433999	4.866316	0
9.2	1.434	4.866297	0
9.3	1.433999	4.86628	0
9.4	1.433999	4.866266	0
9.5	1.434	4.866245	0
9.6	1.433997	4.866221	0
9.7	1.434	4.866197	0
9.8	1.434001	4.86618	0
9.9	1.433999	4.866153	0
10	1.433998	4.866131	0
10.1	1.433997	4.866107	0
10.2	1.433997	4.866084	0
10.3	1.433999	4.866063	0
10.4	1.434001	4.866049	0
10.5	1.434	4.866032	0
10.6	1.434	4.866012	0
10.7	1.433998	4.865991	0
10.8	1.433999	4.865968	0
10.9	1.433996	4.865943	0
11	1.433997	4.86592	0
11.1	1.433997	4.865896	0
11.2	1.433995	4.865873	0
11.3	1.433994	4.86585	0
11.4	1.433996	4.86583	0
11.5	1.433999	4.865814	0
11.6	1.433998	4.865795	0
11.7	1.433998	4.865771	0
11.8	1.433995	4.865745	0
11.9	1.433995	4.865719	0
12	1.433994	4.865698	0
12.1	1.433997	4.865676	0
