Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force Z	Aircraft Simulation Airspeed
0.1	1.433816	4.868134	0	0.05958687
0.2	1.434175	4.868027	0	0.01242257
0.3	1.433991	4.868147	0	0.01049586
0.4	1.434021	4.868131	0	0.008229114
0.5	1.434024	4.868117	0	0.004934357
0.6	1.434023	4.868104	0	0.003420823
0.7	1.434019	4.868079	0	0.002417148
0.8	1.434022	4.868055	0	0.00163349
0.9	1.43402	4.868033	0	0.001776745
1	1.434022	4.868009	0	0.001369003
1.1	1.43402	4.867989	0	0.001291333
1.2	1.434021	4.867973	0	0.001343247
1.3	1.43402	4.86795	0	0.001079787
1.4	1.434018	4.867929	0	0.0006766042
1.5	1.434016	4.867903	0	0.0007849925
1.6	1.43402	4.86788	0	0.0004646309
1.7	1.434018	4.867856	0	0.000322122
1.8	1.434015	4.86783	0	0.0004577538
1.9	1.434015	4.867813	0	0.0006478298
2	1.434019	4.867794	0	0.0006934585
2.1	1.434013	4.867778	0	0.001413641
2.2	1.43402	4.867757	0	0.001363731
2.3	1.434017	4.867737	0	0.001305139
2.4	1.434012	4.867725	0	0.001503018
2.5	1.434016	4.867703	0	0.001155554
2.6	1.434016	4.867681	0	0.0008094171
2.7	1.434016	4.867654	0	0.0008536825
2.8	1.434018	4.867624	0	0.0005085132
2.9	1.434014	4.867599	0	0.0009457754
3	1.434014	4.86758	0	0.00119858
3.1	1.434015	4.86756	0	0.001029353
3.2	1.434011	4.867546	0	0.0009774801
3.3	1.434014	4.867523	0	0.001122855
3.4	1.434014	4.867498	0	0.0008468347
3.5	1.434015	4.867478	0	0.0009919342
3.6	1.434015	4.867455	0	0.001021131
3.7	1.434013	4.867437	0	0.001025128
3.8	1.434012	4.867414	0	0.001211113
3.9	1.434013	4.867389	0	0.001230551
4	1.434011	4.867369	0	0.00121364
4.1	1.43401	4.867348	0	0.001328612
4.2	1.434011	4.86733	0	0.001135593
4.3	1.434011	4.867312	0	0.00143518
4.4	1.434012	4.867295	0	0.001546362
4.5	1.434012	4.86727	0	0.001403719
4.6	1.434007	4.867256	0	0.00153788
4.7	1.434012	4.867231	0	0.001045134
4.8	1.434008	4.867208	0	0.0008905329
4.9	1.434009	4.867188	0	0.0009337961
5	1.43401	4.867171	0	0.001177054
5.1	1.43401	4.867149	0	0.001130455
5.2	1.434009	4.867126	0	0.000884379
5.3	1.434008	4.867106	0	0.001101458
5.4	1.434013	4.867083	0	0.001031727
5.5	1.434007	4.867064	0	0.001071465
5.6	1.43401	4.867044	0	0.001062765
5.7	1.434012	4.867021	0	0.001083179
5.8	1.434011	4.867009	0	0.000843222
5.9	1.434011	4.866991	0	0.0006857779
6	1.434011	4.866958	0	0.0006624545
6.1	1.434006	4.86693	0	0.0006320893
6.2	1.434005	4.866908	0	0.0006827158
6.3	1.434007	4.866886	0	0.0009662465
6.4	1.434007	4.866868	0	0.001141675
6.5	1.434003	4.866853	0	0.001742911
6.6	1.434005	4.866838	0	0.002008013
6.7	1.434	4.866818	0	0.002147861
6.8	1.434007	4.866804	0	0.001850975
6.9	1.43401	4.866781	0	0.001758769
7	1.434008	4.866759	0	0.001409824
7.1	1.434003	4.866747	0	0.001506455
7.2	1.434005	4.866731	0	0.001133021
7.3	1.434005	4.866714	0	0.001085959
7.4	1.434005	4.866686	0	0.0007618936
7.5	1.434006	4.866659	0	0.0007340657
7.6	1.434007	4.866632	0	0.0003732935
7.7	1.434003	4.866611	0	0.0003168434
7.8	1.434004	4.866588	0	0.0006568952
7.9	1.434001	4.866563	0	0.0004303132
8	1.434001	4.866545	0	0.0004856698
8.1	1.434001	4.866524	0	0.001020045
8.2	1.434001	4.866502	0	0.001112816
8.3	1.434	4.866487	0	0.001403828
8.4	1.434	4.866467	0	0.001082534
8.5	1.434	4.866445	0	0.0009497558
8.6	1.434001	4.86643	0	0.0008888086
8.7	1.434001	4.866408	0	0.0008373891
8.8	1.434002	4.866387	0	0.000785762
8.9	1.434002	4.866364	0	0.001001353
9	1.434001	4.866334	0	0.0006014671
9.1	1.433999	4.866316	0	0.00103616
9.2	1.434	4.866297	0	0.001151233
9.3	1.433999	4.86628	0	0.0012222
9.4	1.433999	4.866266	0	0.001420256
9.5	1.434	4.866245	0	0.001238687
9.6	1.433997	4.866221	0	0.001092296
9.7	1.434	4.866197	0	0.001027551
9.8	1.434001	4.86618	0	0.0009982231
9.9	1.433999	4.866153	0	0.0009671068
10	1.433998	4.866131	0	0.0009281363
10.1	1.433997	4.866107	0	0.0009664183
10.2	1.433997	4.866084	0	0.0008384565
10.3	1.433999	4.866063	0	0.001058006
10.4	1.434001	4.866049	0	0.001310734
10.5	1.434	4.866032	0	0.001388369
10.6	1.434	4.866012	0	0.001365767
10.7	1.433998	4.865991	0	0.001162756
10.8	1.433999	4.865968	0	0.001074072
10.9	1.433996	4.865943	0	0.0005885158
11	1.433997	4.86592	0	0.0006023266
11.1	1.433997	4.865896	0	0.0005834962
11.2	1.433995	4.865873	0	0.0008407964
11.3	1.433994	4.86585	0	0.001232437
11.4	1.433996	4.86583	0	0.001237706
11.5	1.433999	4.865814	0	0.001024354
11.6	1.433998	4.865795	0	0.001072176
11.7	1.433998	4.865771	0	0.001064245
11.8	1.433995	4.865745	0	0.001296635
11.9	1.433995	4.865719	0	0.001342044
12	1.433994	4.865698	0	0.001560504
12.1	1.433997	4.865676	0	0.001413365
12.2	1.433996	4.865653	0	0.0008938782
12.3	1.433996	4.865635	0	0.0009747373
12.4	1.433998	4.865612	0	0.0008667841
12.5	1.433993	4.86559	0	0.001110077
12.6	1.433992	4.865569	0	0.001102758
12.7	1.433993	4.865548	0	0.001399542
12.8	1.433996	4.865534	0	0.001185658
12.9	1.433995	4.865508	0	0.0009602794
13	1.433992	4.865477	0	0.000420107
13.1	1.433993	4.865457	0	0.0005865366
13.2	1.433994	4.865432	0	0.0007385376
13.3	1.433989	4.865415	0	0.001150057
13.4	1.433993	4.865391	0	0.001256836
13.5	1.433993	4.865374	0	0.001187768
13.6	1.433993	4.865356	0	0.000826656
13.7	1.433993	4.865336	0	0.0005213635
13.8	1.433993	4.865311	0	0.0004447236
13.9	1.433992	4.865279	0	0.0004934964
14	1.433991	4.865258	0	0.0005314658
14.1	1.433989	4.865244	0	0.0009590833
14.2	1.433988	4.865226	0	0.001374092
14.3	1.43399	4.865203	0	0.001278072
14.4	1.43399	4.86519	0	0.001644694
14.5	1.43399	4.86517	0	0.001689373
14.6	1.433991	4.865141	0	0.0009453373
14.7	1.433986	4.865131	0	0.0008192153
14.8	1.433987	4.865108	0	0.0007636993
14.9	1.433986	4.865078	0	0.0005087767
15	1.433984	4.865051	0	0.0006524303
15.1	1.433986	4.865027	0	0.001072331
15.2	1.433988	4.865003	0	0.001332627
15.3	1.433986	4.864991	0	0.001593035
15.4	1.433984	4.864979	0	0.001733038
15.5	1.433991	4.864954	0	0.001368942
15.6	1.433987	4.864927	0	0.001001193
15.7	1.433983	4.864901	0	0.0009308006
15.8	1.433987	4.864874	0	0.0008396231
15.9	1.433985	4.864854	0	0.0007571777
16	1.43398	4.86484	0	0.001232232
16.1	1.433988	4.864813	0	0.001081647
16.2	1.433984	4.864799	0	0.001000335
16.3	1.433981	4.864779	0	0.0009938334
16.4	1.433981	4.864756	0	0.001080369
16.5	1.433985	4.864727	0	0.0008239477
16.6	1.433984	4.864708	0	0.001057381
16.7	1.433985	4.864686	0	0.001092266
16.8	1.433986	4.864663	0	0.0009279693
16.9	1.433983	4.864639	0	0.0008203551
17	1.433983	4.864615	0	0.0005739123
17.1	1.433981	4.864594	0	0.0005746079
17.2	1.43398	4.864573	0	0.0007812266
17.3	1.43398	4.864552	0	0.0006892218
17.4	1.43398	4.864533	0	0.001229037
17.5	1.433984	4.864522	0	0.001413432
17.6	1.433982	4.864494	0	0.0013613
17.7	1.43398	4.864474	0	0.0008634635
17.8	1.433982	4.86444	0	0.0004753119
17.9	1.433978	4.864425	0	0.0008819167
18	1.433978	4.864405	0	0.0009620544
18.1	1.433981	4.864386	0	0.0007509026
18.2	1.433975	4.864359	0	0.001359088
18.3	1.433981	4.864336	0	0.001260912
18.4	1.433976	4.864318	0	0.001310165
18.5	1.433979	4.864302	0	0.001099276
18.6	1.433979	4.864284	0	0.001154996
