Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
0.1	1.434679	4.866891
0.2	1.433981	4.86788
0.3	1.434048	4.868052
0.4	1.434063	4.868143
0.5	1.434054	4.868195
0.6	1.434055	4.868215
0.7	1.434054	4.868227
0.8	1.434054	4.868227
0.9	1.434056	4.868228
1	1.434057	4.86823
1.1	1.434052	4.868234
1.2	1.434056	4.868235
1.3	1.434054	4.868235
1.4	1.434054	4.86823
1.5	1.434056	4.868229
1.6	1.434056	4.868229
1.7	1.434055	4.86823
1.8	1.434058	4.868236
1.9	1.434059	4.868238
2	1.434059	4.868236
2.1	1.434057	4.86824
2.2	1.43406	4.868236
2.3	1.434057	4.868237
2.4	1.43406	4.868234
2.5	1.43406	4.868235
2.6	1.434057	4.868237
2.7	1.434059	4.868238
2.8	1.434056	4.868235
2.9	1.43406	4.868235
3	1.434058	4.868244
3.1	1.434057	4.868245
3.2	1.434057	4.868245
3.3	1.434057	4.868247
3.4	1.434057	4.868245
3.5	1.434057	4.868245
3.6	1.434057	4.868248
3.7	1.434059	4.868255
3.8	1.434055	4.868278
3.9	1.434058	4.868316
4	1.434059	4.868368
4.1	1.434055	4.868431
4.2	1.434054	4.868494
4.3	1.434062	4.868561
4.4	1.434058	4.868644
4.5	1.434059	4.868723
4.6	1.434061	4.868857
4.7	1.434061	4.869269
4.8	1.434082	4.871609
4.9	1.43417	4.880232
5	1.43439	4.901049
5.1	1.434804	4.940549
5.2	1.435471	5.00291
5.3	1.436396	5.089574
5.4	1.437597	5.201812
5.5	1.439085	5.340872
5.6	1.440879	5.507931
5.7	1.442988	5.704071
5.8	1.44542	5.930236
5.9	1.448186	6.187202
6	1.451296	6.47558
6.1	1.454746	6.79579
6.2	1.458548	7.148059
6.3	1.462691	7.532442
6.4	1.467188	7.948819
6.5	1.472026	8.396937
6.6	1.477202	8.876416
6.7	1.482711	9.386775
6.8	1.488553	9.92745
6.9	1.494717	10.4978
7	1.501193	11.09717
7.1	1.507979	11.72488
7.2	1.515065	12.38026
7.3	1.522443	13.06263
7.4	1.530105	13.77132
7.5	1.538047	14.5057
7.6	1.546263	15.26516
7.7	1.554741	16.04908
7.8	1.56348	16.85692
7.9	1.572471	17.6881
8	1.581711	18.54212
8.1	1.591193	19.41848
8.2	1.600911	20.31672
8.3	1.610863	21.23637
8.4	1.621041	22.17702
8.5	1.631442	23.13824
8.6	1.633949	24.12201
8.7	1.610872	25.13489
8.8	1.594505	26.16682
8.9	1.574832	27.22438
9	1.557261	28.30315
9.1	1.538712	29.40481
9.2	1.520025	30.52841
9.3	1.500908	31.67385
9.4	1.494434	32.83631
9.5	1.503636	34.01693
9.6	1.509711	35.227
9.7	1.514502	36.47053
9.8	1.518995	37.74868
9.9	1.523543	39.06136
10	1.528493	40.40774
10.1	1.532866	41.78707
10.2	1.535485	43.19648
10.3	1.536587	44.63322
10.4	1.538337	46.09592
10.5	1.541924	47.58374
10.6	1.554422	49.09479
10.7	1.578725	50.62691
10.8	1.602194	52.18179
10.9	1.625432	53.75816
11	1.652631	55.35418
11.1	1.689659	56.96811
11.2	1.761078	58.59397
11.3	1.867507	60.22915
11.4	1.996883	61.87449
11.5	2.146511	63.52731
11.6	2.315949	65.18444
11.7	2.50667	66.84272
11.8	2.720598	68.49995
11.9	2.960229	70.15399
12	3.22924	71.80228
12.1	3.531995	73.44185
12.2	3.8722	75.06939
12.3	4.251537	76.68125
12.4	4.669026	78.27422
12.5	5.121648	79.84557
12.6	5.603259	81.39202
12.7	6.103967	82.91064
12.8	6.61251	84.39992
12.9	7.119905	85.85928
13	7.621522	87.29003
13.1	8.114709	88.69363
13.2	8.597087	90.07169
13.3	9.065657	91.42632
13.4	9.517118	92.75989
13.5	9.948723	94.0748
13.6	10.35847	95.37348
13.7	10.74487	96.65845
13.8	11.10657	97.9323
13.9	11.44223	99.19762
14	11.75062	100.457
14.1	12.03068	101.7132
14.2	12.28148	102.9688
14.3	12.50134	104.2241
14.4	12.68866	105.4802
14.5	12.8427	106.7397
14.6	12.96306	108.0054
14.7	13.0498	109.2799
14.8	13.10354	110.5655
14.9	13.12538	111.8648
15	13.11686	113.1799
15.1	13.08015	114.5129
15.2	13.01815	115.8655
15.3	12.93458	117.2397
15.4	12.83338	118.6371
15.5	12.71793	120.0585
15.6	12.59072	121.504
15.7	12.45312	122.973
15.8	12.306	124.4649
15.9	12.1504	125.9787
16	11.98757	127.5135
16.1	11.81906	129.0689
16.2	11.64851	130.6448
16.3	11.48149	132.2407
