Time	Aircraft Simulation Roll Angle	Aircraft Simulation Yaw Rate
0.1	0.001235331	2.107278E-06
0.2	0.001557265	2.069724E-06
0.3	0.001879242	2.069268E-06
0.4	0.002201167	2.068837E-06
0.5	0.002522178	2.068376E-06
0.6	0.002843995	2.067918E-06
0.7	0.003165763	2.067488E-06
0.8	0.003486623	2.06696E-06
0.9	0.003808294	2.066471E-06
1	0.004129915	2.065966E-06
1.1	0.004435951	1.653919E-06
1.2	0.002255224	-3.21932E-05
1.3	-0.01285805	-5.454093E-05
1.4	-0.03553565	5.464898E-05
1.5	-0.06158553	0.0001261824
1.6	-0.08901989	0.0002106154
1.7	-0.1169583	0.000286813
1.8	-0.1450018	0.0002621868
1.9	-0.1729922	0.0002370416
2	-0.2009106	0.0001807722
2.1	-0.2287877	5.740018E-05
2.2	-0.2566801	-1.56374E-05
2.3	-0.2846564	-9.605687E-05
2.4	-0.3127589	-0.0001818619
2.5	-0.3410119	-0.000179104
2.6	-0.3694163	-0.0001823435
2.7	-0.3979411	-0.0001642169
2.8	-0.4265475	-7.591771E-05
2.9	-0.4551855	-3.035582E-05
3	-0.4837954	2.900094E-05
3.1	-0.512341	0.0001097359
3.2	-0.540792	0.0001138375
3.3	-0.5691333	0.0001312908
3.4	-0.5973823	0.0001382046
3.5	-0.6255515	7.459144E-05
3.6	-0.6536749	5.055501E-05
3.7	-0.6817983	1.180621E-05
3.8	-0.7099453	-6.076421E-05
3.9	-0.7381489	-6.50442E-05
4	-0.7664346	-8.653358E-05
4.1	-0.7947859	-0.0001092817
4.2	-0.8232003	-6.311119E-05
4.3	-0.8516651	-5.381605E-05
4.4	-0.8801433	-3.276508E-05
4.5	-0.908621	2.981383E-05
4.6	-0.9370698	3.133763E-05
4.7	-0.9654711	5.206243E-05
4.8	-0.9938223	8.32113E-05
4.9	-1.022124	4.824213E-05
5	-1.050385	4.92429E-05
5.1	-1.078622	4.208096E-05
5.2	-1.106853	-1.18941E-05
5.3	-1.135092	-9.025169E-06
5.4	-1.163359	-2.574314E-05
5.5	-1.191658	-6.127651E-05
5.6	-1.219992	-3.280315E-05
5.7	-1.248365	-3.957637E-05
5.8	-1.276759	-4.341467E-05
5.9	-1.305167	3.370403E-06
6	-1.333575	-3.445454E-06
6.1	-1.361974	7.890471E-06
6.2	-1.390354	4.50962E-05
6.3	-1.418706	1.990801E-05
6.4	-1.447031	2.917638E-05
6.5	-1.475338	4.138249E-05
6.6	-1.503627	-4.75326E-08
6.7	-1.531911	9.967137E-06
6.8	-1.560202	4.97662E-06
6.9	-1.588502	-3.2533E-05
7	-1.616814	-9.47725E-06
7.1	-1.645149	-1.838234E-05
7.2	-1.673499	-3.656149E-05
7.3	-1.70186	1.131753E-07
7.4	-1.730233	-1.158102E-05
7.5	-1.758604	-1.206188E-05
7.6	-1.786968	2.422662E-05
7.7	-1.815329	2.252723E-06
7.8	-1.843673	1.023375E-05
7.9	-1.872006	3.233239E-05
8	-1.900326	-1.469191E-06
8.1	-1.928643	1.136172E-05
8.2	-1.956954	1.665201E-05
8.3	-1.985262	-1.9182E-05
8.4	-2.013574	2.584648E-06
8.5	-2.041897	-2.830434E-06
8.6	-2.070228	-2.804097E-05
8.7	-2.098571	3.873584E-06
8.8	-2.126925	-8.649552E-06
8.9	-2.155279	-1.852507E-05
9	-2.183639	1.636022E-05
9.1	-2.211995	-5.008991E-06
9.2	-2.240337	-2.634766E-06
9.3	-2.268684	2.469931E-05
9.4	-2.297024	-5.663052E-06
9.5	-2.325352	5.924796E-06
9.6	-2.353683	1.992646E-05
9.7	-2.38201	-1.411494E-05
9.8	-2.41033	6.230333E-06
9.9	-2.438663	7.230192E-06
10	-2.466991	-2.156081E-05
10.1	-2.495323	7.245807E-06
10.2	-2.523664	-2.326777E-06
10.3	-2.552005	-1.93392E-05
10.4	-2.580346	1.351352E-05
10.5	-2.608692	-5.649543E-06
10.6	-2.637033	-9.544465E-06
10.7	-2.66538	1.977037E-05
10.8	-2.693722	-8.077898E-06
10.9	-2.72206	-1.759715E-07
11	-2.750398	1.936297E-05
11.1	-2.778735	-1.313301E-05
11.2	-2.807066	5.201769E-06
11.3	-2.835404	1.214651E-05
11.4	-2.863739	-1.847242E-05
11.5	-2.892071	8.502519E-06
11.6	-2.920413	3.299449E-06
11.7	-2.948753	-1.888255E-05
11.8	-2.977089	1.311789E-05
11.9	-3.005431	-3.156243E-06
12	-3.033772	-1.33463E-05
12.1	-3.062112	1.772683E-05
12.2	-3.090458	-7.861122E-06
12.3	-3.118795	-5.359437E-06
12.4	-3.147137	1.873633E-05
12.5	-3.175474	-1.251051E-05
12.6	-3.203807	1.751891E-06
12.7	-3.232146	1.473032E-05
12.8	-3.260485	-1.673321E-05
12.9	-3.288819	7.318855E-06
13	-3.317156	7.689221E-06
13.1	-3.345492	-1.805433E-05
13.2	-3.373829	1.250486E-05
13.3	-3.402174	5.794348E-07
13.4	-3.430513	-1.46804E-05
13.5	-3.458853	1.664758E-05
13.6	-3.487195	-6.102554E-06
13.7	-3.515536	-8.927907E-06
13.8	-3.543876	1.785936E-05
13.9	-3.572217	-1.198971E-05
14	-3.600553	-1.97274E-06
14.1	-3.628888	1.552804E-05
14.2	-3.657229	-1.649404E-05
14.3	-3.685562	4.737882E-06
14.4	-3.713898	1.052066E-05
14.5	-3.742234	-1.794748E-05
14.6	-3.77057	1.111169E-05
14.7	-3.798906	4.182667E-06
14.8	-3.827248	-1.591774E-05
14.9	-3.855586	1.59417E-05
15	-3.899077	-0.0001720244
15.1	-4.072666	-5.059676E-05
15.2	-4.468907	0.001300374
15.3	-5.087206	0.004258031
15.4	-5.701871	0.007521894
15.5	-6.144184	0.008723038
15.6	-6.369367	0.006778021
15.7	-6.48467	0.002455918
15.8	-6.678228	-0.002228827
15.9	-7.079802	-0.005230651
16	-7.746792	-0.005410802
16.1	-8.699456	-0.002896274
16.2	-9.94633	0.001739678
16.3	-11.4885	0.007761635
16.4	-13.3239	0.01403378
16.5	-15.40038	0.01985076
16.6	-17.46699	0.02318284
16.7	-19.38583	0.02158122
16.8	-21.31331	0.01585136
16.9	-23.34935	0.009161548
17	-25.32348	0.001992395
17.1	-27.20796	-0.005968464
17.2	-29.14506	-0.01189738
17.3	-31.00367	-0.01521985
17.4	-32.66806	-0.01658854
17.5	-34.08524	-0.0165498
17.6	-35.23129	-0.01564323
17.7	-36.09304	-0.01395187
17.8	-36.662	-0.01198565
17.9	-36.96288	-0.01047541
18	-37.11972	-0.008801465
18.1	-37.21367	-0.006528534
18.2	-37.27995	-0.00370864
18.3	-37.3331	-0.0006478826
18.4	-37.3787	0.002148008
18.5	-37.41827	0.004360781
18.6	-37.45235	0.005674106
18.7	-37.48125	0.005912627
18.8	-37.50571	0.0052221
18.9	-37.52692	0.003741747
19	-37.54647	0.001761792
19.1	-37.56597	-0.0002744924
19.2	-37.58694	-0.002109746
19.3	-37.6104	-0.003451943
19.4	-37.637	-0.004069467
19.5	-37.66674	-0.004012422
19.6	-37.68816	-0.003174203
19.7	-37.59003	-0.002078205
19.8	-37.27439	-0.002029196
19.9	-36.8228	-0.003473452
20	-36.46702	-0.004401764
20.1	-36.28276	-0.003279586
20.2	-36.08281	-0.0009076376
20.3	-35.7073	0.0007084995
20.4	-35.08426	0.0005628793
20.5	-34.18163	-0.001412668
20.6	-32.99035	-0.004906764
20.7	-31.57528	-0.009770918
20.8	-30.19309	-0.01358241
20.9	-28.99748	-0.0143698
21	-28.06105	-0.0114381
21.1	-27.40908	-0.005217527
21.2	-27.04556	0.003013916
21.3	-26.83174	0.01208505
21.4	-26.52076	0.01869061
21.5	-25.98646	0.02058684
21.6	-25.26804	0.0171109
21.7	-24.60062	0.01060395
21.8	-24.12543	0.003736405
21.9	-23.88438	-0.001551415
22	-23.78806	-0.004711005
22.1	-23.76059	-0.006257284
22.2	-23.76534	-0.006292549
22.3	-23.71045	-0.005203961
22.4	-23.59249	-0.004447843
22.5	-23.54543	-0.002663931
22.6	-23.46384	-0.000200833
22.7	-23.22289	0.001149494
