Time	Aircraft Simulation Yaw Rate
0.1	0.0005980781
0.2	0.001035713
0.3	0.001273422
0.4	0.001269879
0.5	0.001067821
0.6	0.0007597596
0.7	0.0003560255
0.8	-2.494081E-05
0.9	-0.000335606
1	-0.000575325
1.1	-0.0006667441
1.2	-0.0006502863
1.3	-0.0005590871
1.4	-0.0003677689
1.5	-0.0001707689
1.6	1.460331E-05
1.7	0.0001986081
1.8	0.0002964105
1.9	0.0003423822
2	0.0003521194
2.1	0.0002756937
2.2	0.0001896341
2.3	9.828524E-05
2.4	-2.459797E-05
2.5	-9.662682E-05
2.6	-0.0001472062
2.7	-0.000192506
2.8	-0.0001694441
2.9	-0.0001413832
3	-0.0001100945
3.1	-3.470744E-05
3.2	7.775473E-06
3.3	4.222595E-05
3.4	9.23867E-05
3.5	8.86074E-05
3.6	8.43872E-05
3.7	8.57335E-05
3.8	4.07461E-05
3.9	2.061007E-05
4	5.704194E-06
4.1	-3.734134E-05
4.2	-3.739527E-05
4.3	-4.00439E-05
4.4	-5.747866E-05
4.5	-0.0007041816
4.6	-0.001988468
4.7	-0.002909809
4.8	-0.002755948
4.9	-0.001309173
5	0.000263145
5.1	0.001607433
5.2	0.002485532
5.3	0.00569478
5.4	0.01083749
5.5	0.00811256
5.6	0.003919956
5.7	-0.001830447
5.8	-0.004947581
5.9	-0.006641497
6	-0.02224248
6.1	-0.01713257
6.2	-0.009990208
6.3	-0.002439174
6.4	0.004336127
6.5	0.009486233
6.6	0.01243168
6.7	0.01311843
6.8	0.01180416
6.9	0.008931044
7	0.005214056
7.1	0.001311957
7.2	-0.002218851
7.3	-0.004857279
7.4	-0.006384926
7.5	-0.006765345
7.6	-0.006062208
7.7	-0.004595096
7.8	-0.002691941
7.9	-0.0006501242
8	0.001150788
8.1	0.002506536
8.2	0.003316305
8.3	0.003483806
8.4	0.0031259
8.5	0.002382139
8.6	0.001367809
8.7	0.0003301471
8.8	-0.0005920051
8.9	-0.001317172
9	-0.001708005
9.1	-0.001795672
9.2	-0.001628419
9.3	-0.001213848
9.4	-0.0007032464
9.5	-0.0001777858
9.6	0.0003259043
9.7	0.0006766867
9.8	0.0008771588
9.9	0.0009438687
10	0.000828455
10.1	0.0006241747
10.2	0.0003742065
10.3	7.414838E-05
10.4	-0.000165533
10.5	-0.0003423943
10.6	-0.0004701339
10.7	-0.0004773535
10.8	-0.0004243643
10.9	-0.0003359046
11	-0.0001778226
11.1	-4.003803E-05
11.2	7.602001E-05
11.3	0.0001936912
11.4	0.0002345601
11.5	0.0002413254
11.6	0.0002341524
11.7	0.0001597595
11.8	9.196653E-05
11.9	3.219112E-05
12	-5.551736E-05
12.1	-9.368247E-05
12.2	-0.0001141496
12.3	-0.0001404705
12.4	-0.000109052
12.5	-8.10306E-05
12.6	-6.066099E-05
12.7	-1.240657E-06
12.8	2.410018E-05
12.9	3.944167E-05
13	7.506077E-05
13.1	6.226767E-05
13.2	5.275123E-05
13.3	5.617839E-05
13.4	1.697315E-05
13.5	3.183039E-06
13.6	-1.789023E-06
13.7	-3.639393E-05
13.8	-3.031466E-05
13.9	-2.671811E-05
14	-4.254222E-05
14.1	-1.595107E-05
14.2	-9.347477E-06
14.3	-1.390434E-05
14.4	1.659752E-05
14.5	1.219186E-05
14.6	8.141596E-06
14.7	2.958149E-05
14.8	1.024534E-05
14.9	6.554432E-06
15	1.832865E-05
15.1	-7.85369E-06
15.2	-4.091406E-06
15.3	2.953185E-06
15.4	-2.022232E-05
15.5	-5.238657E-06
15.6	-1.604322E-06
15.7	-1.793471E-05
15.8	4.613531E-06
15.9	1.561405E-06
16	-8.884519E-06
16.1	1.436117E-05
16.2	2.072255E-06
16.3	-3.117075E-06
16.4	1.613086E-05
16.5	-3.697471E-06
16.6	-2.111412E-06
16.7	1.162274E-05
16.8	-1.096711E-05
16.9	-1.059167E-06
17	6.612458E-06
17.1	-1.424007E-05
17.2	3.15478E-06
17.3	3.680902E-06
17.4	-1.267349E-05
17.5	8.8566E-06
17.6	1.259188E-06
17.7	-0.005793838
17.8	-0.01926821
17.9	-0.02542578
18	-0.01736847
18.1	-0.004740648
18.2	0.006614834
18.3	0.01528103
18.4	0.02038783
18.5	0.02168608
18.6	0.01963381
18.7	0.01501117
18.8	0.008871913
18.9	0.002408293
19	-0.003442234
19.1	-0.007905076
19.2	-0.01048966
19.3	-0.01116734
19.4	-0.01010162
19.5	-0.007690943
19.6	-0.004556895
19.7	-0.001220496
19.8	0.001804642
19.9	0.004071062
20	0.005418573
20.1	0.005769738
20.2	0.005190932
20.3	0.003970393
20.4	0.002343764
20.5	0.0006002094
20.6	-0.0009323018
20.7	-0.002115521
20.8	-0.002816507
20.9	-0.002966439
21	-0.002687365
21.1	-0.002051837
21.2	-0.001187772
21.3	-0.0003145587
21.4	0.0004886539
21.5	0.001111348
21.6	0.001443126
21.7	0.001539333
21.8	0.001395204
21.9	0.001041216
22	0.0006209633
22.1	0.0001605458
22.2	-0.0002702749
22.3	-0.0005622302
22.4	-0.0007511798
22.5	-0.0008056536
22.6	-0.000704085
22.7	-0.0005458978
22.8	-0.0003232012
22.9	-6.594384E-05
23	0.0001278445
23.1	0.0002936631
23.2	0.0004004412
23.3	0.000400587
23.4	0.0003710075
23.5	0.0002876139
23.6	0.0001503538
23.7	4.537546E-05
23.8	-6.671971E-05
23.9	-0.0001653804
24	-0.0001919755
24.1	-0.0002128179
24.2	-0.0001998511
24.3	-0.000132265
24.4	-8.8124E-05
24.5	-2.544652E-05
24.6	4.900811E-05
24.7	7.122395E-05
24.8	0.0001029913
24.9	0.0001200441
25	8.713474E-05
25.1	7.738562E-05
25.2	4.981373E-05
25.3	-2.154975E-06
25.4	-1.204717E-05
25.5	-3.860159E-05
25.6	-6.505741E-05
25.7	-4.625358E-05
25.8	-5.245252E-05
25.9	-4.655258E-05
26	-9.973738E-06
26.1	-1.10446E-05
26.2	5.639874E-06
26.3	3.30439E-05
26.4	1.835965E-05
26.5	2.932677E-05
26.6	3.561906E-05
26.7	8.085792E-06
26.8	1.58553E-05
26.9	8.354771E-06
27	-1.720293E-05
27.1	-2.706132E-06
27.2	-1.303688E-05
27.3	-2.553967E-05
27.4	-2.427749E-06
27.5	-1.327604E-05
27.6	-1.304061E-05
27.7	1.081599E-05
27.8	-4.464966E-06
27.9	2.718297E-06
28	1.859652E-05
28.1	-2.5691E-06
28.2	8.451857E-06
28.3	1.366667E-05
28.4	-8.992445E-06
28.5	6.460396E-06
28.6	3.099912E-06
28.7	-1.468115E-05
28.8	5.559241E-06
28.9	-3.975521E-06
29	-1.318659E-05
29.1	8.930774E-06
29.2	-5.957564E-06
29.3	-6.417278E-06
29.4	1.270841E-05
29.5	-6.790182E-06
29.6	2.388452E-07
29.7	1.252429E-05
29.8	-9.153771E-06
29.9	4.247721E-06
30	8.144271E-06
30.1	-1.183024E-05
30.2	6.703494E-06
30.3	2.406204E-06
30.4	-1.218837E-05
30.5	9.207781E-06
30.6	-2.365036E-06
30.7	-9.341587E-06
30.8	1.15245E-05
30.9	-5.848811E-06
31	-4.576052E-06
31.1	1.215828E-05
31.2	-8.77146E-06
31.3	2.693586E-07
31.4	1.01973E-05
31.5	-1.114546E-05
31.6	4.446216E-06
31.7	6.231962E-06
31.8	-1.208362E-05
31.9	7.956068E-06
32	1.532556E-06
32.1	-1.087108E-05
32.2	1.067184E-05
32.3	-2.974701E-06
32.4	-7.681328E-06
32.5	1.199526E-05
32.6	-6.927843E-06
32.7	-3.353138E-06
32.8	1.137376E-05
32.9	-1.002813E-05
33	1.269147E-06
33.1	8.811739E-06
33.2	-1.179297E-05
33.3	5.60257E-06
33.4	4.876208E-06
33.5	-1.17792E-05
33.6	9.159785E-06
33.7	3.098451E-07
33.8	-9.883002E-06
33.9	1.144172E-05
34	-4.224089E-06
34.1	-6.478082E-06
34.2	1.198114E-05
34.3	-8.126426E-06
34.4	-2.104352E-06
34.5	1.068086E-05
34.6	-1.084446E-05
34.7	2.549853E-06
34.8	7.721728E-06
34.9	-1.196162E-05
35	6.794035E-06
35.1	3.593753E-06
35.2	-1.128795E-05
35.3	1.00377E-05
35.4	-1.032889E-06
35.5	-8.896678E-06
35.6	1.177378E-05
35.7	-5.486144E-06
35.8	-5.156374E-06
35.9	1.171651E-05
36	-9.120567E-06
36.1	-6.521979E-07
36.2	9.856589E-06
36.3	-1.140331E-05
36.4	3.959831E-06
36.5	6.5098E-06
36.6	-1.197683E-05
36.7	7.981965E-06
36.8	2.182269E-06
36.9	-1.076095E-05
37	1.080268E-05
37.1	-2.450881E-06
37.2	-7.916029E-06
37.3	1.199631E-05
37.4	-6.700337E-06
37.5	-3.881034E-06
37.6	1.135425E-05
37.7	-9.957751E-06
37.8	7.310092E-07
37.9	8.987868E-06
38	-1.172784E-05
38.1	5.237943E-06
38.2	5.26323E-06
38.3	-1.174514E-05
38.4	8.958476E-06
38.5	7.555378E-07
38.6	-9.992205E-06
38.7	1.132816E-05
38.8	-3.848188E-06
38.9	-6.725248E-06
39	1.197938E-05
39.1	-7.876036E-06
39.2	-2.454063E-06
39.3	1.079443E-05
39.4	-1.073957E-05
39.5	2.198808E-06
39.6	7.980817E-06
39.7	-1.199037E-05
39.8	6.524777E-06
39.9	3.962723E-06
40	-1.143661E-05
40.1	9.888431E-06
40.2	-6.243121E-07
40.3	-9.165571E-06
40.4	1.175373E-05
40.5	-5.123584E-06
40.6	-5.54295E-06
40.7	1.17943E-05
40.8	-8.872189E-06
40.9	-1.087601E-06
41	1.006041E-05
41.1	-1.126518E-05
41.2	3.554857E-06
41.3	6.811984E-06
41.4	-1.196132E-05
41.5	7.686274E-06
41.6	2.549303E-06
41.7	-1.085896E-05
41.8	1.065288E-05
41.9	-2.088892E-06
42	-8.139794E-06
42.1	1.199549E-05
42.2	-6.389043E-06
42.3	-4.168281E-06
42.4	1.153026E-05
42.5	-9.754197E-06
42.6	3.975363E-07
42.7	9.257753E-06
42.8	-1.168749E-05
42.9	4.900881E-06
43	5.594119E-06
43.1	-1.186126E-05
43.2	8.689905E-06
43.3	1.132667E-06
43.4	-1.02181E-05
43.5	1.120067E-05
43.6	-3.468545E-06
43.7	-7.033811E-06
43.8	1.199692E-05
43.9	-7.563383E-06
44	-2.805944E-06
44.1	1.094504E-05
44.2	-1.053247E-05
44.3	1.84317E-06
44.4	8.220519E-06
44.5	-1.193481E-05
44.6	6.226602E-06
44.7	4.271358E-06
44.8	-1.153289E-05
44.9	9.678397E-06
45	-3.128326E-07
45.1	-9.400227E-06
45.2	1.167084E-05
45.3	-4.859077E-06
45.4	-5.881372E-06
45.5	1.187173E-05
45.6	-8.665819E-06
45.7	-1.442795E-06
45.8	1.029484E-05
45.9	-1.114643E-05
46	3.211858E-06
46.1	7.162489E-06
