Time	Aircraft Simulation Airspeed	Aircraft Simulation Pitch Angle
0.1	0.04759878	0.6822815
0.2	0.01438668	0.7429504
0.3	0.007053338	0.7312012
0.4	0.004284873	0.7396851
0.5	0.001298716	0.7437744
0.6	0.0005394977	0.745575
0.7	-0.0002361696	0.7479553
0.8	0.0009811819	0.7468872
0.9	0.001632108	0.7461548
1	0.003901398	0.7449341
1.1	0.02377786	0.7436829
1.2	0.08152802	0.7414551
1.3	0.1861284	0.7395325
1.4	0.3380856	0.736908
1.5	0.5363446	0.7348938
1.6	0.7810162	0.7326965
1.7	1.069726	0.7305908
1.8	1.40126	0.7288208
1.9	1.774066	0.7272949
2	2.184907	0.7256775
2.1	2.630826	0.7249451
2.2	3.109954	0.724762
2.3	3.621121	0.7246399
2.4	4.148465	0.7263184
2.5	4.661204	0.7287292
2.6	5.159252	0.7303467
2.7	5.643639	0.7325439
2.8	6.115076	0.7350159
2.9	6.574847	0.737793
3	7.023694	0.7409058
3.1	7.461946	0.7512512
3.2	7.890804	0.7600403
3.3	8.310463	0.7657166
3.4	8.722124	0.7697754
3.5	9.126314	0.7731018
3.6	9.520301	0.8494568
3.7	9.903462	1.34726
3.8	10.28615	2.611633
3.9	10.67995	4.685608
4	11.08447	7.094543
4.1	11.47641	9.011841
4.2	11.81385	10.944
4.3	12.10616	13.43381
4.4	12.3679	15.74957
4.5	12.59122	17.63287
4.6	12.76968	19.26382
4.7	12.9116	20.74619
4.8	13.02457	21.90756
4.9	13.11279	22.65677
5	13.18732	22.82443
5.1	13.2477	22.31741
5.2	13.30112	21.31921
5.3	13.35281	20.10922
5.4	13.41897	18.71667
5.5	13.49594	17.13516
5.6	13.59043	15.60757
5.7	13.70712	14.13278
5.8	13.84428	12.51901
5.9	13.99674	10.86209
6	14.16295	9.741638
6.1	14.34581	9.475128
6.2	14.53236	9.937714
6.3	14.70806	11.06616
6.4	14.85747	12.86041
6.5	14.96548	15.67856
6.6	15.03032	19.20789
6.7	15.03854	23.12888
6.8	14.96613	27.83713
6.9	14.8297	33.22363
7	14.64896	38.33923
7.1	14.41939	42.80798
7.2	14.13778	47.05591
7.3	13.82178	50.86694
7.4	13.47713	54.1134
7.5	13.11328	56.70468
7.6	12.73132	58.64975
7.7	12.32871	60.26538
7.8	11.91407	62.30496
7.9	11.5196	63.76785
8	11.12454	64.20206
8.1	10.72843	63.97635
8.2	10.3398	63.28574
8.3	9.968452	62.04459
8.4	9.613914	59.94922
8.5	9.276615	57.08936
8.6	8.968706	53.60513
8.7	8.697333	49.55664
8.8	8.469778	45.34467
8.9	8.302282	41.23401
9	8.197098	37.21402
9.1	8.155768	33.36978
9.2	8.179538	29.75009
9.3	8.267948	26.21506
9.4	8.416286	22.64093
9.5	8.618189	19.13019
9.6	8.872995	15.80603
9.7	9.171909	12.75504
9.8	9.509573	10.22101
9.9	9.87871	8.32666
10	10.26572	7.217529
10.1	10.65978	7.120422
10.2	11.05256	7.919312
10.3	11.42983	9.385773
10.4	11.78222	11.37994
10.5	12.10672	13.48883
10.6	12.39781	15.53735
10.7	12.65224	17.26501
10.8	12.8633	18.65796
10.9	13.0338	19.77802
11	13.17121	20.56268
11.1	13.2808	20.89243
11.2	13.36149	20.95511
11.3	13.42479	21.33807
11.4	13.47591	22.33835
11.5	13.53421	23.48846
11.6	13.56439	24.21826
11.7	13.57383	25.51968
11.8	13.58482	26.65231
11.9	13.57769	26.99078
12	13.54605	26.76376
12.1	13.50504	26.50592
12.2	13.46626	26.35345
12.3	13.43215	26.2478
12.4	13.40283	25.99982
12.5	13.37387	25.56912
12.6	13.34245	25.2467
12.7	13.31379	25.61255
12.8	13.29407	26.64728
12.9	13.28479	27.30524
13	13.2646	27.05444
13.1	13.22803	26.31836
13.2	13.19511	25.68768
13.3	13.17446	25.18204
13.4	13.1648	24.70184
13.5	13.1652	24.15454
13.6	13.1732	23.48691
13.7	13.18916	22.77252
13.8	13.21484	22.05774
13.9	13.2507	21.33533
14	13.29612	20.59842
14.1	13.35096	19.86127
14.2	13.41523	19.13116
14.3	13.48852	18.41156
14.4	13.57057	17.70856
14.5	13.66093	17.02197
14.6	13.75906	16.35217
14.7	13.86441	15.71088
14.8	13.97717	15.09732
14.9	14.09695	14.50323
15	14.2232	13.93076
15.1	14.35566	13.39185
15.2	14.49361	12.88229
15.3	14.63588	12.40063
15.4	14.78125	11.95959
15.5	14.9289	11.5632
15.6	15.07761	11.20612
15.7	15.22614	10.89444
15.8	15.37378	10.64099
15.9	15.51983	10.4422
16	15.66355	10.30225
16.1	15.80506	10.23685
16.2	15.94392	10.23724
16.3	16.07926	10.28683
16.4	16.20992	10.38467
16.5	16.33556	10.51553
16.6	16.45563	10.66464
16.7	16.56971	10.84149
16.8	16.67768	11.04761
16.9	16.77837	11.27213
17	16.86952	11.51642
17.1	16.9467	11.78159
17.2	17.00497	12.06598
17.3	17.04816	12.38773
17.4	17.08857	12.77252
17.5	17.13811	13.22983
17.6	17.19721	13.77908
17.7	17.25445	14.41904
17.8	17.29012	15.12225
17.9	17.28726	15.87601
18	17.23959	16.64502
18.1	17.15314	17.38531
18.2	17.04348	18.07401
18.3	16.9303	18.70862
18.4	16.83082	19.26822
18.5	16.75916	19.71619
18.6	16.72196	20.07422
18.7	16.71498	20.34869
18.8	16.72507	20.54742
18.9	16.73768	20.70721
19	16.73879	20.84793
19.1	16.71521	21.02533
19.2	16.6679	21.29565
19.3	16.61286	21.41794
19.4	16.54506	20.6308
19.5	16.46855	18.80841
19.6	16.40413	15.75693
19.7	16.36395	11.29239
19.8	16.36572	6.351013
19.9	16.47379	2.31073
20	16.66234	-1.157061
20.1	16.90416	-3.97242
20.2	17.19067	-5.797216
20.3	17.51691	-6.734676
20.4	17.85612	-7.502481
20.5	18.1985	-7.887532
20.6	18.54961	-7.82595
20.7	18.89448	-7.606273
20.8	19.22211	-7.005276
20.9	19.53983	-5.1643
21	19.8552	-2.241026
21.1	20.13543	0.09085083
21.2	20.33881	1.538422
21.3	20.49852	3.083984
21.4	20.62982	4.719543
21.5	20.73086	6.328583
21.6	20.80457	7.790527
21.7	20.84362	8.190796
21.8	20.82835	7.964569
21.9	20.84172	8.273499
22	20.83464	7.220154
22.1	20.80995	6.191528
22.2	20.83077	6.52774
22.3	20.87807	7.210602
22.4	20.89808	6.706879
22.5	20.88991	6.440552
22.6	20.92317	7.323242
22.7	20.95222	8.35675
22.8	20.96568	9.535248
22.9	20.96219	10.79572
23	20.94045	12.18668
23.1	20.89935	13.63388
23.2	20.83498	15.11746
23.3	20.74942	16.65454
23.4	20.64296	18.21027
23.5	20.51669	19.78964
23.6	20.37058	21.37201
23.7	20.20391	22.93314
23.8	20.01728	24.46997
23.9	19.81232	25.96533
24	19.58996	27.40399
24.1	19.35213	28.7977
24.2	19.10034	30.12485
24.3	18.83522	31.3884
24.4	18.55929	32.59784
24.5	18.27686	33.68262
24.6	17.98697	33.948
24.7	17.66984	33.45325
24.8	17.3682	33.67587
24.9	17.0928	34.33453
25	16.82536	34.67834
25.1	16.54993	34.06485
25.2	16.26697	33.51318
25.3	16.02109	33.56375
25.4	15.78317	33.00235
25.5	15.54924	32.75333
25.6	15.34486	32.31049
