Time	Aircraft Simulation Roll Rate
0.1	-0.002604532
0.2	-0.003987167
0.3	-0.004644879
0.4	-0.004963539
0.5	-0.005110189
0.6	-0.005172262
0.7	-0.005198291
0.8	-0.005204255
0.9	-0.005201043
1	-0.005192713
1.1	-0.005178086
1.2	-0.005165354
1.3	-0.005155804
1.4	-0.005148343
1.5	-0.005148863
1.6	-0.005152754
1.7	-0.005158736
1.8	-0.005170163
1.9	-0.005179651
2	-0.005187933
2.1	-0.005196819
2.2	-0.005199201
2.3	-0.005199347
2.4	-0.00519825
2.5	-0.005191006
2.6	-0.005184856
2.7	-0.005179002
2.8	-0.005170675
2.9	-0.005167397
3	-0.005165543
3.1	-0.005163732
3.2	-0.005167887
3.3	-0.005171547
3.4	-0.00517504
3.5	-0.005182222
3.6	-0.005185512
3.7	-0.005187853
3.8	-0.005191409
3.9	-0.005189468
4	-0.005187722
4.1	-0.005186478
4.2	-0.005180882
4.3	-0.005178145
4.4	-0.005176188
4.5	-0.005172009
4.6	-0.005172648
4.7	-0.005173259
4.8	-0.005172819
4.9	-0.005177013
5	-0.005179006
5.1	-0.00518028
5.2	-0.005184578
5.3	-0.005184683
5.4	-0.005184697
5.5	-0.00518635
5.6	-0.00518347
5.7	-0.005182189
5.8	-0.005181848
5.9	-0.005177986
6	-0.005177639
6.1	-0.005177462
6.2	-0.005175168
6.3	-0.005177234
6.4	-0.005178006
6.5	-0.005177577
6.6	-0.005181035
6.7	-0.005181435
6.8	-0.005181411
6.9	-0.005184143
7	-0.005182828
7.1	-0.005182297
7.2	-0.005183582
7.3	-0.005180798
7.4	-0.005180371
7.5	-0.005180873
7.6	-0.005178019
7.7	-0.005178962
7.8	-0.005179429
7.9	-0.005177761
8	-0.005180045
8.1	-0.005180435
8.2	-0.00517949
8.3	-0.005182187
8.4	-0.005181592
8.5	-0.00518107
8.6	-0.005183166
8.7	-0.005181409
8.8	-0.005181017
8.9	-0.005182303
9	-0.005179788
9.1	-0.005180167
9.2	-0.005180873
9.3	-0.005178646
9.4	-0.01054048
9.5	-0.04115814
9.6	-0.08419408
9.7	-0.1326822
9.8	-0.1839754
9.9	-0.235922
10	-0.2884055
10.1	-0.3405303
10.2	-0.3918316
10.3	-0.4430943
10.4	-0.4870555
10.5	-0.5082783
10.6	-0.5174556
10.7	-0.5212165
10.8	-0.5226173
10.9	-0.5230739
11	-0.5232328
11.1	-0.5233933
11.2	-0.5236598
11.3	-0.5240397
11.4	-0.5244974
11.5	-0.524964
11.6	-0.525381
11.7	-0.5256809
11.8	-0.5258239
11.9	-0.5258163
12	-0.5256736
12.1	-0.5247176
12.2	-0.5033133
12.3	-0.4656031
12.4	-0.4201598
12.5	-0.3707842
12.6	-0.3196383
12.7	-0.2680718
12.8	-0.2157063
12.9	-0.1631803
13	-0.1108096
13.1	-0.05938863
13.2	-0.0292731
13.3	-0.01608626
13.4	-0.01050744
13.5	-0.008268321
13.6	-0.007412766
13.7	-0.007045779
13.8	-0.006765479
13.9	-0.006426735
14	-0.006002728
14.1	-0.00552252
14.2	-0.005053462
14.3	-0.004652669
14.4	-0.004370091
14.5	-0.004245301
14.6	-0.004278325
14.7	-0.004451538
14.8	-0.004731211
14.9	-0.005059536
15	-0.005386757
15.1	-0.005662253
15.2	-0.005845591
15.3	-0.005921954
15.4	-0.005887164
15.5	-0.005750962
15.6	-0.00554828
15.7	-0.005311627
15.8	-0.005076322
15.9	-0.004887071
16	-0.004763106
16.1	-0.004717411
16.2	-0.004755705
16.3	-0.004859547
16.4	-0.005006918
16.5	-0.005179231
16.6	-0.005341264
16.7	-0.005473159
16.8	-0.005558278
16.9	-0.005581889
17	-0.00555119
17.1	-0.005471574
17.2	-0.005357762
17.3	-0.005236267
17.4	-0.005122624
17.5	-0.005030967
17.6	-0.004979231
17.7	-0.004965483
17.8	-0.004989948
17.9	-0.005051955
18	-0.005132795
18.1	-0.005220644
18.2	-0.005304428
18.3	-0.00536548
18.4	-0.005399508
18.5	-0.00540532
18.6	-0.005379882
18.7	-0.005335345
18.8	-0.005277802
18.9	-0.005213904
19	-0.005159615
19.1	-0.005115563
19.2	-0.005090534
19.3	-0.005091618
19.4	-0.005110817
19.5	-0.005144508
19.6	-0.005190531
19.7	-0.005234477
19.8	-0.00527117
19.9	-0.00530142
20	-0.005313911
20.1	-0.005313163
20.2	-0.00530028
20.3	-0.005273541
20.4	-0.005241711
20.5	-0.005209333
20.6	-0.005179734
20.7	-0.005162815
20.8	-0.005155317
20.9	-0.005156758
21	-0.005171779
21.1	-0.005188063
21.2	-0.005208828
21.3	-0.005233646
21.4	-0.005252532
21.5	-0.005265322
21.6	-0.005272508
21.7	-0.005268116
21.8	-0.005256869
21.9	-0.005243403
22	-0.005225236
22.1	-0.005211217
22.2	-0.005199985
22.3	-0.005190736
22.4	-0.005188784
22.5	-0.005189837
22.6	-0.005195473
22.7	-0.005208391
22.8	-0.005219976
22.9	-0.005230979
23	-0.005242699
23.1	-0.00524467
23.2	-0.005244932
23.3	-0.005244451
23.4	-0.005237715
23.5	-0.005231559
23.6	-0.005225408
23.7	-0.005216317
23.8	-0.005209424
23.9	-0.005205758
24	-0.005203289
24.1	-0.005207369
24.2	-0.00521158
24.3	-0.00521597
24.4	-0.005222741
24.5	-0.005225244
24.6	-0.005228515
24.7	-0.005233298
24.8	-0.005232826
24.9	-0.005232442
25	-0.005232267
25.1	-0.005224972
25.2	-0.00522098
25.3	-0.00521856
25.4	-0.005214261
25.5	-0.005215128
25.6	-0.005215773
