Time	Aircraft Simulation Pitch Rate
0.1	-0.380525
0.102	-0.3753754
0.104	-0.3700299
0.106	-0.3645152
0.108	-0.3588094
0.11	-0.3529622
0.112	-0.3469748
0.114	-0.3408592
0.116	-0.3346275
0.118	-0.3282905
0.12	-0.3218594
0.122	-0.3153446
0.124	-0.308755
0.126	-0.302101
0.128	-0.2953909
0.13	-0.2886331
0.132	-0.281836
0.134	-0.2750069
0.136	-0.2681532
0.138	-0.2612822
0.14	-0.2544113
0.142	-0.2475124
0.144	-0.2406263
0.146	-0.2337471
0.148	-0.2268801
0.15	-0.2200308
0.152	-0.2132035
0.154	-0.2064031
0.156	-0.1996339
0.158	-0.1929001
0.16	-0.1862056
0.162	-0.1795541
0.164	-0.1729492
0.166	-0.1663943
0.168	-0.1598924
0.17	-0.1534466
0.172	-0.1470598
0.174	-0.1407345
0.176	-0.1344733
0.178	-0.1282786
0.18	-0.1221523
0.182	-0.116097
0.184	-0.1101142
0.186	-0.1042059
0.188	-0.09837379
0.19	-0.0926194
0.192	-0.08694426
0.194	-0.08134972
0.196	-0.07583696
0.198	-0.07040724
0.2	-0.06506148
0.202	-0.0598009
0.204	-0.05462581
0.206	-0.04953782
0.208	-0.04453697
0.21	-0.03962423
0.212	-0.03479979
0.214	-0.03006453
0.216	-0.02541867
0.218	-0.02087371
0.22	-0.01639612
0.222	-0.0120203
0.224	-0.007734736
0.226	-0.003539554
0.228	0.0005650005
0.23	0.00457889
0.232	0.008502408
0.234	0.01233603
0.236	0.0160789
0.238	0.01973247
0.24	0.02329596
0.242	0.02678118
0.244	0.03015495
0.246	0.03345128
0.248	0.03665956
0.25	0.03977998
0.252	0.04281305
0.254	0.04575942
0.256	0.04861952
0.258	0.05139395
0.26	0.05408341
0.262	0.05668813
0.264	0.05920957
0.266	0.06164734
0.268	0.06400318
0.27	0.06627719
0.272	0.06847042
0.274	0.07058342
0.276	0.07261715
0.278	0.07457235
0.28	0.07644984
0.282	0.07825052
0.284	0.07997529
0.286	0.08162487
0.288	0.08320018
0.29	0.08470252
0.292	0.08613253
0.294	0.08749087
0.296	0.08877885
0.298	0.08999728
0.3	0.0911473
0.302	0.09222975
0.304	0.09324563
0.306	0.09419616
0.308	0.09508197
0.31	0.0959045
0.312	0.09666479
0.314	0.09736346
0.316	0.09800191
0.318	0.09858116
0.32	0.09901829
0.322	0.0993731
0.324	0.09961309
0.326	0.09973617
0.328	0.09974238
0.33	0.09963059
0.332	0.0994004
0.334	0.09905095
0.336	0.0985809
0.338	0.0979896
0.34	0.0972762
0.342	0.09643918
0.344	0.09547831
0.346	0.09439258
0.348	0.09318168
0.35	0.09184493
0.352	0.09038236
0.354	0.08879415
0.356	0.08708081
0.358	0.08524307
0.36	0.08328271
0.362	0.08120069
0.364	0.07899971
0.366	0.07668232
0.368	0.07425176
0.37	0.07171141
0.372	0.06906564
0.374	0.06631896
0.376	0.06347641
0.378	0.06055486
0.38	0.05752522
0.382	0.05442859
0.384	0.05125957
0.386	0.04802465
0.388	0.04473052
0.39	0.04138388
0.392	0.0379912
0.394	0.03455939
0.396	0.03109532
0.398	0.02760531
0.4	0.02409544
0.402	0.02057233
0.404	0.0170418
0.406	0.01350974
0.408	0.009981465
0.41	0.006462566
0.412	0.002957885
0.414	-0.0005277673
0.416	-0.003989819
0.418	-0.00742388
0.42	-0.01082646
0.422	-0.01419326
0.424	-0.01752108
0.426	-0.02080644
0.428	-0.0240468
0.43	-0.02723915
0.432	-0.03038059
0.434	-0.03346901
0.436	-0.03650231
0.438	-0.03947848
0.44	-0.04239578
0.442	-0.04525245
0.444	-0.04804708
0.446	-0.05077849
0.448	-0.05344546
0.45	-0.05604688
0.452	-0.05858188
0.454	-0.06106123
0.456	-0.06344944
0.458	-0.06578118
0.46	-0.06804419
0.462	-0.07023813
0.464	-0.07236277
0.466	-0.07441802
0.468	-0.07640363
0.47	-0.07831983
0.472	-0.08016663
0.474	-0.08194376
0.476	-0.08365222
0.478	-0.08529181
0.48	-0.08686281
0.482	-0.0883658
0.484	-0.08980123
0.486	-0.09116948
0.488	-0.09247123
0.49	-0.09370687
0.492	-0.09487709
0.494	-0.09598247
0.496	-0.09702376
