Time	Aircraft Simulation Pitch Rate
0.1	-0.3805245
0.2	-0.06505953
0.3	0.09114876
0.4	0.02409797
0.5	-0.09891486
0.6	-0.08559153
0.7	-0.0405791
0.8	-0.02563571
0.9	-0.0100889
1	-0.005026495
1.1	-0.02015161
1.2	-0.01727615
1.3	-0.008097907
1.4	-0.01047069
1.5	-0.008172524
1.6	-0.003461975
1.7	-0.005939537
1.8	-0.00578293
1.9	-0.002662627
2	-0.00331825
2.1	-0.003467786
2.2	-0.001637842
2.3	-0.0018088
2.4	-0.002173431
2.5	-0.001111706
2.6	-0.00101612
2.7	-0.001311605
2.8	-0.0007059483
2.9	-0.0005803512
3	-0.0007740912
3.1	-0.0004459663
3.2	-0.0003609587
3.3	-0.0004447107
3.4	-0.0002815565
3.5	-4.915865E-05
3.6	0.000382245
3.7	0.0002920191
3.8	-3.680903E-05
3.9	-0.0003175019
4	-0.0003168591
4.1	-0.0001814443
4.2	-9.503688E-05
4.3	-0.0001855567
4.4	-0.0001010347
4.5	-0.0001270398
4.6	-0.000232049
4.7	-9.072566E-05
4.8	-8.025139E-05
4.9	-0.0001474228
5	1.136816E-05
5.1	-4.360916E-05
5.2	-0.0001272766
5.3	-0.005166253
5.4	-0.006781233
5.5	-0.002701605
5.6	-0.001588684
5.7	-0.003440072
5.8	0.001158666
5.9	0.002329564
6	-0.007338666
6.1	-0.000715225
6.2	0.0001321623
6.3	0.000114601
6.4	0.004084637
6.5	0.005178487
6.6	0.002650822
6.7	0.002349268
6.8	0.002461102
6.9	0.00122424
7	0.001171525
7.1	0.001622388
7.2	0.0009779979
7.3	0.0006760166
7.4	0.000906078
7.5	0.0006229148
7.6	0.0003756703
7.7	0.0005082889
7.8	0.000439726
7.9	0.0002272003
8	0.000247365
8.1	0.0003105291
8.2	0.0001362199
8.3	9.590674E-05
8.4	0.1009326
8.5	0.2321138
8.6	0.05348863
8.7	-0.1494692
8.8	-0.1253449
8.9	-0.04258288
9	0.006864074
9.1	0.01733451
9.2	-0.002147013
9.3	-0.02078969
9.4	-0.01594707
9.5	-0.008416867
9.6	-0.006649897
9.7	-0.003190757
9.8	-0.001959444
9.9	-0.005007351
10	-0.003937578
10.1	-0.00188934
10.2	-0.002734083
10.3	-0.002054307
10.4	-0.0008485317
10.5	-0.001621539
10.6	-0.001414586
10.7	-0.0005850783
10.8	-0.0009555334
10.9	-0.0008347879
11	-0.000349507
11.1	-0.0005735916
11.2	-0.000515079
11.3	-0.0002288618
11.4	-0.0003471858
11.5	-0.0002836284
11.6	-0.0001452325
11.7	-0.0002274012
11.8	-0.0001485268
11.9	-0.000108224
12	-0.0001465644
12.1	-6.583541E-05
12.2	-8.308962E-05
12.3	-8.137675E-05
12.4	-2.179043E-05
12.5	-6.551401E-05
12.6	-2.757366E-05
12.7	-8.921271E-06
12.8	-6.510093E-05
12.9	8.736526E-06
13	-1.676811E-05
13.1	-5.289283E-05
13.2	4.664988E-05
13.3	-3.158624E-05
13.4	-3.910504E-05
13.5	8.161082E-05
13.6	-4.996897E-05
13.7	-2.534891E-05
13.8	9.787758E-05
13.9	-6.375764E-05
14	-1.2195E-05
14.1	8.952118E-05
14.2	-7.655282E-05
14.3	4.04845E-06
14.4	7.973478E-05
14.5	-7.058759E-05
14.6	2.66634E-05
14.7	6.994194E-05
14.8	-5.679703E-05
14.9	3.571618E-05
15	4.148614E-05
15.1	-3.646884E-05
15.2	3.742238E-05
15.3	1.184694E-05
15.4	-8.51764E-06
15.5	4.048731E-05
15.6	-8.499418E-06
15.7	3.348284E-05
15.8	3.132359E-05
15.9	-2.942541E-05
16	5.756738E-05
16.1	1.749907E-05
16.2	-4.27253E-05
16.3	8.034074E-05
16.4	1.356172E-06
16.5	-4.763222E-05
16.6	9.561347E-05
16.7	-1.481316E-05
16.8	-4.373803E-05
16.9	0.0001043373
17	-2.937374E-05
17.1	-3.165607E-05
17.2	0.0001044907
17.3	-3.448447E-05
17.4	-2.23247E-05
17.5	8.314376E-05
17.6	-3.735152E-05
17.7	-4.306468E-06
17.8	5.997024E-05
17.9	-2.272759E-05
18	1.092299E-05
18.1	2.906057E-05
18.2	-1.567262E-05
18.3	2.419786E-05
18.4	-1.39551E-06
18.5	5.243039E-07
18.6	4.016172E-05
18.7	-2.810753E-05
18.8	1.864673E-05
18.9	3.532211E-05
19	-5.366963E-05
19.1	4.562448E-05
19.2	3.394152E-05
19.3	-7.716798E-05
19.4	6.605854E-05
19.5	3.547665E-05
19.6	-7.331978E-05
19.7	7.925576E-05
19.8	1.976977E-05
19.9	-6.928034E-05
20	8.544202E-05
20.1	1.598E-05
