Time	Aircraft Simulation Yaw Rate
0.1	0.0006015931
0.2	0.001053698
0.3	0.001294814
0.4	0.001313706
0.5	0.001075348
0.6	0.0007371985
0.7	0.000329974
0.8	-0.0001084378
0.9	-0.0004205359
1	-0.0006391996
1.1	-0.0007475936
1.2	-0.0006746471
1.3	-0.0005390677
1.4	-0.0003418075
1.5	-7.884503E-05
1.6	0.0001145984
1.7	0.0002766889
1.8	0.0003975049
1.9	0.0003910202
2	0.0003542208
2.1	0.0002747668
2.2	0.0001217049
2.3	1.35746E-05
2.4	-9.178066E-05
2.5	-0.0001964686
2.6	-0.0002083645
2.7	-0.0002134475
2.8	-0.0001956868
2.9	-0.00010671
3	-5.429884E-05
3.1	6.858379E-06
3.2	8.961588E-05
3.3	9.961582E-05
3.4	0.0001179999
3.5	0.0001302758
3.6	7.537031E-05
3.7	5.597428E-05
3.8	2.674699E-05
3.9	-3.788041E-05
4	-4.042912E-05
4.1	-5.777832E-05
4.2	-8.343231E-05
4.3	-4.612858E-05
4.4	-4.320915E-05
4.5	-3.494376E-05
4.6	1.518633E-05
4.7	1.063483E-05
4.8	2.302703E-05
4.9	5.282165E-05
5	2.39145E-05
5.1	2.914806E-05
5.2	3.329948E-05
5.3	-7.730514E-06
5.4	2.394134E-06
5.5	-4.071121E-06
5.6	-3.481722E-05
5.7	-9.017343E-06
5.8	-1.698758E-05
5.9	-2.890694E-05
6	6.830046E-06
6.1	-6.593824E-06
6.2	-5.607491E-06
6.3	2.520972E-05
6.4	2.774915E-07
6.5	7.835468E-06
6.6	2.486275E-05
6.7	-8.284625E-06
6.8	6.236248E-06
6.9	1.056056E-05
7	-2.015924E-05
7.1	3.832641E-06
7.2	-1.184305E-06
7.3	-2.156303E-05
7.4	9.082626E-06
7.5	-4.598774E-06
7.6	-1.247692E-05
7.7	1.751314E-05
7.8	-5.410464E-06
7.9	-2.485892E-06
8	1.921983E-05
8.1	-1.044374E-05
8.2	2.577964E-06
8.3	1.33716E-05
8.4	-1.651249E-05
8.5	6.061769E-06
8.6	5.571247E-06
8.7	-1.820359E-05
8.8	1.0843E-05
8.9	-5.994206E-07
9	-1.43641E-05
9.1	1.577812E-05
9.2	-5.512686E-06
9.3	-7.775792E-06
9.4	1.759502E-05
9.5	-1.061361E-05
9.6	-1.39349E-06
9.7	1.505829E-05
9.8	-1.515221E-05
9.9	4.326761E-06
10	9.5852E-06
10.1	0.0003558928
10.2	0.008226608
10.3	0.02143176
10.4	0.03640039
10.5	0.05089025
10.6	0.06285807
10.7	0.07050411
10.8	0.07298332
10.9	0.07038238
11	0.06465044
11.1	0.05525154
11.2	0.03911076
11.3	0.01909204
11.4	-0.006306776
11.5	-0.0338741
11.6	-0.05877397
11.7	-0.07864939
11.8	-0.09088235
11.9	-0.09417151
12	-0.08943365
12.1	-0.07853988
12.2	-0.06424139
12.3	-0.04950065
12.4	-0.0310829
12.5	-0.01035434
12.6	0.008989119
12.7	0.02417271
12.8	0.03330594
12.9	0.03577815
13	0.03224919
13.1	0.0240749
13.2	0.01322138
13.3	0.001856657
13.4	-0.00818882
13.5	-0.01548743
13.6	-0.01923844
13.7	-0.01942439
13.8	-0.01647719
13.9	-0.01129999
14	-0.005117752
14.1	0.00101785
14.2	0.006121142
14.3	0.009472968
14.4	0.01087404
14.5	0.01033202
14.6	0.008192682
14.7	0.005104009
14.8	0.001620829
14.9	-0.001636368
15	-0.004117608
15.1	-0.005624212
15.2	-0.006016757
15.3	-0.005359377
15.4	-0.003989444
15.5	-0.002157375
15.6	-0.0002283374
15.7	0.001413177
15.8	0.002632825
15.9	0.003255895
16	0.003234135
16.1	0.002746005
16.2	0.001871617
16.3	0.0008040685
16.4	-0.0001930681
16.5	-0.001050577
16.6	-0.001619601
16.7	-0.001810586
16.8	-0.001730406
16.9	-0.001369731
17	-0.0008183371
17.1	-0.000262685
17.2	0.000287595
17.3	0.0007192552
17.4	0.0009334835
17.5	0.001011898
17.6	0.0009053696
17.7	0.0006413086
17.8	0.0003606022
17.9	3.374293E-05
18	-0.0002629618
18.1	-0.0004320813
18.2	-0.0005492584
18.3	-0.0005540365
18.4	-0.0004387592
18.5	-0.0003167489
18.6	-0.0001355724
18.7	5.539535E-05
18.8	0.0001660583
18.9	0.0002741342
19	0.0003180726
19.1	0.0002713311
19.2	0.0002344067
19.3	0.0001421827
19.4	2.294906E-05
19.5	-3.762282E-05
19.6	-0.000121318
19.7	-0.0001723368
19.8	-0.0001522677
19.9	-0.0001568816
20	-0.0001156882
20.1	-4.054845E-05
20.2	-1.63761E-05
20.3	4.258255E-05
20.4	8.926398E-05
20.5	7.571562E-05
20.6	9.71783E-05
20.7	8.410822E-05
20.8	3.40954E-05
20.9	3.278037E-05
21	-5.587428E-06
21.1	-4.477832E-05
21.2	-3.050812E-05
21.3	-5.633E-05
21.4	-5.733512E-05
21.5	-2.130467E-05
21.6	-3.345794E-05
21.7	-9.026627E-06
21.8	2.346838E-05
21.9	5.360916E-06
22	3.091284E-05
22.1	3.870872E-05
22.2	8.39366E-06
22.3	2.80613E-05
22.4	1.357008E-05
22.5	-1.504024E-05
22.6	6.992235E-06
