Time	Aircraft Simulation Position X	Aircraft Simulation Angular Velocity Z
0.1	-0.006105877	-0.07304474
0.2	-0.005109095	0.0901875
0.3	-0.006854049	-0.05225546
0.4	-0.005895528	-0.005250997
0.5	-0.006851831	0.03346267
0.6	-0.00635379	-0.0250201
0.7	-0.006493657	0.002426484
0.8	-0.00639102	0.008423137
0.9	-0.006431295	-0.001246822
1	-0.00650803	-0.009758567
1.1	-0.006362847	0.01189483
1.2	-0.006695651	-0.00514863
1.3	-0.00627582	-0.002271357
1.4	-0.006566826	0.005340148
1.5	-0.006343334	-0.003589941
1.6	-0.006541	0.001455009
1.7	-0.006476685	-0.001521315
1.8	-0.006498727	0.003100833
1.9	-0.006489351	-0.003511786
2	-0.006370244	0.002850917
2.1	-0.006516411	-0.0012129
2.2	-0.006416152	-6.222898E-05
2.3	-0.006566094	0.0007636448
2.4	-0.006443826	-0.0009433871
2.5	-0.006486624	0.0008413014
2.6	-0.006413013	-0.0006826606
2.7	-0.006457173	0.001188666
2.8	-0.006497295	-0.001480984
2.9	-0.006482926	0.0009488721
3	-0.006511373	-0.0004436191
3.1	-0.006423365	0.000217543
3.2	-0.00644851	-5.251674E-05
3.3	-0.00643525	-0.000206222
3.4	-0.006500845	8.249579E-05
3.5	-0.006488043	-0.0003670826
3.6	-0.0064786	0.000462891
3.7	-0.006444952	-0.0004796054
3.8	-0.006428797	0.0006158525
3.9	-0.00646889	-0.0004654378
4	-0.006478367	-0.0002888886
4.1	-0.006501978	0.0003651074
4.2	-0.006466077	-0.0001666386
4.3	-0.006447191	2.543341E-05
4.4	-0.006437212	0.0002874086
4.5	-0.006466113	-1.811142E-05
4.6	-0.006490686	-0.0004469872
4.7	-0.006487638	0.0006115556
4.8	-0.006474243	-9.43549E-05
4.9	-0.006437554	-0.0001025685
5	-0.006449481	2.551556E-05
5.1	-0.00646313	0.0001290883
5.2	-0.006497292	2.648461E-05
5.3	-0.006486567	8.239182E-05
5.4	-0.006465397	0.0004456652
5.5	-0.006450281	-0.0003898489
5.6	-0.006448265	-0.0003542817
5.7	-0.006470891	0.0003374933
5.8	-0.006495043	-0.0002647802
5.9	-0.006484993	-0.0001646999
6	-0.006463652	0.0005469124
6.1	-0.006452349	-0.0001979274
6.2	-0.006453455	-0.000372935
6.3	-0.006475839	0.0003153608
6.4	-0.006492968	-8.199599E-05
6.5	-0.006484147	-0.0001285575
6.6	-0.006461737	0.0002323449
6.7	-0.006451619	-2.038217E-05
6.8	-0.006459431	-0.000272215
6.9	-0.006476433	0.0001780497
7	-0.006494575	-0.0004741346
7.1	-0.006477715	0.0001858405
7.2	-0.006467142	0.0003682411
7.3	-0.006450867	1.770286E-05
7.4	-0.006466971	-5.839852E-05
7.5	-0.006479333	0.0001067796
7.6	-0.006521368	0.0006561338
7.7	-0.006488852	-0.001031436
7.8	-0.006470045	0.001236831
7.9	-0.006478173	-0.0001577735
8	-0.006474851	-0.0005469344
8.1	-0.006514606	-1.557058E-05
8.2	-0.00649424	0.0006044671
8.3	-0.00650768	-0.000493277
8.4	-0.006457923	-0.0001627277
8.5	-0.006483295	0.0007392286
8.6	-0.006485133	-0.0006021449
8.7	-0.00650613	0.0002529564
8.8	-0.006508586	4.888069E-05
8.9	-0.006485071	0.0001768085
9	-0.006477585	-3.157254E-05
9.1	-0.006470657	0.0002211794
9.2	-0.006494706	-7.215643E-05
9.3	-0.006503096	-0.0002514146
9.4	-0.006504405	0.0001981939
9.5	-0.006483215	0.0005860751
9.6	-0.006480337	-0.0001576064
9.7	-0.006475222	-0.0002968025
9.8	-0.006494939	0.0002783042
9.9	-0.006502062	5.516454E-05
10	-0.006503587	-0.000167116
10.1	-0.006485017	6.268329E-05
10.2	-0.006467532	0.0001560599
10.3	-0.006478733	-0.0003583443
10.4	-0.00648702	0.0001951418
10.5	-0.006501846	0.0005921906
10.6	-0.006496444	-0.0007701819
10.7	-0.00646749	0.0005585436
10.8	-0.006479939	0.0001546875
10.9	-0.006469388	-0.0003227182
11	-0.006499375	0.0002604059
11.1	-0.00649536	-0.0002755327
11.2	-0.006491223	4.518215E-05
11.3	-0.006474289	-0.0002461984
11.4	-0.006467484	0.0002245263
11.5	-0.006482698	-0.0001635283
11.6	-0.006485646	0.0002597953
11.7	-0.00650129	0.0001370307
11.8	-0.006486485	-0.0002007969
11.9	-0.006472494	0.0004440631
12	-0.006473253	-7.301127E-05
12.1	-0.006481542	-0.0001834153
12.2	-0.006495298	-0.0001248585
12.3	-0.006491703	0.0003852939
12.4	-0.006493634	-0.0002698387
12.5	-0.006471504	-0.000403315
12.6	-0.006474265	0.0003647573
12.7	-0.006484218	-0.0002621311
12.8	-0.006497169	1.68181E-05
12.9	-0.006497019	-0.0002238933
13	-0.006492774	0.0004562487
13.1	-0.006487255	-0.0003340216
13.2	-0.006478893	0.0001421353
13.3	-0.00650185	-0.0002223126
13.4	-0.006492937	-0.0001611384
13.5	-0.006507189	-0.0001766344
13.6	-0.006481523	0.0004027855
13.7	-0.006498808	-0.0003934579
13.8	-0.006478473	-0.0004289148
13.9	-0.006501378	0.0003870503
14	-0.006499644	-0.0005357101
14.1	-0.006496958	0.000168598
14.2	-0.00649176	-4.015699E-05
14.3	-0.006483013	-0.0002036585
14.4	-0.006522218	0.0003306225
14.5	-0.006501368	-0.0006091513
14.6	-0.006518627	0.0003140538
14.7	-0.006513711	-0.0002221218
14.8	-0.006501667	0.0008431936
14.9	-0.006521895	-0.0006585207
15	-0.006496915	-0.00010556
15.1	-0.006524353	0.0006077014
15.2	-0.006506367	-0.0003136454
15.3	-0.006517064	0.0002715251
15.4	-0.006510871	-0.00011167
15.5	-0.006507304	-0.0001950398
15.6	-0.006514295	-0.0005752062
15.7	-0.006507737	0.000585918
15.8	-0.006519007	3.43982E-05
15.9	-0.006511596	-0.000649505
16	-0.006503778	0.0004119507
16.1	-0.00649949	-0.0001082774
16.2	-0.006499143	-0.0006872093
16.3	-0.006482038	0.0003671053
16.4	-0.006489109	-0.0003620971
16.5	-0.006463399	-0.0009818577
16.6	-0.006478173	0.0002361804
16.7	-0.006535194	-0.0003875586
16.8	-0.006689596	-0.0004186689
16.9	-0.006965728	-0.0008329573
17	-0.007379589	-0.0002771315
17.1	-0.007957711	-0.0006894468
17.2	-0.008676896	-0.0002048787
17.3	-0.009617155	-0.001228332
17.4	-0.01064216	0.0008175366
17.5	-0.01165497	-0.001410293
17.6	-0.01261577	0.0002154192
17.7	-0.01341674	-0.00102411
17.8	-0.01398453	-0.000478453
17.9	-0.01420179	-0.000204545
18	-0.01395249	-0.0001790514
18.1	-0.01309988	-7.301268E-05
18.2	-0.01153164	-0.0005429281
18.3	-0.009068077	0.0004843488
18.4	-0.005546928	-0.0005654745
18.5	-0.0007966838	-0.0002073432
18.6	0.00535817	-0.0001753009
18.7	0.01307211	4.994427E-05
18.8	0.02256202	-0.0005159144
18.9	0.03399134	-0.0001469207
19	0.04677578	0.2032848
19.1	0.05794176	-0.06396922
19.2	0.07369014	-0.05231398
19.3	0.09031766	0.0938007
19.4	0.1079875	-0.002314589
19.5	0.1297369	-0.0003099162
19.6	0.1536507	0.007367066
19.7	0.1810742	-0.1278497
19.8	0.2110647	0.02250049
19.9	0.2427124	0.0713977
20	0.2765393	0.00454225
20.1	0.3133476	-0.04964965
20.2	0.3533126	-0.03183547
20.3	0.3963047	0.001755586
20.4	0.4424595	-0.002467496
20.5	0.491044	-0.01304682
20.6	0.5414199	0.001447803
20.7	0.5935608	0.01021306
20.8	0.647507	0.003900274
20.9	0.7031588	-0.001677144
21	0.7603161	0.0005506171
21.1	0.8188106	0.002844457
21.2	0.8785241	0.001288967
21.3	0.9393439	-0.0001472789
21.4	1.001167	0.0004212918
21.5	1.063943	0.000932132
21.6	1.127663	0.000615265
