Time	Propeller Total Thrust	Aircraft Simulation Position Z	Aircraft Simulation Global Velocity Y	Aircraft Simulation Airspeed
0.1	-3.312804E-05	5.010668	-0.03652851	0.05481004
0.2	0.481988	5.010755	0.01495779	0.008133682
0.3	1.80059	5.010963	0.006790373	0.01036458
0.4	3.300806	5.011045	0.002550008	0.00739393
0.5	4.908396	5.01115	0.00246097	0.005277012
0.6	6.924054	5.011299	0.001367681	0.004388121
0.7	9.081003	5.011525	0.0008700285	0.004638037
0.8	11.33422	5.01246	0.0007673837	0.01806493
0.9	13.59294	5.016544	0.001045933	0.06825579
1	15.95534	5.028001	0.002046514	0.1631762
1.1	18.11436	5.051486	0.003468703	0.3058367
1.2	20.54079	5.091727	0.005500624	0.4953477
1.3	22.72464	5.153338	0.007789295	0.7307319
1.4	24.76328	5.240902	0.01089509	1.011118
1.5	27.00982	5.358785	0.01448013	1.334166
1.6	28.81958	5.511148	0.01857358	1.697711
1.7	30.66002	5.701932	0.02265711	2.100394
1.8	32.38903	5.934972	0.02767302	2.540329
1.9	33.94928	6.213854	0.03282298	3.014328
2	35.13828	6.541813	0.03873774	3.519821
2.1	35.33602	6.92164	0.04405515	4.04646
2.2	34.45435	7.353701	0.05007915	4.562037
2.3	33.60905	7.836511	0.055521	5.062763
2.4	32.80153	8.36862	0.06112554	5.549417
2.5	32.03723	8.948672	0.06654716	6.023132
2.6	31.31245	9.575417	0.0720381	6.484728
2.7	30.62058	10.24768	0.07697786	6.935267
2.8	29.95888	10.96439	0.08216252	7.375359
2.9	29.32367	11.7245	0.08735323	7.805655
3	28.7118	12.52706	0.09233925	8.226909
3.1	28.13398	13.37116	0.09834173	8.638772
3.2	27.58444	14.25565	0.1068155	9.037986
3.3	27.03201	15.17959	0.1176257	9.431396
3.4	26.52066	16.14314	0.1285284	9.826479
3.5	25.98157	17.14766	0.1396472	10.22478
3.6	25.47784	18.19564	0.2803106	10.62682
3.7	25.01869	19.28534	0.6263124	11.01592
3.8	24.57695	20.41067	1.062217	11.38008
3.9	24.17597	21.56469	1.50798	11.69626
4	23.84927	22.7401	1.975155	11.95526
4.1	23.60688	23.93102	2.492736	12.18152
4.2	23.36516	25.13163	3.01207	12.37804
4.3	23.19234	26.33683	3.47762	12.54141
4.4	23.04645	27.5435	3.862652	12.67578
4.5	22.91641	28.75056	4.154741	12.78772
4.6	22.80342	29.95867	4.348753	12.8839
4.7	22.72427	31.17005	4.442933	12.97582
4.8	22.61288	32.38914	4.405784	13.06981
4.9	22.51324	33.6215	4.202093	13.16068
5	22.40145	34.87118	3.887276	13.25569
5.1	22.24455	36.13987	3.604827	13.38593
5.2	22.06473	37.42901	3.359431	13.54184
5.3	21.87784	38.73928	3.089781	13.70843
5.4	21.66368	40.07168	2.791672	13.8904
5.5	21.44246	41.42724	2.480502	14.0908
5.6	21.21084	42.80674	2.16902	14.31013
5.7	20.95155	44.21079	1.860374	14.54678
5.8	20.67856	45.63987	1.552794	14.79917
5.9	20.38404	47.09436	1.243365	15.06572
6	20.08722	48.57456	0.9326065	15.34546
6.1	19.78845	50.08068	0.6230755	15.63758
6.2	19.45955	51.61287	0.3163924	15.94091
6.3	19.13996	53.1712	0.01329375	16.25447
6.4	18.81231	54.75568	-0.2854863	16.57699
6.5	18.47458	56.36607	-0.5755898	16.90007
6.6	18.13005	58.001	-0.7542354	17.22573
6.7	17.80302	59.65911	-0.6976135	17.54482
6.8	17.5153	61.33887	-0.3810827	17.86014
6.9	17.23699	63.03868	-0.02992425	18.1524
7	16.98292	64.75653	0.1389758	18.4126
7.1	16.7353	66.49123	0.1102641	18.64956
7.2	16.51896	68.24217	0.03343536	18.88247
7.3	16.28155	70.00826	0.09610643	19.12646
7.4	16.07198	71.79037	0.1885061	19.36405
7.5	15.86085	73.58692	0.1320189	19.56908
7.6	15.63897	75.39553	0.1710462	19.77396
7.7	15.46898	77.21318	0.5075555	19.967
7.8	15.33314	79.03343	1.188999	20.12546
7.9	15.21696	80.84776	2.113354	20.26085
8	15.1172	82.64899	2.915364	20.35278
8.1	15.08333	84.43449	3.425885	20.4048
8.2	15.07742	86.20632	3.660986	20.42686
8.3	15.04748	87.96645	3.786584	20.44822
8.4	15.04092	89.71664	3.831371	20.46417
8.5	15.02234	91.4583	3.803618	20.47683
8.6	15.00795	93.19291	3.749501	20.4934
8.7	14.99086	94.92185	3.669603	20.51096
8.8	14.974	96.64641	3.581841	20.53352
8.9	14.9365	98.36796	3.487414	20.56001
9	14.91939	100.0878	3.388905	20.59082
9.1	14.87352	101.807	3.289147	20.62617
9.2	14.84593	103.5266	3.187956	20.66571
9.3	14.78553	105.2472	3.087068	20.7096
9.4	14.76502	106.9693	2.986031	20.75713
9.5	14.69998	108.6932	2.885786	20.80826
9.6	14.65063	110.4192	2.786215	20.86253
9.7	14.60907	112.1471	2.687916	20.92012
9.8	14.52472	113.8771	2.590855	20.98081
9.9	14.48518	115.609	2.494861	21.04457
10	14.43626	117.3425	2.399909	21.11135
10.1	14.35575	119.0775	2.305445	21.18081
10.2	14.28645	120.8134	2.211784	21.25278
10.3	14.20822	122.5503	2.11865	21.32678
10.4	14.15311	124.2878	2.027663	21.40273
