Time	Propeller Total Thrust	Aircraft Simulation Global Velocity Y	Aircraft Simulation Airspeed	Aircraft Simulation Position Z
0.1	-3.02614E-05	-0.01167609	0.05143059	5.008358
0.2	-4.698873E-06	-0.0007478166	0.02063326	5.008279
0.3	-1.512975E-07	0.003364308	0.005769689	5.008308
0.4	-5.688257E-08	0.0005953461	0.00184343	5.008276
0.5	9.743855E-09	-0.0005089995	-0.0009697533	5.008226
0.6	1.449226E-08	-0.00078669	-0.000767471	5.008189
0.7	-3.193509E-09	-0.0004027393	-0.000121296	5.008157
0.8	4.578551E-09	-0.0001371913	-0.0007925381	5.008145
0.9	-2.231171E-08	-0.0004563704	0.001080777	5.008132
1	1.683231E-08	-8.869916E-06	-0.0006333821	5.008116
1.1	3.507401E-10	-0.0003531147	-0.0004200525	5.008099
1.2	1.039381E-08	-0.0001887511	-0.001505527	5.008075
1.3	3.06533E-09	4.719757E-05	-5.276006E-05	5.00806
1.4	4.649471E-09	0.0001269225	-0.0009116661	5.008061
1.5	1.174893E-08	-0.0002819151	-0.001414557	5.008042
1.6	7.13546E-09	8.132495E-05	-0.0003799022	5.008023
1.7	-4.972216E-09	-9.267405E-05	0.0005314259	5.008012
1.8	-7.426927E-09	8.037128E-05	0.0004265953	5.007987
1.9	2.718806E-12	6.256625E-05	-0.000133814	5.007986
2	1.628117E-08	-7.41519E-06	-0.001685478	5.007973
2.1	1.357187E-08	-0.0001001321	-0.001239352	5.007957
2.2	-2.557086E-09	-0.0002827458	0.0004645118	5.007946
2.3	-4.628984E-09	-6.438233E-05	0.0008206155	5.007925
2.4	0.1345831	7.470138E-05	0.0007514413	5.007911
2.5	0.8896397	-0.0002551787	0.00100493	5.007909
2.6	2.048302	-0.0001426432	0.001416587	5.007955
2.7	3.586439	-2.621301E-05	0.0009429654	5.008016
2.8	5.339266	0.0001197904	0.001225647	5.008102
2.9	7.315529	0.0002231598	0.00218209	5.008246
3	9.362759	0.0005021431	0.01019266	5.008773
3.1	11.66565	0.0004852731	0.0516414	5.011613
3.2	13.72746	0.001491319	0.1422017	5.021174
3.3	16.20734	0.00334117	0.2862582	5.042565
3.4	17.90792	0.005443464	0.4793445	5.081058
3.5	20.6735	0.00790268	0.7250404	5.141564
3.6	22.93472	0.01110572	1.022311	5.229367
3.7	24.80667	0.01491878	1.371708	5.349754
3.8	26.87612	0.01927959	1.767553	5.507513
3.9	28.47301	0.02413427	2.206629	5.707201
4	30.16185	0.02947118	2.688151	5.953029
4.1	31.7476	0.03531779	3.20477	6.248863
4.2	32.87931	0.04145063	3.759474	6.59846
4.3	34.10263	0.04806441	4.346826	7.005198
4.4	33.79334	0.0549598	4.953286	7.472063
4.5	32.81113	0.0610668	5.543749	7.998781
4.6	31.88655	0.06745224	6.117052	8.583597
4.7	31.01468	0.07387565	6.674232	9.224855
4.8	30.19015	0.08024815	7.216415	9.920989
4.9	29.40601	0.08624204	7.744777	10.67055
5	28.66022	0.09220184	8.260709	11.47222
5.1	27.96091	0.098046	8.764557	12.32473
5.2	27.28619	0.1045003	9.25692	13.22695
5.3	26.64322	0.1182488	9.726603	14.17718
5.4	26.02681	0.1369529	10.18536	15.17358
5.5	25.44225	0.2020476	10.65123	16.21735
5.6	24.90001	0.5861003	11.09991	17.30942
5.7	24.41769	1.184822	11.50577	18.44297
5.8	24.00017	1.875448	11.82849	19.60614
5.9	23.67494	2.696287	12.06695	20.78485
6	23.48981	3.638651	12.23946	21.96431
6.1	23.37716	4.617957	12.34321	23.12766
6.2	23.32797	5.562321	12.37901	24.25849
6.3	23.38783	6.432265	12.35117	25.3424
6.4	23.4423	7.191538	12.27458	26.36848
6.5	23.60967	7.805886	12.15341	27.32999
6.6	23.82737	8.26815	11.99487	28.22468
6.7	24.03522	8.585068	11.81023	29.05441
6.8	24.28825	8.766343	11.60361	29.82418
6.9	24.56665	8.831897	11.38292	30.54111
7	24.8642	8.801852	11.15837	31.2136
7.1	25.14931	8.680364	10.93808	31.85198
7.2	25.43329	8.468086	10.71228	32.46789
7.3	25.69441	8.2021	10.49585	33.07103
7.4	25.94721	7.914049	10.29877	33.66747
7.5	26.17907	7.617453	10.1271	34.26064
7.6	26.37243	7.302455	9.978786	34.85403
7.7	26.53088	6.959853	9.852444	35.45167
7.8	26.66755	6.594442	9.754655	36.05747
7.9	26.73734	6.212513	9.690833	36.67445
8	26.78101	5.816956	9.664896	37.30482
8.1	26.75017	5.405368	9.67912	37.95035
8.2	26.67832	4.973722	9.735658	38.61257
8.3	26.5449	4.519305	9.837996	39.29277
8.4	26.34089	4.040826	9.989005	39.99192
8.5	26.0801	3.536876	10.19106	40.71049
8.6	25.74796	3.005255	10.43925	41.4481
8.7	25.35585	2.471175	10.73916	42.20206
8.8	24.90188	1.94788	11.09958	42.96914
8.9	24.41152	1.386285	11.49456	43.74721
9	23.89561	0.7868928	11.91811	44.53366
9.1	23.34284	0.2118564	12.37534	45.32313
9.2	22.76058	-0.2771802	12.86025	46.10567
9.3	22.20178	-0.6733676	13.37399	46.86993
9.4	21.62387	-1.068162	13.89565	47.60851
9.5	21.05309	-1.533574	14.41902	48.32027
9.6	20.47405	-2.082097	14.94614	49.00811
9.7	19.90648	-2.668023	15.48979	49.67455
9.8	19.30965	-3.258307	16.04885	50.3204
9.9	18.72733	-3.839346	16.6191	50.94566
10	18.14735	-4.409016	17.19591	51.55055
10.1	17.57294	-4.9673	17.77491	52.13566
10.2	17.00187	-5.502981	18.35494	52.70174
10.3	16.43433	-6.010154	18.93359	53.24939
10.4	15.88589	-6.487852	19.50843	53.77927
10.5	15.33929	-6.931251	20.07847	54.29224
10.6	14.81589	-7.344575	20.64041	54.78934
10.7	14.29307	-7.725388	21.18553	55.27195
10.8	13.77828	-7.887031	21.72167	55.73954
10.9	13.32163	-7.598516	22.23196	56.18876
11	12.87052	-6.712774	22.68748	56.61552
11.1	12.51944	-5.164551	23.0722	57.01604
11.2	12.25598	-3.28342	23.38807	57.38836
11.3	12.07385	-1.540264	23.6184	57.73363
11.4	11.93118	-0.1381259	23.78092	58.05505
11.5	11.88518	0.756676	23.88001	58.35664
11.6	11.78675	1.238586	23.94076	58.64265
11.7	11.78971	1.517815	23.98587	58.91531
11.8	11.75109	1.694779	24.02344	59.17531
11.9	11.71486	1.783115	24.05152	59.42278
12	11.71338	1.827099	24.07743	59.6576
12.1	11.67932	1.839538	24.10061	59.87943
12.2	11.64368	1.833582	24.12308	60.08792
