Time	Aircraft Simulation True Pitch Moment	Aircraft Simulation Net Global Force Y
0.1	-2.129083	38.63794
0.2	-2.400435	38.27265
0.3	-2.438198	38.21786
0.4	-2.442454	38.21274
0.5	-2.446048	38.21008
0.6	-2.448558	38.20372
0.7	-2.448307	38.20446
0.8	-2.450089	38.20424
0.9	-2.451114	38.20067
1	-2.449996	38.20187
1.1	-2.451189	38.20245
1.2	-2.451937	38.20001
1.3	-2.450733	38.20058
1.4	-2.451569	38.20164
1.5	-2.452275	38.20005
1.6	-2.450966	38.19998
1.7	-2.451412	38.20162
1.8	-2.452203	38.20063
1.9	-2.451529	38.19894
2	-2.451245	38.20163
2.1	-2.452124	38.20118
2.2	-2.452197	38.1981
2.3	-2.451065	38.20168
2.4	-2.45204	38.20168
2.5	-2.45214	38.19793
2.6	-2.450887	38.20178
2.7	-2.451944	38.20212
2.8	-2.452078	38.19783
2.9	-2.450739	38.20185
3	-2.451838	38.20247
3.1	-2.452012	38.1978
3.2	-2.450664	38.20185
3.3	-2.451719	38.20274
3.4	-2.451941	38.19787
3.5	-2.45071	38.20169
3.6	-2.451585	38.20293
3.7	-2.452282	38.19746
3.8	-2.450918	38.20131
3.9	-2.451436	38.20306
4	-2.452213	38.19772
4.1	-2.45141	38.20057
4.2	-2.45127	38.20311
4.3	-2.452137	38.1981
4.4	-2.452206	38.19969
4.5	-2.451089	38.20315
4.6	-2.452052	38.19857
4.7	-2.452148	38.19959
4.8	-2.450912	38.20311
4.9	-2.451958	38.19911
5	-2.452086	38.19945
5.1	-2.450757	38.20303
5.2	-2.451855	38.19972
5.3	-2.452021	38.1993
5.4	-2.450669	38.20287
5.5	-2.451737	38.20036
5.6	-2.451951	38.19914
5.7	-2.450694	38.20257
5.8	-2.451605	38.20104
5.9	-2.452291	38.19837
6	-2.450877	38.2021
6.1	-2.451458	38.2017
6.2	-2.452224	38.19818
6.3	-2.451309	38.20134
6.4	-2.451293	38.20234
6.5	-2.452148	38.19801
6.6	-2.446485	38.20031
6.7	-2.451117	38.20291
6.8	-2.452064	38.19789
6.9	-2.452157	38.20027
7	-2.450937	38.20341
7.1	-2.451972	38.19785
7.2	-2.452096	38.20026
7.3	-2.450777	38.20381
7.4	-2.45187	38.19788
7.5	-2.452031	38.20026
7.6	-2.450675	38.20401
7.7	-2.451753	38.19804
7.8	-2.451961	38.20028
7.9	-2.450683	38.20397
8	-2.451625	38.1983
8.1	-2.451885	38.19971
8.2	-2.450839	38.20365
8.3	-2.451478	38.1987
8.4	-2.452233	38.19968
8.5	-2.451221	38.20297
8.6	-2.451317	38.1992
8.7	-2.452159	38.19962
8.8	-2.452198	38.21049
8.9	-2.451143	38.19981
9	-2.452077	38.19955
9.1	-2.452164	38.20156
9.2	-2.450961	38.20048
9.3	-2.451986	38.19945
9.4	-2.452105	38.20139
9.5	-2.450797	38.20116
9.6	-2.451885	38.19932
9.7	-2.452041	38.20122
9.8	-2.450684	38.2018
9.9	-2.451771	38.19918
10	-2.451972	38.20108
10.1	-2.450674	38.20229
10.2	-2.451644	38.19908
10.3	-2.451896	38.20097
10.4	-2.450806	38.20258
10.5	-2.4515	38.19896
10.6	-2.452244	38.20029
10.7	-2.451145	38.20253
10.8	-2.451342	38.19891
10.9	-2.452169	38.20026
11	-2.452071	38.20176
11.1	-2.451168	38.19891
11.2	-2.452089	38.20026
11.3	-2.452172	38.20207
11.4	-2.450987	38.19901
11.5	-2.452	38.20028
11.6	-2.452114	38.2023
11.7	-2.450818	38.19915
11.8	-2.451901	38.20033
11.9	-2.45205	38.20244
12	-2.450695	38.19934
12.1	-2.451788	38.20038
12.2	-2.451982	38.20248
12.3	-2.450668	38.1995
12.4	-2.451664	38.20045
12.5	-2.451907	38.20246
12.6	-2.450776	38.19959
12.7	-2.451522	38.2005
12.8	-2.452253	38.20179
12.9	-2.451077	38.19952
13	-2.451366	38.20054
13.1	-2.452182	38.20166
13.2	-2.451854	38.19886
13.3	-2.451194	38.20054
13.4	-2.452101	38.20149
13.5	-2.493364	37.54247
13.6	-2.639512	36.5787
13.7	-3.196816	25.74415
13.8	-3.698001	17.19976
13.9	-3.767196	8.594074
14	-4.080116	-0.1378894
14.1	-4.479684	-7.990457
14.2	-4.472387	-13.37172
14.3	-4.697899	-19.26257
14.4	-5.142346	-25.15452
14.5	-5.963995	-33.30642
14.6	-6.254279	-34.27909
14.7	-7.063905	-44.13771
14.8	-8.035101	-54.13251
14.9	-8.670986	-57.2718
15	-9.092837	-61.81625
15.1	-9.49271	-65.99984
15.2	-10.05272	-70.04404
15.3	-10.30713	-72.54215
15.4	-10.66174	-76.17758
15.5	-11.33377	-80.83433
15.6	-11.73401	-84.18672
15.7	-12.0456	-86.78323
15.8	-12.79989	-91.18027
15.9	-13.25191	-93.56268
16	-14.01405	-96.43693
16.1	-14.40747	-97.16161
16.2	-14.96911	-97.5261
16.3	-15.6382	-96.64237
16.4	-16.05373	-95.12695
16.5	-16.74999	-92.58827
16.6	-17.00026	-90.38615
16.7	-17.66381	-85.43085
16.8	-17.83979	-83.84022
16.9	-18.28168	-80.0435
17	-18.60452	-76.89815
17.1	-18.83339	-74.80353
17.2	-19.08766	-71.6705
17.3	-19.26703	-68.56108
17.4	-19.40136	-68.2028
17.5	-19.4157	-68.21932
17.6	-19.44938	-67.53032
17.7	-19.51094	-66.16388
17.8	-19.51205	-65.13206
17.9	-19.50947	-64.9326
18	-19.56281	-64.9918
18.1	-19.57365	-65.00289
18.2	-19.57589	-65.00377
18.3	-19.57666	-65.00904
18.4	-19.57642	-65.00544
18.5	-19.57357	-64.8083
18.6	-19.57724	-64.81688
18.7	-19.57783	-64.81322
18.8	-19.57837	-64.81403
18.9	-19.58619	-65.01624
19	-19.55828	-66.87187
19.1	-19.37218	-68.91588
19.2	-19.17092	-71.93326
19.3	-18.69598	-76.15981
19.4	-17.41946	-84.92908
19.5	-16.87533	-88.42903
19.6	-15.58897	-95.45425
19.7	-14.84245	-97.0163
19.8	-14.29684	-96.9995
19.9	-13.35561	-93.61842
20	-12.99654	-91.16433
20.1	-12.57806	-87.97063
20.2	-11.93692	-83.6242
20.3	-11.48344	-79.39867
20.4	-11.09235	-75.27748
20.5	-10.60272	-72.22883
20.6	-10.15282	-67.80041
20.7	-9.609528	-61.46878
20.8	-8.632584	-52.72441
20.9	-8.116397	-47.97092
21	-7.916961	-45.66606
21.1	-7.528532	-42.81953
21.2	-7.314991	-41.94575
21.3	-6.981833	-37.98847
21.4	-6.477165	-32.82016
21.5	-5.488654	-22.38177
21.6	-4.911029	-15.43578
21.7	-4.385665	-10.30186
21.8	-3.557197	-2.186791
21.9	-3.185359	3.797408
22	-2.803656	11.30336
22.1	-2.52507	22.90257
22.2	-2.235152	28.73474
22.3	-1.886571	34.6316
22.4	-2.09403	39.78167
22.5	-1.832361	45.53602
22.6	-1.507499	50.75976
22.7	-1.602196	54.52519
22.8	-1.475745	57.97343
22.9	-1.312309	60.57183
23	-1.180645	65.50336
23.1	-1.066221	68.61773
23.2	-0.6548467	74.48103
23.3	-0.3941316	79.38178
23.4	-0.2770438	83.01207
23.5	0.1510425	87.21369
23.6	0.229971	93.48733
23.7	0.4561917	98.97567
23.8	0.8300544	102.8068
23.9	1.068677	107.5656
24	1.009152	110.019
24.1	1.265227	112.8252
24.2	1.415972	113.7174
24.3	1.271838	115.3569
24.4	1.483958	117.8242
24.5	1.695323	120.1007
24.6	1.614656	120.7707
24.7	1.657195	121.0528
24.8	1.772673	122.5656
24.9	2.088748	126.3492
25	2.392987	129.257
25.1	2.650465	131.5225
25.2	2.639713	132.9157
25.3	2.634383	133.3698
25.4	2.763152	134.4316
25.5	2.906806	136.1406
25.6	3.108259	137.8473
25.7	3.216558	138.566
25.8	3.316496	139.6357
25.9	3.406761	140.4639
26	3.483442	140.8988
26.1	3.582684	141.6782
26.2	3.661101	142.2379
26.3	3.707682	142.442
26.4	3.965323	143.8376
26.5	4.284065	145.2498
26.6	4.336184	145.3948
26.7	4.340961	145.4093
26.8	4.531269	146.0679
26.9	4.852296	146.674
27	5.25221	146.9309
27.1	5.94605	145.6932
27.2	6.437946	144.259
27.3	6.685297	142.6831
27.4	7.490873	138.4953
27.5	8.026591	134.9766
27.6	8.475851	130.718
27.7	8.666661	130.9633
27.8	8.855366	131.2164
27.9	9.029835	129.702
28	9.333964	126.4563
28.1	9.521347	125.4482
28.2	9.878721	121.3639
28.3	9.923628	121.4234
28.4	10.27032	119.6497
28.5	10.58943	115.9731
28.6	10.90975	112.2507
28.7	11.46529	108.8241
28.8	11.79015	105.1257
28.9	11.90386	103.9223
29	12.46013	99.98707
29.1	13.04697	92.6126
29.2	13.47212	86.97618
29.3	14.00827	85.60361
29.4	14.39086	80.91722
29.5	14.63857	76.1087
29.6	14.77526	73.35069
29.7	14.74415	71.32853
29.8	14.69717	70.25666
29.9	14.5557	68.93807
30	14.31235	67.2035
30.1	13.84919	64.6558
30.2	13.47951	63.42424
30.3	13.31069	63.09118
30.4	13.1872	62.70848
30.5	13.06569	62.34272
30.6	12.85847	61.78164
30.7	12.18093	60.03148
30.8	11.45694	58.51032
30.9	10.84995	57.45364
31	9.669818	55.64994
31.1	8.961999	54.77166
31.2	8.520128	54.31039
31.3	8.179912	54.06913
31.4	7.924432	53.82741
31.5	7.671741	53.70803
31.6	7.229673	53.70115
31.7	7.177448	53.73338
31.8	7.077038	53.84568
31.9	7.052324	53.87978
32	7.052363	53.88163
32.1	7.054037	53.88712
32.2	7.053907	53.88132
32.3	7.053808	53.88395
32.4	7.054982	53.88909
32.5	7.054046	53.88217
32.6	7.053847	53.88414
32.7	7.055248	53.88648
32.8	7.054093	53.88379
32.9	7.053991	53.88279
33	7.055311	53.88448
33.1	7.054145	53.88592
33.2	7.054	53.88363
33.3	7.05484	53.88277
33.4	7.054216	53.88836
33.5	7.054008	53.88338
33.6	7.053875	53.88187
33.7	7.054326	53.8896
33.8	7.054015	53.88242
33.9	7.053869	53.88239
34	7.054481	53.88642
34.1	7.054024	53.8816
34.2	7.053865	53.8833
34.3	7.054705	53.88893
34.4	7.05404	53.8815
34.5	7.053859	53.88407
34.6	7.054971	53.88871
34.7	7.054062	53.88233
34.8	7.053861	53.88407
