Time	Aircraft Simulation True Pitch Moment	Aircraft Simulation Net Global Force Y
0.1	1.109751	42.38425
0.2	0.8392408	42.02035
0.3	0.8017701	41.96597
0.4	0.796652	41.95987
0.5	0.7932756	41.95744
0.6	0.790987	41.95135
0.7	0.7906619	41.95143
0.8	0.7891509	41.95152
0.9	0.7883851	41.94825
1	0.7890455	41.94894
1.1	0.7879949	41.94965
1.2	0.7875323	41.94756
1.3	0.7884432	41.94781
1.4	0.7875577	41.9488
1.5	0.7871634	41.94757
1.6	0.7883655	41.94739
1.7	0.787654	41.9487
1.8	0.787203	41.94811
1.9	0.7879536	41.94654
2	0.7877648	41.94863
2.1	0.787245	41.94862
2.2	0.787365	41.94576
2.3	0.7878947	41.94866
2.4	0.7872922	41.94907
2.5	0.7874037	41.94557
2.6	0.7880464	41.94871
2.7	0.7873447	41.94944
2.8	0.7874424	41.94543
2.9	0.78821	41.94883
3	0.787404	41.94975
3.1	0.7874846	41.94539
3.2	0.7883605	41.94891
3.3	0.787471	41.94996
3.4	0.7875304	41.94541
3.5	0.7884434	41.9489
3.6	0.7875485	41.95008
3.7	0.78716	41.94498
3.8	0.7883903	41.94872
3.9	0.7876396	41.95013
4	0.7871981	41.9452
4.1	0.7880511	41.94813
4.2	0.7877476	41.95014
4.3	0.7872382	41.94553
4.4	0.7873604	41.94733
4.5	0.7878753	41.95011
4.6	0.7872857	41.94596
4.7	0.7873977	41.94724
4.8	0.7880229	41.95004
4.9	0.7873373	41.94646
5	0.7874375	41.94708
5.1	0.7881866	41.94998
5.2	0.7873942	41.947
5.3	0.7874787	41.9469
5.4	0.7883403	41.94991
5.5	0.7874606	41.94761
5.6	0.7875229	41.9467
5.7	0.7884377	41.94976
5.8	0.7875369	41.94821
5.9	0.7871546	41.94589
6	0.788409	41.94947
6.1	0.7876252	41.94881
6.2	0.7871917	41.94567
6.3	0.7881298	41.94889
6.4	0.7877305	41.94936
6.5	0.7872328	41.94545
6.6	0.7930731	41.94797
6.7	0.7878553	41.94989
6.8	0.7872783	41.94529
6.9	0.7873918	41.94793
7	0.7880004	41.95036
7.1	0.7873288	41.94519
7.2	0.7874315	41.94788
7.3	0.7881625	41.95074
7.4	0.7873853	41.94518
7.5	0.7874723	41.94784
7.6	0.7883216	41.95103
7.7	0.7874511	41.94528
7.8	0.7875164	41.94784
7.9	0.7884305	41.95114
8	0.7875245	41.94548
8.1	0.7875645	41.94723
8.2	0.7884238	41.95099
8.3	0.7876129	41.94581
8.4	0.7871858	41.94717
8.5	0.7881951	41.95049
8.6	0.7877147	41.94625
