Time	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Force Y
0.1	-2.52616	38.75225
0.2	-2.780078	38.43185
0.3	-2.816104	38.38641
0.4	-2.824693	38.37548
0.5	-2.829891	38.36893
0.6	-2.832538	38.36562
0.7	-2.832332	38.36582
0.8	-2.834105	38.36361
0.9	-2.835112	38.36237
1	-2.834004	38.36371
1.1	-2.835199	38.36222
1.2	-2.83593	38.36133
1.3	-2.834713	38.36283
1.4	-2.835576	38.36174
1.5	-2.836266	38.3609
1.6	-2.834918	38.36259
1.7	-2.835428	38.36192
1.8	-2.836197	38.36098
1.9	-2.835403	38.362
2	-2.835264	38.36212
2.1	-2.836121	38.36108
2.2	-2.836189	38.36101
2.3	-2.835088	38.36234
2.4	-2.836038	38.36118
2.5	-2.836133	38.36108
2.6	-2.834911	38.36256
2.7	-2.835944	38.36129
2.8	-2.836071	38.36115
2.9	-2.834757	38.36276
3	-2.835842	38.36142
3.1	-2.836007	38.36124
3.2	-2.834671	38.36287
3.3	-2.835726	38.36155
3.4	-2.835937	38.36132
3.5	-2.834696	38.36285
3.6	-2.835595	38.36172
3.7	-2.836274	38.36089
3.8	-2.834876	38.36264
3.9	-2.83545	38.3619
4	-2.836206	38.36098
4.1	-2.835303	38.36212
4.2	-2.835288	38.3621
4.3	-2.836132	38.36106
4.4	-2.830539	38.36814
4.5	-2.835113	38.36231
4.6	-2.83605	38.36117
4.7	-2.836142	38.36107
4.8	-2.834936	38.36253
4.9	-2.835959	38.36127
5	-2.836081	38.36115
5.1	-2.834777	38.36273
5.2	-2.835857	38.3614
5.3	-2.836018	38.36122
5.4	-2.834677	38.36286
5.5	-2.835742	38.36154
5.6	-2.835948	38.36131
5.7	-2.834685	38.36287
5.8	-2.835616	38.36169
5.9	-2.835873	38.3614
6	-2.834839	38.36269
6.1	-2.835471	38.36187
6.2	-2.836217	38.36096
6.3	-2.835217	38.36222
6.4	-2.835311	38.36207
6.5	-2.836143	38.36105
6.6	-2.83618	38.36102
6.7	-2.835139	38.36228
6.8	-2.836062	38.36115
6.9	-2.836148	38.36106
7	-2.834959	38.3625
7.1	-2.835972	38.36126
7.2	-2.83609	38.36113
7.3	-2.834797	38.3627
7.4	-2.835872	38.36138
7.5	-2.836027	38.36121
7.6	-2.834686	38.36285
7.7	-2.83576	38.36152
7.8	-2.835958	38.3613
7.9	-2.834675	38.36288
8	-2.835634	38.36167
8.1	-2.835883	38.36139
8.2	-2.834806	38.36272
8.3	-2.835493	38.36185
8.4	-2.836226	38.36095
8.5	-2.835142	38.36232
8.6	-2.835336	38.36204
8.7	-2.836154	38.36104
8.8	-2.836056	38.36118
8.9	-2.835164	38.36225
9	-2.836074	38.36113
9.1	-2.836157	38.36105
9.2	-2.834985	38.36247
9.3	-2.835986	38.36124
9.4	-2.836098	38.36113
9.5	-2.834818	38.36267
9.6	-2.835888	38.36136
9.7	-2.836036	38.3612
9.8	-2.834697	38.36284
9.9	-2.835777	38.36149
10	-2.835968	38.36128
10.1	-2.83467	38.36288
10.2	-2.835653	38.36164
10.3	-2.835894	38.36137
10.4	-2.834777	38.36275
10.5	-2.835514	38.36182
10.6	-2.836236	38.36094
10.7	-2.835076	38.3624
10.8	-2.835359	38.36201
10.9	-2.836165	38.36103
11	-2.835841	38.36145
11.1	-2.835189	38.36221
11.2	-2.836086	38.36112
11.3	-2.836165	38.36104
11.4	-2.835011	38.36244
11.5	-2.835999	38.36123
11.6	-2.836106	38.36111
11.7	-2.83484	38.36265
11.8	-2.835902	38.36134
11.9	-2.836044	38.36119
12	-2.834709	38.36282
12.1	-2.835793	38.36148
12.2	-2.835978	38.36127
12.3	-2.834665	38.36288
12.4	-2.835672	38.36163
12.5	-2.835906	38.36136
12.6	-2.834752	38.36279
12.7	-2.835535	38.36179
12.8	-2.836246	38.36093
12.9	-2.835018	38.36246
13	-2.835382	38.36198
13.1	-2.836177	38.36101
13.2	-2.835663	38.36167
13.3	-2.835215	38.36218
13.4	-2.836098	38.3611
13.5	-2.836173	38.36103
13.6	-2.835036	38.36241
13.7	-2.836012	38.36121
13.8	-2.836115	38.3611
13.9	-2.834863	38.36263
14	-2.835916	38.36133
14.1	-2.836053	38.36118
14.2	-2.834724	38.3628
14.3	-2.83581	38.36145
14.4	-2.835988	38.36126
14.5	-2.834666	38.36288
14.6	-2.835689	38.3616
14.7	-3.110761	33.25346
14.8	-3.064239	33.31216
14.9	-3.120834	30.55912
15	-3.326506	26.42192
15.1	-3.318147	25.83552
15.2	-3.209358	25.07732
15.3	-3.260181	23.51996
15.4	-3.312854	22.25846
15.5	-3.316815	20.46029
15.6	-3.413222	18.24548
15.7	-3.618935	13.9961
15.8	-3.555811	11.38122
15.9	-3.633093	8.887192
16	-3.746511	6.346574
16.1	-3.740308	2.457357
16.2	-3.70035	1.908191
16.3	-3.822179	-0.9449248
16.4	-3.830257	-3.3547
16.5	-3.810619	-4.529756
16.6	-3.934943	-7.186947
16.7	-4.050705	-10.63328
16.8	-4.114583	-12.81384
16.9	-4.360557	-16.42414
17	-4.631765	-19.166
17.1	-5.077104	-23.32592
17.2	-5.256466	-25.64946
17.3	-5.48895	-28.33829
17.4	-6.082335	-34.46924
17.5	-6.28786	-37.11571
17.6	-6.615527	-41.39975
17.7	-7.025783	-43.70068
17.8	-7.345094	-47.65704
17.9	-7.5364	-50.25761
18	-7.982735	-53.75689
18.1	-8.54505	-60.84878
18.2	-8.74019	-63.38074
18.3	-9.162182	-65.9875
18.4	-9.615069	-70.71661
18.5	-10.12975	-76.66461
18.6	-11.13356	-84.79516
18.7	-11.55241	-87.34758
18.8	-11.93334	-89.93088
18.9	-12.40019	-92.06366
19	-12.72994	-93.13895
19.1	-13.16788	-94.5592
19.2	-13.61249	-95.30231
19.3	-14.16317	-95.31633
19.4	-14.4661	-94.92591
19.5	-14.6521	-94.43028
19.6	-14.84199	-93.7915
19.7	-15.03987	-93.16218
19.8	-15.2553	-92.28788
19.9	-15.21576	-92.23766
20	-15.57588	-90.676
20.1	-15.75991	-89.74168
20.2	-16.16977	-87.15973
20.3	-16.40151	-85.72043
20.4	-16.40217	-85.72124
20.5	-16.50205	-84.77378
20.6	-16.7916	-82.81229
20.7	-16.97129	-81.53851
20.8	-17.07869	-80.53791
20.9	-17.22013	-79.4507
21	-17.39096	-78.14897
21.1	-17.62327	-76.18396
21.2	-17.66112	-75.85847
21.3	-17.9894	-72.99667
21.4	-18.05959	-72.37884
21.5	-18.10002	-72.07943
21.6	-18.16774	-71.4746
21.7	-18.2912	-70.28274
21.8	-18.40696	-69.12841
21.9	-18.48283	-68.28278
22	-18.50967	-68.0092
22.1	-18.5464	-67.75064
22.2	-18.54978	-67.75477
22.3	-18.57361	-67.48445
22.4	-18.57817	-67.4897
22.5	-18.62348	-66.95654
22.6	-18.6814	-66.17064
22.7	-18.84444	-62.34936
22.8	-18.84964	-62.35573
22.9	-18.85079	-62.35715
23	-18.90759	-62.42675
