Time	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Force Y
0.1	3.826295	46.12598
0.2	3.549708	45.76156
0.3	3.511736	45.71069
0.4	3.501096	45.69752
0.5	3.497043	45.6899
0.6	3.49395	45.68668
0.7	3.493302	45.68646
0.8	3.492599	45.68351
0.9	3.49116	45.68321
1	3.491975	45.68414
1.1	3.491277	45.68165
1.2	3.490241	45.68228
1.3	3.491699	45.68322
1.4	3.490611	45.68091
1.5	3.489883	45.68198
1.6	3.491888	45.683
1.7	3.490443	45.68104
1.8	3.48999	45.68217
1.9	3.491604	45.68227
2	3.490304	45.68128
2.1	3.490161	45.68227
2.2	3.491176	45.68155
2.3	3.490237	45.68164
2.4	3.490367	45.68224
2.5	3.4911	45.68137
2.6	3.490286	45.6821
2.7	3.490582	45.68212
2.8	3.49096	45.68128
2.9	3.490464	45.6826
3	3.490772	45.68192
3.1	3.490777	45.68133
3.2	3.490756	45.68311
3.3	3.490907	45.68164
3.4	3.490591	45.68147
3.5	3.49109	45.68346
3.6	3.490969	45.68137
3.7	3.490025	45.68114
3.8	3.491347	45.68357
3.9	3.490957	45.68116
4	3.48991	45.68144
4.1	3.491284	45.68316
4.2	3.490886	45.68107
4.3	3.489866	45.68174
4.4	3.49095	45.6824
4.5	3.490785	45.68112
4.6	3.489903	45.68201
4.7	3.491119	45.68216
4.8	3.490705	45.68134
4.9	3.490016	45.68221
5	3.491214	45.68188
5.1	3.490685	45.68174
5.2	3.490194	45.68233
5.3	3.491227	45.68163
5.4	3.490758	45.68226
5.5	3.490407	45.68231
5.6	3.491156	45.68143
5.7	3.490876	45.68279
5.8	3.490635	45.68219
5.9	3.490611	45.68079
6	3.490965	45.68317
6.1	3.490841	45.682
6.2	3.49042	45.68081
6.3	3.490837	45.68317
6.4	3.491017	45.68177
6.5	3.490221	45.68096
6.6	3.490361	45.68265
6.7	3.491129	45.68158
6.8	3.49005	45.68118
6.9	3.490563	45.68271
7	3.4912	45.68145
7.1	3.489939	45.68147
7.2	3.490786	45.68266
7.3	3.491248	45.68149
7.4	3.489896	45.68178
7.5	3.490998	45.68248
7.6	3.49128	45.68172
7.7	3.48994	45.68206
7.8	3.491165	45.68223
7.9	3.491291	45.68204
8	3.490065	45.68227
8.1	3.490865	45.68139
8.2	3.49122	45.68235
8.3	3.490258	45.68242
8.4	3.490868	45.68112
8.5	3.490933	45.68244
8.6	3.490507	45.68243
8.7	3.490784	45.68092
8.8	3.495522	45.69072
8.9	3.490785	45.6824
9	3.490633	45.68081
9.1	3.490176	45.68231
9.2	3.491071	45.68228
9.3	3.490448	45.68084
9.4	3.490261	45.68257
9.5	3.491355	45.6822
9.6	3.490251	45.68099
9.7	3.49041	45.68273
9.8	3.491611	45.68215
9.9	3.490089	45.68123
10	3.490615	45.68279
10.1	3.491788	45.68215
10.2	3.489985	45.68153
10.3	3.490841	45.68273
10.4	3.491799	45.68214
10.5	3.489965	45.68187
10.6	3.49064	45.68198
10.7	3.491538	45.68199
10.8	3.490035	45.68217
10.9	3.490797	45.68172
11	3.490635	45.6813
11.1	3.490207	45.68246
11.2	3.490888	45.68142
11.3	3.490434	45.68147
11.4	3.490475	45.68267
11.5	3.490895	45.68115
11.6	3.490298	45.68177
11.7	3.490829	45.68282
11.8	3.490815	45.68095
11.9	3.490223	45.68208
12	3.491245	45.68294
12.1	3.490672	45.68087
12.2	3.490227	45.68239
12.3	3.491644	45.68296
12.4	3.490495	45.6809
12.5	3.490313	45.68264
12.6	3.491924	45.68286
12.7	3.443016	44.69628
12.8	3.302455	41.74242
12.9	3.185038	38.8172
13	3.146339	35.37541
13.1	2.856182	28.49991
13.2	2.617338	22.61199
13.3	2.822351	18.55557
13.4	2.611813	12.40022
13.5	2.544373	9.794259
13.6	2.619982	4.618174
13.7	2.586453	1.76686
13.8	2.454277	-1.938497
13.9	2.63581	-2.599097
14	2.490805	-6.097523
14.1	2.397197	-7.402433
14.2	1.922598	-13.1264
14.3	1.446723	-19.13715
14.4	1.256939	-21.77476
14.5	0.8381644	-25.63467
14.6	0.448406	-28.23497
14.7	0.1519727	-32.19589
14.8	-0.0008121787	-33.60065
14.9	-0.3462456	-36.4295
15	-0.6361243	-40.36128
15.1	-0.8551255	-43.11779
15.2	-1.245081	-46.2748
15.3	-1.450947	-48.88402
15.4	-1.583098	-50.61481
15.5	-2.235508	-57.51154
15.6	-2.496726	-60.67657
15.7	-2.810513	-64.68052
15.8	-3.25801	-67.17242
15.9	-3.578064	-70.22861
16	-3.870467	-73.39256
16.1	-4.14263	-74.97594
16.2	-4.342455	-76.42428
16.3	-4.564015	-78.44622
16.4	-4.983321	-81.69068
16.5	-5.398125	-84.36134
16.6	-5.565097	-85.33865
16.7	-5.826556	-86.62225
16.8	-6.532142	-89.06238
16.9	-7.124013	-89.94378
17	-7.44606	-89.93803
17.1	-7.968119	-89.4184
17.2	-8.202702	-88.94913
17.3	-8.608458	-87.71677
17.4	-9.056331	-85.82388
17.5	-9.606176	-83.28822
17.6	-10.35012	-79.13687
17.7	-10.82558	-75.35849
17.8	-11.53606	-70.47082
17.9	-11.81405	-68.40166
18	-12.10488	-65.82455
18.1	-12.50404	-62.54411
18.2	-12.66644	-60.94946
18.3	-12.71118	-60.7547
18.4	-12.85413	-59.47824
18.5	-13.01579	-56.65392
18.6	-12.96797	-53.95839
18.7	-13.01199	-53.90524
18.8	-13.01154	-53.91332
18.9	-13.03911	-53.94091
19	-13.0707	-54.07898
19.1	-13.09153	-54.32714
19.2	-13.11619	-54.56845
19.3	-13.13301	-55.11253
19.4	-13.11329	-56.8175
19.5	-12.9553	-58.81782
19.6	-12.49149	-62.50054
19.7	-11.89443	-66.47074
19.8	-11.07975	-71.27937
19.9	-10.62175	-75.19611
20	-9.847886	-79.62815
20.1	-8.963695	-83.75239
20.2	-8.19144	-87.86438
20.3	-7.839409	-88.99149
20.4	-7.090137	-89.73933
20.5	-6.284375	-88.36453
20.6	-5.657478	-85.07415
20.7	-5.304728	-82.50691
20.8	-4.295271	-73.88647
20.9	-3.674003	-67.01408
21	-3.115895	-59.94042
21.1	-2.034759	-48.40693
21.2	-1.226094	-40.58372
21.3	-0.7700242	-34.35079
21.4	-0.2138612	-29.11908
21.5	0.4990657	-24.30349
21.6	1.137187	-15.68859
21.7	1.679594	-9.26594
21.8	2.627048	0.4756889
21.9	2.876888	5.795497
22	3.17281	13.33988
22.1	3.382544	22.30843
22.2	3.567857	27.20364
22.3	3.797207	32.45767
22.4	3.849998	42.68542
22.5	4.103989	49.78364
22.6	4.353001	55.01735
22.7	4.320292	64.10279
22.8	4.515108	70.74477
22.9	4.732183	74.97004
23	4.781298	81.01531
23.1	4.845572	85.64124
23.2	5.005391	88.54882
23.3	5.031661	91.84706
23.4	5.180636	96.81035
23.5	5.530583	102.2955
23.6	5.754392	107.8436
23.7	5.75201	111.6347
23.8	6.033761	115.7495
23.9	6.239348	119.4255
24	6.32678	123.4915
24.1	6.847191	129.928
24.2	7.489736	137.5136
24.3	7.331956	139.2651
24.4	7.376592	140.0365
24.5	7.900712	144.5404
24.6	8.020929	147.4668
24.7	8.457294	150.3744
24.8	9.318466	154.0413
24.9	9.567692	154.4076
25	9.843642	154.5566
25.1	10.35768	154.0686
25.2	10.97456	152.4644
25.3	11.60068	149.4881
25.4	11.89145	147.6466
25.5	12.29497	145.6342
25.6	12.98242	141.1021
25.7	13.78618	133.3572
25.8	14.46975	128.3793
25.9	15.96771	115.7696
26	17.39851	99.16637
26.1	18.51985	89.83192
26.2	19.47935	78.44017
26.3	18.26934	70.40632
26.4	17.51008	69.32907
26.5	14.36869	63.10417
26.6	12.1199	59.78862
26.7	10.81176	58.24565
26.8	8.979102	56.28618
26.9	8.485711	55.89923
27	8.076238	56.39016
27.1	7.449641	55.6164
27.2	7.437141	55.63075
27.3	7.36638	55.6604
27.4	7.342961	55.66925
27.5	7.344563	55.66375
27.6	7.335036	55.66475
27.7	7.342915	55.66798
27.8	7.342163	55.6651
27.9	7.334919	55.66902
28	7.345645	55.6707
28.1	7.339731	55.66648
28.2	7.337652	55.66879
28.3	7.347187	55.66812
28.4	7.33729	55.6662
28.5	7.341699	55.6665
28.6	7.345366	55.66729
28.7	7.335773	55.66893
28.8	7.342974	55.66922
28.9	7.340574	55.66662
