Time	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Force Y
0.1	-0.1807939	42.49865
0.2	-0.4274793	42.17955
0.3	-0.4623153	42.13448
0.4	-0.4715191	42.12257
0.5	-0.4763594	42.11631
0.6	-0.478729	42.11324
0.7	-0.4790934	42.11277
0.8	-0.4805471	42.11089
0.9	-0.4812842	42.10994
1	-0.4806607	42.11074
1.1	-0.4816674	42.10944
1.2	-0.4821088	42.10887
1.3	-0.4812295	42.11
1.4	-0.4820899	42.10889
1.5	-0.4824644	42.10841
1.6	-0.4812807	42.10994
1.7	-0.4820031	42.109
1.8	-0.4824286	42.10845
1.9	-0.4816076	42.10952
2	-0.4818993	42.10914
2.1	-0.482389	42.10851
2.2	-0.4822719	42.10866
2.3	-0.4817762	42.10929
2.4	-0.4823438	42.10857
2.5	-0.4822366	42.10871
2.6	-0.4816342	42.10948
2.7	-0.4822942	42.10863
2.8	-0.4821979	42.10876
2.9	-0.4814768	42.10968
3	-0.4822389	42.1087
3.1	-0.4821582	42.10881
3.2	-0.4813283	42.10987
3.3	-0.482176	42.10878
3.4	-0.4821156	42.10886
3.5	-0.4812345	42.11
3.6	-0.4821015	42.10888
3.7	-0.4824696	42.1084
3.8	-0.4812617	42.10996
3.9	-0.4820165	42.10898
4	-0.4824338	42.10845
4.1	-0.4815319	42.10962
4.2	-0.4819157	42.10912
4.3	-0.4823948	42.1085
4.4	-0.4767737	42.11578
4.5	-0.481795	42.10927
4.6	-0.4823509	42.10856
4.7	-0.4822413	42.1087
4.8	-0.4816558	42.10945
4.9	-0.4823023	42.10862
5	-0.4822036	42.10875
5.1	-0.4814994	42.10965
5.2	-0.4822476	42.10868
5.3	-0.4821643	42.1088
5.4	-0.4813472	42.10985
5.5	-0.4821844	42.10877
5.6	-0.4821219	42.10885
5.7	-0.4812419	42.10999
5.8	-0.4821139	42.10885
5.9	-0.4820755	42.10891
6	-0.4812485	42.10999
6.1	-0.4820288	42.10897
6.2	-0.4824395	42.10844
6.3	-0.4814676	42.1097
6.4	-0.4819304	42.1091
6.5	-0.4824015	42.10849
6.6	-0.4822613	42.10867
6.7	-0.4818136	42.10925
6.8	-0.4823575	42.10855
6.9	-0.4822466	42.10869
7	-0.481676	42.10942
7.1	-0.4823094	42.1086
7.2	-0.4822092	42.10874
