Time	Aircraft Simulation Net Global Force X	Aircraft Simulation Net Global Force Y	Aircraft Simulation Net Global Force Z	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Moment Y	Aircraft Simulation Net Global Moment Z	Aircraft Simulation Roll Angle	Aircraft Simulation Pitch Angle	Aircraft Simulation Heading Angle	Aircraft Simulation Angle Of Attack_Deg	Aircraft Simulation Angle Of Sideslip_Deg	Aircraft Simulation Roll Rate	Aircraft Simulation Pitch Rate	Aircraft Simulation Yaw Rate	Aircraft Simulation Angular Velocity X	Aircraft Simulation Angular Velocity Y	Aircraft Simulation Angular Velocity Z	Aircraft Simulation Position X	Aircraft Simulation Position Y	Aircraft Simulation Position Z	Aircraft Simulation Global Velocity X	Aircraft Simulation Global Velocity Y	Aircraft Simulation Global Velocity Z	Aircraft Simulation Local Velocity X	Aircraft Simulation Local Velocity Y	Aircraft Simulation Local Velocity Z	Aircraft Simulation Airspeed	Aircraft Simulation Ground Speed	Aircraft Simulation Acceleration X	Aircraft Simulation Acceleration Y	Aircraft Simulation Acceleration Z	Aircraft Simulation Local Acceleration X	Aircraft Simulation Local Acceleration Y	Aircraft Simulation Local Acceleration Z	Aircraft Simulation Imu Acceleration X	Aircraft Simulation Imu Acceleration Y	Aircraft Simulation Imu Acceleration Z	Aircraft Simulation Altitude	Aircraft Simulation Time	Electronic Speed Controller Input Value	Fin Input Value	Port Aileron Input Value	Port Flap Input Value	Propeller Total Thrust	Propeller Advance Ratio	Propeller Thrust Coefficient	Propeller Torque Coefficient	Propeller Propulsive Efficiency	Propeller Rps	Starboard Aileron Input Value	Starboard Flap Input Value	Tailplane Input Value
0.018	-0.001246082	48.12653	-3.772156	1.818989E-09	-0.001140047	0.05563212	8.179214E-13	0.01443481	-1.515099E-13	2.002988	0	7.247495E-12	0.01546353	1.605358E-15	-0.01546353	1.605358E-15	-7.247495E-12	-2.092458E-15	50.00004	-2.515316E-05	0	-8.616596E-06	-2.129492E-05	6.661779E-20	-8.61123E-06	-2.129709E-05	15.98833	2.297215E-05	-2.842171E-11	0.0006956979	0.001719803	-2.842171E-11	0.0006952645	0.001719979	-2.856176E-11	9.810695	0.004191743	50.00004	0.018	-1	0	0	-1	-1.205065	9.190789	-2.98772	0.3048531	-14.33581	5.258414	0	-1	0.5
0.038	-7.220606E-05	49.16202	-3.880636	1.818989E-09	0.0003301436	0.03978452	-1.421184E-14	-0.003932482	-6.054909E-14	2.02196	0	-2.962955E-12	-0.04460266	-5.682419E-13	0.04460266	-5.682419E-13	2.962955E-12	-5.786314E-16	49.99999	6.869435E-06	3.552714E-15	2.484024E-05	6.142259E-05	3.552785E-15	2.484445E-05	6.142088E-05	15.9941	6.625535E-05	-3.552713E-12	0.001674518	0.004146248	-3.552709E-12	0.001674802	0.004146133	-3.550275E-12	9.811675	0.003472826	49.99999	0.038	-1	0	0	-1	-1.211842	15.72421	-8.791998	0.4926853	-44.65879	3.073964	0	-1	0.5
0.058	-4.552539E-05	47.61258	-3.919587	-7.075868E-07	0.0007814022	0.03677123	-5.861598E-13	-0.08867038	5.021764E-15	1.971335	0	-5.05569E-12	-0.09535193	-1.068383E-13	0.09535193	-1.068383E-13	5.05569E-12	-3.175728E-15	49.99976	0.000154525	-1.24345E-14	5.292147E-05	0.0001313097	-1.243397E-14	5.312463E-05	0.0001312277	16.0001	0.0001415731	2.664535E-12	0.001179986	0.002957182	2.664547E-12	0.001184561	0.002955352	2.764907E-12	9.811172	-0.0122265	49.99976	0.058	-1	0	0	-1	-1.214922	18.24767	-11.86559	0.5584238	-61.70963	2.649409	0	-1	0.5
0.078	-0.000338674	45.61082	-3.959259	1.578519E-05	0.0006754817	0.03621801	-1.534133E-13	-0.220862	3.078922E-14	1.86233	0	-1.522858E-12	-0.1294044	3.465869E-13	0.1294044	3.465869E-13	1.522858E-12	-1.572809E-15	49.99941	0.0003841966	-1.421085E-14	7.142313E-05	0.0001786972	-1.421076E-14	7.211143E-05	0.0001784205	16.00482	0.0001924421	-1.421085E-11	0.0007348135	0.002129876	-1.421085E-11	0.0007430182	0.002127028	-1.418459E-11	9.810671	-0.03568816	49.99941	0.078	-1	0	0	-1	-1.216076	18.82442	-12.63414	0.5728052	-66.08157	2.568781	0	-1	0.5
0.098	-0.0006984484	43.51362	-3.99524	1.818989E-09	0.0002298698	0.03612728	5.337996E-13	-0.3831402	-7.652316E-14	1.714237	0	-1.774333E-12	-0.1498939	-7.825639E-13	0.1498939	-7.825639E-13	1.774333E-12	-3.295966E-15	49.99897	0.0006649196	2.842171E-14	8.215196E-05	0.0002069916	2.842121E-14	8.353428E-05	0.0002064376	16.00832	0.0002226981	1.421085E-11	0.0003958121	0.001076376	1.421085E-11	0.0004030009	0.001073705	1.411946E-11	9.810184	-0.06452584	49.99897	0.098	-1	0	0	-1	-1.216807	18.93808	-12.78949	0.575524	-66.98013	2.553899	0	-1	0.5
0.118	-0.0009637789	41.35284	-4.033404	-6.166374E-07	-0.0003559631	0.03610677	1.563871E-12	-0.5625315	4.44674E-14	1.542615	0	1.131564E-11	-0.1608117	3.480578E-13	0.1608117	3.480578E-13	-1.131564E-11	-1.725546E-16	49.99848	0.0009738952	0	8.744746E-05	0.0002220682	-2.618595E-18	8.962349E-05	0.0002211989	16.01083	0.0002386657	0	0.0001713633	0.0005211331	-5.221191E-18	0.0001764715	0.0005194256	-2.677534E-13	9.809705	-0.09579389	49.99848	0.118	-1	0	0	-1	-1.217325	18.96248	-12.82312	0.5760486	-67.18151	2.551092	0	-1	0.5
0.138	-0.00104808	39.20158	-4.073727	-5.838955E-07	-0.0008786109	0.03609354	1.541051E-12	-0.7500387	-1.138885E-14	1.358431	0	1.235349E-11	-0.1651109	-8.394629E-13	0.1651109	-8.394629E-13	-1.235349E-11	7.164931E-16	49.99797	0.001295179	2.842171E-14	8.904003E-05	0.0002286349	2.841928E-14	9.202529E-05	0.0002274498	16.01256	0.0002453611	1.421085E-11	1.396984E-05	0.0001333537	1.421085E-11	1.571428E-05	0.0001331594	1.394702E-11	9.809175	-0.1282824	49.99797	0.138	-1	0	0	-1	-1.217674	18.9721	-12.83529	0.5762239	-67.25895	2.550246	0	-1	0.5
0.158	-0.000932039	37.0898	-4.116608	-5.511537E-07	-0.001204197	0.03607623	2.512959E-13	-0.9393554	-9.806229E-14	1.16926	0	5.271099E-12	-0.164689	-9.953212E-13	0.164689	-9.953212E-13	-5.271099E-12	-1.795596E-15	49.99746	0.001617864	0	8.805934E-05	0.0002280506	-1.225799E-20	9.17862E-05	0.0002265763	16.01364	0.0002444617	0	-9.406357E-05	-0.0001496519	1.671317E-19	-9.650434E-05	-0.0001480897	-4.302014E-14	9.808585	-0.1609743	49.99746	0.158	-1	0	0	-1	-1.217836	18.9793	-12.84286	0.5763534	-67.30899	2.549665	0	-1	0.5
0.178	-0.0006634645	35.04496	-4.161924	-9.094946E-10	-0.00129178	0.03605779	1.829707E-12	-1.125893	2.673665E-14	0.9805049	0	9.078909E-12	-0.1607756	-1.732941E-13	0.1607756	-1.732941E-13	-9.078909E-12	-5.587175E-16	49.99696	0.00193423	0	8.523744E-05	0.0002232448	-2.96574E-18	8.960758E-05	0.0002215268	16.01418	0.0002389637	0	-0.000174623	-0.0003625173	5.972045E-18	-0.0001817125	-0.0003590161	-3.132101E-13	9.807925	-0.1931184	49.99696	0.178	-1	0	0	-1	-1.217883	18.98542	-12.84817	0.5764587	-67.34622	2.549187	0	-1	0.5
0.198	-0.000357156	33.09159	-4.208758	-2.728484E-09	-0.00118841	0.03604959	-9.70257E-13	-1.306215	3.503636E-14	0.7961701	0	-5.502107E-12	-0.1542249	5.777113E-13	0.1542249	5.777113E-13	5.502107E-12	-1.942321E-15	49.99646	0.002238423	0	8.108839E-05	0.000214149	1.324524E-18	8.594902E-05	0.0002122449	16.01426	0.0002289872	0	-0.000230968	-0.0005235779	-3.792185E-18	-0.0002428433	-0.0005181767	1.660774E-13	9.807209	-0.2241448	49.99646	0.198	-1	0	0	-1	-1.217861	18.9898	-12.85097	0.5765213	-67.36913	2.548887	0	-1	0.5
