Time	Aircraft Simulation Yaw Rate
0.1	0.0006744937
0.2	-0.002011117
0.3	-0.003414304
0.4	0.0005163011
0.5	0.003419154
0.6	0.001621871
0.7	-0.002004582
0.8	-0.003351697
0.9	0.0005420072
1	0.00267605
1.1	0.002075417
1.2	-0.001839954
1.3	-0.002975965
1.4	3.702347E-05
1.5	0.002525796
1.6	0.001831483
1.7	-0.001249275
1.8	-0.002585183
1.9	-0.0002364167
2	0.00203154
2.1	0.001796787
2.2	-0.0009926022
2.3	-0.002031572
2.4	-0.0005028149
2.5	0.0018261
2.6	0.001485518
2.7	-0.0006553624
2.8	-0.001915566
2.9	-0.0004589283
3	0.001365182
3.1	0.001273807
3.2	-0.0004079984
3.3	-0.00139546
3.4	-0.0005206584
3.5	0.0009808722
3.6	0.0008877496
3.7	2.842715E-05
3.8	-0.0009207539
3.9	-0.0008845344
4	0.0004386692
4.1	0.001062498
4.2	0.00046987
4.3	-0.0007263403
4.4	-0.000832389
4.5	-0.0001163852
4.6	0.0007316065
4.7	0.0006404848
4.8	-0.0003408887
4.9	-0.0007128738
5	-0.0003977027
5.1	0.0002607375
5.2	0.0005708525
5.3	0.0001114351
5.4	-0.0004689339
5.5	-0.0001514872
5.6	8.379213E-05
5.7	-6.823397E-06
5.8	-3.72768E-05
5.9	-5.270081E-05
6	3.992819E-05
6.1	6.147588E-05
6.2	7.659647E-05
6.3	9.89608E-05
6.4	-3.760471E-05
6.5	-0.0001404993
6.6	1.202421E-05
6.7	0.0001017727
6.8	-8.092492E-05
6.9	-0.0001597965
7	0.0001429773
7.1	0.0001957645
7.2	-0.000150726
7.3	-0.0001865453
7.4	0.0001392321
7.5	0.0002376479
7.6	-9.705329E-05
7.7	-0.0001468114
7.8	3.911426E-06
7.9	7.025412E-05
8	1.535526E-05
8.1	6.705718E-05
8.2	-3.90047E-05
8.3	-4.440001E-05
8.4	-5.895321E-05
8.5	0.0005247153
8.6	0.000486636
8.7	-0.0004495878
8.8	0.00016462
8.9	-0.0001649961
9	0.0002752694
9.1	0.0001223345
9.2	-0.0003164122
9.3	-0.0002339075
9.4	6.602244E-05
9.5	0.0001926574
9.6	3.437649E-05
9.7	-0.0001908235
9.8	-6.651929E-05
9.9	0.0001875177
10	6.194117E-05
10.1	-3.647869E-05
10.2	4.632083E-05
10.3	-4.892107E-05
10.4	-0.0001246692
10.5	-1.897542E-05
10.6	0.0001017705
10.7	4.157783E-05
10.8	-0.0001942956
10.9	-5.330221E-05
11	0.0001288611
11.1	0.0001257972
11.2	-6.74089E-05
11.3	-2.517872E-05
11.4	2.957758E-06
11.5	2.945659E-05
11.6	3.093063E-05
11.7	-3.981319E-05
11.8	-1.546138E-05
11.9	0.0001071083
12	1.263691E-05
12.1	-0.0001204552
12.2	-5.153172E-05
12.3	9.182371E-05
12.4	6.710965E-06
12.5	-0.0001180673
12.6	-6.33413E-06
12.7	9.177595E-05
12.8	-3.822717E-05
12.9	-5.621288E-05
13	-4.653145E-05
13.1	1.403553E-05
13.2	0.0001031263
13.3	3.701786E-06
13.4	-0.0001440715
13.5	-3.457144E-05
13.6	8.135518E-05
13.7	7.863431E-05
13.8	-5.350446E-05
13.9	-4.936977E-05
14	9.784233E-05
14.1	5.861903E-05
14.2	-7.849828E-05
14.3	-0.0001475638
14.4	4.838377E-05
14.5	0.000216602
14.6	4.21433E-05
14.7	-0.0001630136
14.8	-3.233449E-05
14.9	0.0001387672
15	7.452995E-05
15.1	-8.072424E-05
15.2	1.627226E-05
15.3	7.446068E-06
15.4	-5.719965E-05
15.5	2.402904E-05
15.6	7.814472E-05
15.7	-1.054698E-05
15.8	-0.0001045974
15.9	7.514968E-05
16	0.0001137256
16.1	-0.0001068898
16.2	-0.0001123997
16.3	6.3717E-05
16.4	6.939369E-05
16.5	-0.0001303869
16.6	-7.178667E-05
16.7	4.435602E-05
16.8	0.0001021112
16.9	0.0001263707
17	-1.078475E-05
17.1	-5.784399E-05
17.2	-2.0241E-05
17.3	4.601288E-05
17.4	-5.487602E-06
17.5	2.837991E-05
17.6	-8.057853E-05
17.7	-1.531572E-05
17.8	3.532335E-05
17.9	4.719098E-05
18	-4.83584E-05
18.1	-5.572794E-05
18.2	0.000193608
18.3	6.35816E-05
18.4	-0.0001373067
18.5	-4.977674E-05
18.6	0.0001428884
18.7	3.509712E-05
18.8	-0.0001169933
18.9	-3.32073E-05
19	5.557547E-05
19.1	-7.435712E-06
19.2	-4.342442E-06
19.3	-2.702183E-06
19.4	-5.564308E-06
19.5	-1.761128E-06
19.6	2.2213E-06
19.7	1.612233E-05
19.8	-8.182289E-05
19.9	7.783852E-06
20	3.387454E-05
20.1	2.439547E-05
20.2	-2.508575E-05
20.3	-8.727178E-05
20.4	-5.867062E-05
20.5	0.000104522
20.6	2.646795E-05
20.7	-8.774716E-05
20.8	-9.593891E-05
20.9	8.587983E-05
21	5.132177E-05
21.1	-0.0001281184
21.2	-4.432763E-06
21.3	2.711055E-05
21.4	0.000119594
21.5	7.945308E-05
21.6	-0.0001084962
21.7	-0.0001487649
21.8	0.0001538019
21.9	0.0001805169
22	2.108429E-06
22.1	-0.0001164705
22.2	2.877765E-06
22.3	7.344389E-05
22.4	-4.394322E-05
22.5	-2.437433E-05
22.6	7.256622E-05
22.7	-2.981495E-05
22.8	-5.745424E-06
22.9	8.309637E-05
23	1.653259E-08
23.1	-0.0001096345
23.2	6.301561E-05
23.3	1.81602E-05
23.4	-2.591594E-05
23.5	-1.381934E-05
23.6	4.827159E-05
23.7	-4.566827E-05
23.8	-7.145486E-05
23.9	4.340931E-05
24	3.919834E-05
24.1	-0.0001704569
24.2	-0.0003999784
24.3	-0.0003051935
24.4	-0.0001753872
24.5	-0.0003459472
24.6	-0.000561472
24.7	-0.0005121276
24.8	-0.0006094855
24.9	-0.002296582
25	-0.00345021
25.1	-0.004041754
25.2	-0.003513683
25.3	-0.001900548
25.4	-0.0001497444
25.5	0.001219789
25.6	0.001354556
25.7	0.0008429882
25.8	0.0002651765
25.9	-0.0005463099
26	-0.001290745
26.1	-0.001405269
26.2	-0.0008445689
26.3	-0.0003862887
26.4	1.295704E-05
26.5	0.0004019377
26.6	0.0003758202
26.7	0.0001677409
26.8	0.0001166295
26.9	-0.0003836619
27	-0.0005116866
27.1	-0.0005660267
27.2	-0.0007884242
27.3	-0.0003424188
27.4	-0.0003420274
27.5	-0.0003124699
27.6	-9.984562E-05
27.7	-0.000234045
27.8	-0.0002120511
27.9	-0.0002623887
28	-0.0001378342
28.1	-2.511071E-05
28.2	-0.0001724529
28.3	-0.0001626102
28.4	-9.863374E-05
28.5	8.535889E-05
28.6	-7.617715E-05
28.7	-0.0003991303
28.8	-0.0003794527
28.9	-0.00040278
29	-0.000592567
29.1	-0.0003263091
29.2	-0.0001192415
29.3	-0.0008661462
29.4	-0.00218843
29.5	-0.00371623
29.6	-0.004771626
29.7	-0.005487771
29.8	-0.005987507
29.9	-0.01391317
30	-0.1136012
30.1	-0.2089528
30.2	-0.2345129
30.3	-0.129264
30.4	-0.01696971
30.5	0.06196669
30.6	0.1008761
30.7	0.1205922
30.8	0.1335333
30.9	0.1367567
31	0.1288861
31.1	0.1100919
31.2	0.08219506
31.3	0.04836336
31.4	0.01271255
31.5	-0.02110172
31.6	-0.04878096
31.7	-0.06753673
31.8	-0.07748459
31.9	-0.07903021
32	-0.07283763
32.1	-0.06061731
32.2	-0.04400621
32.3	-0.02471642
32.4	-0.004365919
32.5	0.01438657
32.6	0.0297431
32.7	0.04069921
32.8	0.04650717
32.9	0.04715243
33	0.0429684
33.1	0.03480779
33.2	0.02399918
33.3	0.01222821
33.4	0.001025803
33.5	-0.008237338
33.6	-0.01445959
33.7	-0.01762573
33.8	-0.01825148
33.9	-0.01666674
34	-0.01346983
34.1	-0.009203618
34.2	-0.004427103
34.3	6.20166E-05
34.4	0.003917879
34.5	0.006767992
34.6	0.008339649
34.7	0.008576588
34.8	0.007795544
34.9	0.006495352
35	0.005223495
35.1	0.003818486
35.2	0.001998811
35.3	-0.0001811711
35.4	-0.002163496
35.5	-0.003618217
35.6	-0.004402278
35.7	-0.004396788
35.8	-0.003708962
35.9	-0.002544839
36	-0.001119247
36.1	0.0005336992
36.2	0.002589517
36.3	0.004818961
36.4	0.007063447
36.5	0.008162935
36.6	0.007442912
36.7	0.005172808
36.8	0.002291447
36.9	-0.0006273623
37	-0.003254984
37.1	-0.005191401
37.2	-0.005984827
37.3	-0.005869672
37.4	-0.00489813
